,district,name,streetAddress,city,postalCode,address,lat,lon
170,43,Royal Bridge High School,301-1123 Westwood St,Coquitlam,V5H4G5,"301-1123 Westwood St, Coquitlam, BC, Canada",49.2650015,-122.7911143
173,43,Riverview Park Elementary,700 Clearwater Way,Coquitlam,V3C6A3,"700 Clearwater Way, Coquitlam, BC, Canada",49.2566686,-122.80608779694622
174,43,Pinetree Way Elementary,1420 Pinetree Way,Coquitlam,V3C6A3,"1420 Pinetree Way, Coquitlam, BC, Canada",49.30061285,-122.78643291138476
179,43,Bramblewood Elementary,2875 Panorama Dr,Coquitlam,V3E2S7,"2875 Panorama Dr, Coquitlam, BC, Canada",49.2987348,-122.81314284902572
180,43,Traditional Learning Academy,1189 Rochester Ave,Coquitlam,V3K2X3,"1189 Rochester Ave, Coquitlam, BC, Canada",49.2450549,-122.8501661
181,43,Scott Creek Middle School,1240 Lansdowne Dr,Coquitlam,V3E3E7,"1240 Lansdowne Dr, Coquitlam, BC, Canada",49.2844507,-122.81329734196628
182,43,Summit Middle School,1450 Parkway Blvd,Coquitlam,V3E3L2,"1450 Parkway Blvd, Coquitlam, BC, Canada",49.29549525,-122.80660947972899
184,43,Inquiry Hub,1432 Brunette Ave,Coquitlam,V3K1G5,"1432 Brunette Ave, Coquitlam, BC, Canada",49.2396559,-122.85326788759548
185,43,Greater Heights Learning Academy,550 Thompson Ave,Coquitlam,V3J3Z8,"550 Thompson Ave, Coquitlam, BC, Canada",49.2677132,-122.8905900130695
186,43,Coast Salish Elementary,3538 Sheffield Avenue,Coquitlam,V3E3H1,"3538 Sheffield Avenue, Coquitlam, BC, Canada",49.2979454,-122.739693
187,43,R. C. MacDonald Elementary,2550 Leduc Ave,Coquitlam,V3K5W6,"2550 Leduc Ave, Coquitlam, BC, Canada",49.245380100000006,-122.82185192226362
188,43,École Dr. Charles Best Secondary,2525 Como Lake Ave,Coquitlam,V3J3R8,"2525 Como Lake Ave, Coquitlam, BC, Canada",49.26390515,-122.82128320100966
189,43,Smiling Creek Elementary,3456 Princeton Ave,Coquitlam,V3E3H1,"3456 Princeton Ave, Coquitlam, BC, Canada",49.2975627,-122.75042599547768
190,43,Hillcrest Middle School,2161 Regan Ave,Coquitlam,V3J3C5,"2161 Regan Ave, Coquitlam, BC, Canada",49.26243835,-122.83348948385634
191,37,Neilson Grove Elementary,5500 Admiral Blvd,Delta,V4K5B7,"5500 Admiral Blvd, Delta, BC, Canada",49.1096795,-123.0724291
192,37,Southpointe Academy,1900 56 St,Delta,V4L2B1,"1900 56 St, Delta, BC, Canada",49.0967413,-123.0675728
193,37,Ladner Elementary,5016 44 Ave,Delta,V4K1C1,"5016 44 Ave, Delta, BC, Canada",49.0829019,-123.083513
194,37,Delta Secondary,4615 51 St,Delta,V4K2V8,"4615 51 St, Delta, BC, Canada",49.088786,-123.0825842
195,37,Richardson Elementary,11339 83 Ave,Delta,V4C7B9,"11339 83 Ave, Delta, BC, Canada",49.1544166,-122.8985523
196,37,Heath Elementary,11364 72 Ave,Delta,V4E1Y5,"11364 72 Ave, Delta, BC, Canada",49.1339431,-122.9198927
197,37,Devon Gardens Elementary,8884 Russell Dr,Delta,V4C4P8,"8884 Russell Dr, Delta, BC, Canada",49.1644823,-122.91387292567349
198,37,North Delta Secondary,11447 82 Ave,Delta,V4C5J6,"11447 82 Ave, Delta, BC, Canada",49.153139949999996,-122.90450256524781
199,37,Sunshine Hills Elementary,11285 Bond Blvd,Delta,V4E1N3,"11285 Bond Blvd, Delta, BC, Canada",49.1243825,-122.9067537
200,37,English Bluff Elementary,402 English Bluff Rd,Delta,V4M2N2,"402 English Bluff Rd, Delta, BC, Canada",49.0033937,-123.0889442
201,37,Cliff Drive Elementary,5025 12 Ave,Delta,V4M2A7,"5025 12 Ave, Delta, BC, Canada",49.0247068,-123.0853898
202,37,South Park Elementary,735 Gilchrist Dr,Delta,V4M3L4,"735 Gilchrist Dr, Delta, BC, Canada",49.0160122,-123.0701844
203,37,Beach Grove Elementary,5955 17A Ave,Delta,V4L1J7,"5955 17A Ave, Delta, BC, Canada",49.0346558,-123.0568877
204,37,Delview Secondary,9111 116 St,Delta,V4C5W8,"9111 116 St, Delta, BC, Canada",49.1692376,-122.90231320904687
205,37,Chalmers Elementary,11315 75 Ave,Delta,V4C1H4,"11315 75 Ave, Delta, BC, Canada",49.1403253,-122.90932415707863
206,37,Hellings Elementary,11655 86 Ave,Delta,V4C2X5,"11655 86 Ave, Delta, BC, Canada",49.1595701,-122.8904521
207,37,Gray Elementary,10855 80 Ave,Delta,V4C1W4,"10855 80 Ave, Delta, BC, Canada",49.14903975,-122.92050488653592
208,37,Hawthorne Elementary,5160 Central Ave,Delta,V4K2H2,"5160 Central Ave, Delta, BC, Canada",49.0964204,-123.0736471
209,37,Gibson Elementary,11451 90 Ave,Delta,V4C3H3,"11451 90 Ave, Delta, BC, Canada",49.1683027,-122.9154197
210,37,Brooke Elementary,8718 Delwood Dr,Delta,V4C3Z9,"8718 Delwood Dr, Delta, BC, Canada",49.162105,-122.927095
211,37,Jarvis Traditional Elementary,7670 118 St,Delta,V4C6G8,"7670 118 St, Delta, BC, Canada",49.1691067,-122.8965976
212,37,Port Guichon Elementary,4381 46A St,Delta,V4K2M2,"4381 46A St, Delta, BC, Canada",49.0661461,-123.0961501
213,37,Holly Elementary,4625 62 St,Delta,V4K3L8,"4625 62 St, Delta, BC, Canada",49.0875512,-123.0535873
214,37,South Delta Secondary,750 53 St,Delta,V4M3B7,"750 53 St, Delta, BC, Canada",49.016549749999996,-123.07614221282843
215,37,Sands Secondary,10840 82 Ave,Delta,V4C2B3,"10840 82 Ave, Delta, BC, Canada",49.1522506,-122.901774
216,37,Cougar Canyon Elementary,11664 Lyon Rd,Delta,V4E2K4,"11664 Lyon Rd, Delta, BC, Canada",49.1245467,-122.9198613
217,37,Seaquam Secondary,11584 Lyon Rd,Delta,V4E2K4,"11584 Lyon Rd, Delta, BC, Canada",49.1245467,-122.9198613
218,37,Pinewood Elementary,11777 Pinewood Dr,Delta,V4E3E9,"11777 Pinewood Dr, Delta, BC, Canada",49.1145179,-122.8959714
220,37,Pebble Hill Traditional Elementary,246 52A St,Delta,V4M2Z8,"246 52A St, Delta, BC, Canada",49.0848488,-123.0771158
221,37,Annieville Elementary,9240 112 St,Delta,V4C4X8,"9240 112 St, Delta, BC, Canada",49.1080657,-122.9126018
222,37,Burnsview Secondary,7658 112 St,Delta,V4C4V8,"7658 112 St, Delta, BC, Canada",49.14031215,-122.91149105124563
223,37,Immaculate Conception School,8840 119 St,Delta,V4C6M4,"8840 119 St, Delta, BC, Canada",49.1482748,-122.8936693
224,37,Delta Christian School,4789 53 St,Delta,V4K2Y9,"4789 53 St, Delta, BC, Canada",49.0899102,-123.07674746738749
225,37,McCloskey Elementary,11531 80 Ave,Delta,V4C1X5,"11531 80 Ave, Delta, BC, Canada",49.1484573,-122.9244508
226,37,Boundary Bay Montessori House,3800 72 St,Delta,V4K3N2,"3800 72 St, Delta, BC, Canada",49.0714766,-123.02362984999999
227,35,Lynn Fripps Elementary,21020 83 Ave,Langley,V2Y0K8,"21020 83 Ave, Langley, BC, Canada",49.1521535,-122.6394300635105
228,35,R C Garnett Demonstration Elementary,7096 201 St,Langley,V2Y3G7,"7096 201 St, Langley, BC, Canada",49.13195715,-122.66365339888485
229,35,Langley Fundamental Middle/Secondary Sch,21250 42 Ave,Langley,V3A8K6,"21250 42 Ave, Langley, BC, Canada",49.0783558,-122.6411508
230,35,Richard Bulpitt Elementary,20965 77A Ave,Langley,V2Y2E6,"20965 77A Ave, Langley, BC, Canada",49.143839,-122.641877
231,35,Topham Elementary,21555 91 Ave,Langley,V1M3Z3,"21555 91 Ave, Langley, BC, Canada",49.1677725,-122.6233325
232,35,Belmont Elementary,20390 40 Ave,Langley,V3A2X1,"20390 40 Ave, Langley, BC, Canada",49.0747375,-122.6037016
234,35,Glenwood Elementary,20785 24 Ave,Langley,V2Z2B4,"20785 24 Ave, Langley, BC, Canada",49.04685465,-122.64811322749105
236,35,Willoughby Elementary,20766 80 Ave,Langley,V2Y1X6,"20766 80 Ave, Langley, BC, Canada",49.1482261,-122.6784866
238,35,Langley Secondary,21405 56 Ave,Langley,V2Y2N1,"21405 56 Ave, Langley, BC, Canada",49.1047227,-122.6492572
239,35,Peterson Road Elementary,23422 47 Ave,Langley,V2Z2S3,"23422 47 Ave, Langley, BC, Canada",49.0873842,-122.5738927
242,35,Blacklock Fine Arts Elementary,5100 206 St,Langley,V3A2E5,"5100 206 St, Langley, BC, Canada",49.0863691,-122.6531064
243,35,Alice Brown Elementary,20011 44 Ave,Langley,V3A6L8,"20011 44 Ave, Langley, BC, Canada",49.0821715,-122.621786
244,35,Uplands Elementary,4471 207A St,Langley,V3A5V8,"4471 207A St, Langley, BC, Canada",49.155589,-122.6480134
246,35,West Langley Elementary,9403 212 St,Langley,V1M1M1,"9403 212 St, Langley, BC, Canada",49.174314499999994,-122.6361582544697
247,35,Douglas Park Community,5409 206 St,Langley,V3A2C5,"5409 206 St, Langley, BC, Canada",49.0863691,-122.6531064
248,35,Alex Hope Elementary,21150 85 Ave,Langley,V1M2M4,"21150 85 Ave, Langley, BC, Canada",49.1573097,-122.6371301996139
250,35,Noel Booth Elementary,20202 35 Ave,Langley,V3A0N1,"20202 35 Ave, Langley, BC, Canada",49.0655031,-122.6657526
251,35,Brookswood Secondary,20902 37A Ave,Langley,V3A5N2,"20902 37A Ave, Langley, BC, Canada",49.0701156,-122.6111565
252,35,Langley Meadows Elementary,2244 Willoughby Way,Langley,V2Y1C1,"2244 Willoughby Way, Langley, BC, Canada",49.1203533,-122.6730073
253,35,Nicomekl Elementary,20050 53 Ave,Langley,V3A3T9,"20050 53 Ave, Langley, BC, Canada",49.100239,-122.6773888
254,35,Wix-Brown Elementary,23851 24 Ave,Langley,V2Z3A3,"23851 24 Ave, Langley, BC, Canada",49.0456495,-122.6582609
255,35,Simonds Elementary,20190 48 Ave,Langley,V3A3L4,"20190 48 Ave, Langley, BC, Canada",49.0893348,-122.5151566
257,35,Langley Christian School,22930 48 Ave,Langley,V2Z2T7,"22930 48 Ave, Langley, BC, Canada",49.0893442,-122.5685483
258,35,St Catherines School,20244 32 Ave,Langley,V2Z2E1,"20244 32 Ave, Langley, BC, Canada",49.0602282,-122.6300971
259,35,Credo Christian Schools,21846 52 Ave,Langley,V2Y2M7,"21846 52 Ave, Langley, BC, Canada",49.0967169,-122.5619774
260,35,Gordon Greenwood Elementary,9175 206 St,Langley,V1M2X2,"9175 206 St, Langley, BC, Canada",49.0863691,-122.6531064
261,35,Walnut Grove Secondary,8919 Walnut Grove Dr,Langley,V1M2N7,"8919 Walnut Grove Dr, Langley, BC, Canada",49.165835400000006,-122.64121712525198
