mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2779965,460000.0,1.0,1.0,"12075 Edge St, Maple Ridge, BC, Canada",639.0,1.0,2074.0,702.0,2013.0,Condo,29/05/2023,2023-05-22,449000.0,49.219726,-122.5978166,"Edge Street, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 6G2, Canada"
R2781245,1320000.0,6.0,3.0,"12505 231St, Maple Ridge, BC, Canada",2584.0,5.0,5951.0,463.0,1991.0,SingleFamily,29/05/2023,2023-05-24,1198000.0,,,
R2782355,1002000.0,3.0,1.0,"21113 Dewdney Trunk Rd, Maple Ridge, BC, Canada",1591.0,4.0,4566.0,628.0,1947.0,SingleFamily,29/05/2023,2023-05-28,999999.0,49.2204908,-122.6045091,"Dewdney Trunk Road, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 3C2, Canada"
R2780612,955000.0,3.0,3.0,"10550 248St, Maple Ridge, BC, Canada",2010.0,2.0,3817.0,480.0,2016.0,Townhouse,29/05/2023,2023-05-23,964900.0,,,
R2781731,590000.0,2.0,2.0,"22213 Selkirk Ave, Maple Ridge, BC, Canada",1313.0,1.0,2657.0,335.0,1988.0,Condo,23/01/2024,2024-01-15,590000.0,49.2177585,-122.6045304,"Selkirk Avenue, Haney, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2T3, Canada"
R2780451,1100111.0,3.0,2.0,"21202 River Rd, Maple Ridge, BC, Canada",1745.0,8.0,4753.0,573.0,1994.0,SingleFamily,29/05/2023,2023-05-22,999900.0,49.1848829,-122.5638411,"River Road, Albion, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2W 1G2, Canada"
R2782390,1497000.0,4.0,3.0,"24456 Kimola Dr, Maple Ridge, BC, Canada",3896.0,0.0,6606.0,384.0,2008.0,SingleFamily,29/05/2023,2023-05-28,1499000.0,49.1969131,-122.5365687,"Kimola Drive, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2W 2G4, Canada"
R2758567,1675000.0,7.0,5.0,"13619 232 A St, Maple Ridge, BC, Canada",4022.0,2.0,3097.0,422.0,2022.0,SingleFamily,29/05/2023,2023-03-06,1698000.0,,,
R2782665,846000.0,3.0,2.0,"12161 237St, Maple Ridge, BC, Canada",1367.0,2.0,3428.0,621.0,2014.0,Townhouse,29/05/2023,2023-05-29,849900.0,,,
R2780252,1405000.0,5.0,3.0,"20078 Bruce Ave, Maple Ridge, BC, Canada",2264.0,3.0,5345.0,547.0,1985.0,SingleFamily,28/05/2023,2023-05-22,1239000.0,49.2187323,-122.6626784,"Bruce Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2P6, Canada"
