mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2893684,1530000.0,5.0,2.0,"85 Court, Langley, BC, Canada",2684.0,6.0,5943.0,558.0,1990.0,SingleFamily,19/06/2024,2024-06-10,1499000.0,49.1573184,-122.6308992,"85 Court, Walnut Grove, Township of Langley, Metro Vancouver Regional District, British Columbia, V1M 2M4, Canada"
R2883982,750000.0,2.0,2.0,"20448 Park Avenue, Langley, BC, Canada",1618.0,2.0,2767.0,463.0,1995.0,Condo,19/06/2024,2024-05-15,750000.0,49.1027353,-122.654453,"Park Avenue, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 4G2, Canada"
R2891475,1130000.0,5.0,2.0,"26765 32 A Avenue, Langley, BC, Canada",1862.0,6.0,4197.0,609.0,1977.0,SingleFamily,19/06/2024,2024-06-05,1135000.0,,,
R2871311,914900.0,4.0,2.0,"5378 198 Street, Langley, BC, Canada",1412.0,2.0,1.0,647.0,2024.0,Townhouse,19/06/2024,2024-04-17,914900.0,49.1167309,-122.674716,"198 Street, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 2E3, Canada"
R2885578,598000.0,2.0,1.0,"8558 202 B Street, Langley, BC, Canada",917.0,2.0,3099.0,673.0,2021.0,Condo,19/06/2024,2024-05-20,618000.0,,,
R2856123,3095000.0,5.0,4.0,"23398 34a Avenue, Langley, BC, Canada",5187.0,4.0,6100.0,616.0,2023.0,SingleFamily,18/06/2024,2024-03-03,3199000.0,49.0649057,-122.576139,"34A Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Z 2J9, Canada"
R2886736,715000.0,2.0,2.0,"20460 66 Avenue, Langley, BC, Canada",1250.0,3.0,3346.0,590.0,2006.0,Townhouse,18/06/2024,2024-05-23,738000.0,49.1225229,-122.6513801,"66 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 3C1, Canada"
R2894180,850000.0,3.0,2.0,"8526 202 B Street, Langley, BC, Canada",1184.0,2.0,3738.0,707.0,2021.0,Condo,18/06/2024,2024-06-11,838000.0,,,
R2894251,1490000.0,3.0,2.0,"4553 217 A Street, Langley, BC, Canada",1784.0,6.0,5860.0,828.0,1991.0,SingleFamily,18/06/2024,2024-06-12,1478000.0,,,
R2893923,650000.0,2.0,2.0,"20077 84 Avenue, Langley, BC, Canada",939.0,1.0,1500.0,708.0,2024.0,Condo,18/06/2024,2024-06-10,665000.0,49.1554377,-122.647155,"84 Avenue, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 2B2, Canada"
R2894002,1129000.0,4.0,3.0,"9590 216 Street, Langley, BC, Canada",2158.0,3.0,4422.0,523.0,2012.0,Townhouse,18/06/2024,2024-06-11,1129000.0,49.0602441,-122.6248421,"216 Street, Township of Langley, Metro Vancouver Regional District, British Columbia, V3A 8H8, Canada"
