,address,beds,bath,area,maintenance,type,parking,taxes,built,mlsNumber,levels,garage,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
86,"28 - 33123 George Ferguson Way, Abbotsford, BC",2.0,2.0,1432 sqft,,Townhouse,2.0,"$1,665",1990.0,R2798616,Residential,No,$279,29/07/2023,"$395,000",16/07/2023,"$399,800"
87,"60 - 27735 Roundhouse Dr, Abbotsford, BC",3.0,2.0,1276 sqft,,Townhouse,3.0,"$2,778",2019.0,R2802109,Residential,No,$611,29/07/2023,"$779,900",26/07/2023,"$779,900"
88,"5 - 2962 Nelson Pl, Abbotsford, BC",2.0,2.0,2034 sqft,,Townhouse,1.0,"$1,649",1984.0,R2791262,Residential,No,$245,28/07/2023,"$485,000",20/06/2023,"$499,900"
89,"43 - 2068 Winfield Dr, Abbotsford, BC",3.0,2.0,1687 sqft,,Townhouse,2.0,"$2,747",1998.0,R2802406,Residential,Yes,$432,28/07/2023,"$745,000",27/07/2023,"$729,900"
90,"303 - 3063 Immel St, Abbotsford, BC",2.0,2.0,885 sqft,,Apartment/Condominium,1.0,"$1,415",1993.0,R2797972,Residential,Yes,$480,28/07/2023,"$415,000",11/07/2023,"$425,000"
91,"308 - 32725 George Ferguson Way, Abbotsford, BC",2.0,2.0,900 sqft,,Apartment/Condominium,1.0,"$1,414",1992.0,R2793186,Residential,Yes,$499,27/07/2023,"$425,000",28/06/2023,"$449,900"
92,,,,,,,,,,,,,,,,,
93,"131 - 3300 Horn St, Abbotsford, BC",3.0,1.0,956 sqft,,Manufactured Home,3.0,$404,1979.0,R2798803,Residential,No,$292,27/07/2023,"$270,000",16/07/2023,"$279,900"
94,"316 - 2962 Trethewey St, Abbotsford, BC",2.0,2.0,927 sqft,,Apartment/Condominium,1.0,"$1,579",1993.0,R2800898,Residential,Yes,$452,27/07/2023,"$412,500",24/07/2023,"$419,700"
95,"210 - 33280 Bourquin Cres E, Abbotsford, BC",2.0,2.0,1003 sqft,,Apartment/Condominium,1.0,"$1,579",1993.0,R2799139,Residential,Yes,$478,,,,
96,"302 - 1750 Mckenzie Rd, Abbotsford, BC",2.0,1.0,984 sqft,,Townhouse,1.0,"$1,612",1992.0,R2801707,Residential,No,$426,,,,
97,"7 - 34121 George Ferguson Way, Abbotsford, BC",4.0,3.0,1742 sqft,,Single Family Residence,2.0,"$3,264",2020.0,R2789895,Residential,Yes,$530,,,,
98,"107 - 33400 Bourquin Pl, Abbotsford, BC",2.0,1.0,947 sqft,,Apartment/Condominium,2.0,"$1,552",1976.0,R2801329,Residential,Yes,$422,,,,
99,"405 - 33328 Bourquin Cres E, Abbotsford, BC",1.0,1.0,664 sqft,,Apartment/Condominium,1.0,"$1,523",2006.0,R2800457,Residential,Yes,$557,,,,
100,"30926 Brookdale Crt, Abbotsford, BC",6.0,4.0,2969 sqft,,Single Family Residence,4.0,"$4,917",1996.0,R2801125,Residential,Yes,$420,,,,
101,"303 - 32445 Simon Ave, Abbotsford, BC",2.0,2.0,1663 sqft,,Apartment/Condominium,2.0,"$2,561",2018.0,R2780825,Residential,Yes,$450,,,,
102,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,
105,"106 - 33375 Mayfair Ave, Abbotsford, BC",2.0,2.0,1285 sqft,,Apartment/Condominium,1.0,"$1,453",1990.0,R2797806,Residential,Yes,$369,,,13/03/2024,"$535,000"
106,,,,,,Townhouse,0.0,"$2,384",1991.0,R2794631,Residential,Yes,$506,,,,
107,,,,,,,,,,,,,,,,,
108,"2436 Adelaide St, Abbotsford, BC",4.0,2.0,2300 sqft,,Single Family Residence,5.0,"$5,217",1969.0,R2797521,Residential,Yes,$434,,,,
109,"36031 Emily Carr Green, Abbotsford, BC",5.0,3.0,3069 sqft,,Single Family Residence,4.0,"$4,595",2017.0,R2794678,Residential,Yes,$377,,,,
110,"415 - 31955 Old Yale Rd, Abbotsford, BC",2.0,2.0,1240 sqft,,Apartment/Condominium,2.0,"$1,332",1981.0,R2800872,Residential,Yes,$353,24/07/2023,"$438,900",23/07/2023,"$438,900"
111,"3493 Picton St, Abbotsford, BC",4.0,3.0,2700 sqft,,Single Family Residence,5.0,"$4,293",1979.0,R2792739,Residential,No,$425,,,,
112,"109 - 33280 Bourquin Cres E, Abbotsford, BC",2.0,2.0,1128 sqft,,Apartment/Condominium,1.0,"$1,644",1993.0,R2798649,Residential,Yes,$425,23/07/2023,"$480,000",19/07/2023,"$479,900"
113,"34620 Devon Cres, Abbotsford, BC",3.0,3.0,2009 sqft,,Single Family Residence,6.0,"$4,094",1983.0,R2798124,Residential,Yes,$497,,,,
114,"2271 Mountain Dr, Abbotsford, BC",5.0,3.0,3211 sqft,,Single Family Residence,6.0,"$4,989",1994.0,R2799713,Residential,Yes,$434,,,,
115,"37405 Atkinson Rd, Abbotsford, BC",4.0,1.0,2530 sqft,,Single Family Residence,9.0,"$4,543",9999.0,R2799743,Residential,No,$395,23/07/2023,"$1,150,000",18/07/2023,"$999,700"
116,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,
119,"113 - 2955 Diamond Cres, Abbotsford, BC",2.0,2.0,931 sqft,,Apartment/Condominium,1.0,"$1,567",2006.0,R2793559,Residential,Yes,$569,22/07/2023,"$517,500",04/07/2023,"$529,900"
120,"306 - 1909 Salton Rd, Abbotsford, BC",2.0,1.0,933 sqft,,Apartment/Condominium,2.0,"$1,092",1977.0,R2797772,Residential,Yes,$385,,,,
121,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,
123,"2157 Broadway St, Abbotsford, BC",5.0,3.0,2172 sqft,,Single Family Residence,4.0,"$4,676",1975.0,R2782953,Residential,Yes,$529,,,,
124,,,,,,,,"$2,763",1940.0,R2748858,Residential,No,$592,,,,
125,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,
128,"10 - 1968 N Parallel Rd, Abbotsford, BC",3.0,2.0,1306 sqft,,Townhouse,4.0,"$2,650",2016.0,R2781896,Residential,Yes,$616,,,,"$804,900"
129,"307 - 32733 Broadway E, Abbotsford, BC",1.0,1.0,575 sqft,,Apartment/Condominium,1.0,$855,1982.0,R2793336,Residential,Yes,$538,,,,
130,,,,,,,,,,,,,,,,,
131,"6 - 36060 Old Yale Rd, Abbotsford, BC",3.0,2.0,1431 sqft,,Townhouse,2.0,"$2,270",1991.0,R2799660,Residential,Yes,$471,,,,
132,"34747 Skyline Dr, Abbotsford, BC",3.0,3.0,3532 sqft,,Single Family Residence,9.0,"$7,749",1984.0,R2784647,Residential,Yes,$565,,,,
133,"115 - 32044 Old Yale Rd, Abbotsford, BC",2.0,2.0,1090 sqft,,Apartment/Condominium,1.0,"$1,274",1993.0,R2794134,Residential,Yes,$435,,,,
134,"161 - 32633 Simon Ave, Abbotsford, BC",3.0,2.0,1188 sqft,,Townhouse,1.0,"$2,224",2019.0,R2790963,Residential,Yes,$559,19/07/2023,"$650,000",18/06/2023,"$665,000"
135,"3390 Sechelt Terr, Abbotsford, BC",5.0,2.0,2010 sqft,,Single Family Residence,4.0,"$4,652",1983.0,R2799861,Residential,Yes,$497,16/07/2023,"$985,000",16/07/2023,"$999,900"
136,"105 - 2772 Clearbrook Rd, Abbotsford, BC",2.0,2.0,1050 sqft,,Apartment/Condominium,1.0,"$1,197",1996.0,R2797863,Residential,Yes,$412,16/07/2023,"$437,000",12/07/2023,"$432,900"
137,"30 - 35287 Old Yale Rd, Abbotsford, BC",3.0,3.0,1804 sqft,,Townhouse,2.0,"$2,531",1999.0,R2796291,Residential,Yes,$376,16/07/2023,"$675,000",09/07/2023,"$680,000"
138,"301 - 32838 Ventura Ave, Abbotsford, BC",2.0,2.0,883 sqft,,Apartment/Condominium,1.0,"$1,886",2021.0,R2796898,Residential,Yes,$619,16/07/2023,"$540,000",09/07/2023,"$547,000"
139,"32595 Rossland Pl, Abbotsford, BC",5.0,2.0,2351 sqft,,Single Family Residence,6.0,"$4,301",1974.0,R2798065,Residential,Yes,$495,15/07/2023,"$1,132,000",11/07/2023,"$1,164,000"
140,"36 - 31517 Spur Ave, Abbotsford, BC",4.0,3.0,2812 sqft,,Townhouse,2.0,"$2,856",2004.0,R2789515,Residential,Yes,$316,15/07/2023,"$875,000",14/06/2023,"$889,900"
141,"301 - 33318 Bourquin Cres E, Abbotsford, BC",1.0,1.0,663 sqft,,Apartment/Condominium,1.0,"$1,263",2006.0,R2797820,Residential,Yes,$580,15/07/2023,"$391,000",13/07/2023,"$384,999"
142,"415 - 2943 Nelson Pl, Abbotsford, BC",2.0,2.0,979 sqft,,Apartment/Condominium,2.0,"$1,696",2009.0,R2798149,Residential,Yes,$525,15/07/2023,"$514,900",13/07/2023,"$514,900"
143,"112 - 3090 Gladwin Rd, Abbotsford, BC",2.0,2.0,802 sqft,,Apartment/Condominium,1.0,"$1,660",2015.0,R2792557,Residential,Yes,$660,,,,
144,"327 - 31158 Westridge Pl, Abbotsford, BC",2.0,2.0,861 sqft,,Apartment/Condominium,2.0,"$1,889",2021.0,R2781721,Residential,Yes,$615,15/07/2023,"$525,000",25/05/2023,"$529,888"
145,"7 - 2962 Nelson Pl, Abbotsford, BC",3.0,2.0,2062 sqft,,Townhouse,1.0,"$1,691",1984.0,R2775051,Residential,No,$242,14/07/2023,"$498,000",07/05/2023,"$499,900"
146,"29533 Marsh Mccormick Rd, Abbotsford, BC",4.0,3.0,2692 sqft,,Single Family Residence,8.0,"$6,040",1976.0,R2787211,Residential,No,$693,14/07/2023,"$1,850,000",10/06/2023,"$1,867,000"
147,"2307 Olympia Pl, Abbotsford, BC",3.0,3.0,2716 sqft,,Single Family Residence,6.0,"$4,509",1988.0,R2795345,Residential,Yes,$460,14/07/2023,"$1,260,000",09/07/2023,"$1,250,000"
148,"2901 Mccallum Rd, Abbotsford, BC",4.0,2.0,2287 sqft,,Single Family Residence,12.0,"$4,746",1944.0,R2787805,Residential,Yes,$480,14/07/2023,"$1,155,000",12/06/2023,"$1,099,000"
149,"38 - 36060 Old Yale Rd, Abbotsford, BC",3.0,2.0,1417 sqft,,Townhouse,2.0,"$2,270",1992.0,R2791874,Residential,Yes,$493,14/07/2023,"$690,000",25/06/2023,"$699,700"
