,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
838,"107 - 4733 River Rd W, Delta, BC",2,2,1236 sqft,,1,"$1,899",1992,R2800296,Residential,Yes,,$525,30/07/2023,"$650,000",19/07/2023,"$650,000",Apartment/Condominium
839,"7150 114a St, Delta, BC",4,2,2121 sqft,,3,"$4,470",1971,R2800220,Residential,Yes,,$706,29/07/2023,"$1,460,000",19/07/2023,"$1,499,000",Single Family Residence
840,"4853 55b St, Delta, BC",3,1,1532 sqft,,1,"$2,338",1977,R2801718,Residential,No,,$495,29/07/2023,"$755,000",24/07/2023,"$758,800",Townhouse
841,"5365 6 Ave, Delta, BC",5,4,2850 sqft,,0,"$5,292",2004,R2793637,Residential,Yes,,$662,28/07/2023,"$1,850,000",28/06/2023,"$1,888,000",Single Family Residence
842,"142B - 8635 120 St, Delta, BC",1,1,709 sqft,,1,$823,1972,R2801268,Residential,No,,$548,28/07/2023,"$385,000",23/07/2023,"$389,000",Apartment/Condominium
843,"75 - 5550 Admiral Way, Delta, BC",3,2,1378 sqft,,2,"$3,144",2016,R2800834,Residential,Yes,,$725,28/07/2023,"$990,000",23/07/2023,"$999,999",Townhouse
844,"7486 115 St, Delta, BC",7,6,4387 sqft,,4,"$4,015",2023,R2788677,Residential,Yes,,$546,28/07/2023,"$2,350,000",14/06/2023,"$2,399,000",Single Family Residence
845,"5400 Wallace Ave, Delta, BC",3,2,1931 sqft,,4,"$4,332",1977,R2769917,Residential,Yes,,$708,27/07/2023,"$1,360,000",19/04/2023,"$1,368,800",Single Family Residence
846,"7788 114a St, Delta, BC",4,1,2408 sqft,,4,"$4,186",1972,R2794181,Residential,Yes,,$539,27/07/2023,"$1,360,000",03/07/2023,"$1,299,000",Single Family Residence
847,"328A - 8635 120 St, Delta, BC",2,1,856 sqft,,1,$968,1972,R2800350,Residential,No,,$501,27/07/2023,"$432,000",19/07/2023,"$429,000",Apartment/Condominium
848,"9 - 5510 Admiral Way, Delta, BC",4,3,1849 sqft,,2,"$3,570",2016,R2798684,Residential,Yes,,$620,26/07/2023,"$1,143,000",16/07/2023,"$1,148,000",Townhouse
849,"8495 112 St, Delta, BC",6,4,2760 sqft,,6,"$4,783",1999,R2797223,Residential,Yes,,$543,25/07/2023,"$1,432,000",11/07/2023,"$1,499,888",Single Family Residence
850,"8446 Sullivan Pl, Delta, BC",5,3,2256 sqft,,0,"$4,185",1972,R2785102,Residential,Yes,,$664,25/07/2023,"$1,450,000",04/06/2023,"$1,499,000",Single Family Residence
851,"8020 114 St, Delta, BC",9,7,5332 sqft,,2,"$7,217",2021,R2782613,Residential,Yes,,$524,25/07/2023,"$2,660,000",29/05/2023,"$2,798,000",Single Family Residence
852,"213 Woodland Dr, Delta, BC",3,2,2535 sqft,,4,"$4,943",1980,R2779362,Residential,Yes,,$591,25/07/2023,"$1,475,000",16/05/2023,"$1,499,000",Single Family Residence
853,"401 - 8360 Delsom Way, Delta, BC",2,2,1036 sqft,,2,"$2,090",2019,R2799200,Residential,Yes,,$751,25/07/2023,"$820,000",19/07/2023,"$779,000",Apartment/Condominium
854,"2101 - 11967 80 Ave, Delta, BC",2,2,821 sqft,,2,"$1,749",2017,R2799932,Residential,Yes,,$778,,,,,Apartment/Condominium
855,"208 - 4728 53 St, Delta, BC",2,2,1050 sqft,,1,"$1,784",1991,R2800236,Residential,Yes,,$618,,,,,Apartment/Condominium
856,,,,,,,,,,,,,,,,,,
857,"7948 118a St, Delta, BC",4,3,2210 sqft,,0,"$3,998",1989,R2796827,Residential,No,,$633,24/07/2023,"$1,330,000",10/07/2023,"$1,399,000",Single Family Residence
858,"506 - 9015 120 St, Delta, BC",2,2,922 sqft,,1,"$1,770",2019,R2794650,Residential,Yes,,$677,23/07/2023,"$620,000",03/07/2023,"$625,000",Apartment/Condominium
859,"405 - 1369 56 St, Delta, BC",1,1,853 sqft,,1,"$1,571",1994,R2798545,Residential,Yes,,$690,23/07/2023,"$589,000",16/07/2023,"$589,000",Apartment/Condominium
860,"104 - 5311 Admiral Way, Delta, BC",4,3,1947 sqft,,2,,2024,R2800661,Residential,Yes,,$702,22/07/2023,"$1,368,000",19/07/2023,"$1,368,000",Townhouse
861,"98 - 5311 Admiral Way, Delta, BC",4,4,2720 sqft,,4,,2024,R2801828,Residential,Yes,,$694,22/07/2023,"$1,888,000",20/07/2023,"$1,888,000",Townhouse
862,"10 - 4910 Central Ave, Delta, BC",3,2,1483 sqft,,2,"$3,335",2007,R2800145,Residential,Yes,,$708,22/07/2023,"$1,055,000",19/07/2023,"$1,050,000",Townhouse
