,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
606,"6540 Comstock Rd, Richmond, BC",5,4,4242 sqft,,6,"$10,185",2000,R2850980,Residential,Yes,,$777,14/04/2024,"$3,130,000",18/02/2024,"$3,298,000",Single Family Residence
607,"5488 Hummingbird Dr, Richmond, BC",4,2,3180 sqft,,4,"$5,664",1982,R2868046,Residential,Yes,,$691,14/04/2024,"$2,250,000",07/04/2024,"$2,199,000",Single Family Residence
608,"428 - 9399 Odlin Rd, Richmond, BC",2,1,805 sqft,,2,"$1,915",2011,R2868089,Residential,Yes,,$867,14/04/2024,"$700,000",07/04/2024,"$698,000",Apartment/Condominium
609,"117 - 6340 Buswell St, Richmond, BC",1,1,780 sqft,,1,,1972,R2861071,Residential,Yes,,$323,14/04/2024,"$245,000",18/03/2024,"$252,000",Apartment/Condominium
610,"11746 Kingsbridge Dr, Richmond, BC",2,1,1067 sqft,,1,"$1,484",1976,R2869710,Residential,No,,$538,14/04/2024,"$615,000",09/04/2024,"$575,000",Townhouse
611,"606 - 5028 Kwantlen St, Richmond, BC",2,2,836 sqft,,1,"$2,043",2006,R2854854,Residential,Yes,,$906,14/04/2024,"$753,000",28/02/2024,"$758,000",Apartment/Condominium
612,"114 - 6340 Buswell St, Richmond, BC",2,1,861 sqft,,1,,1973,R2845580,Residential,Yes,,$348,13/04/2024,"$288,000",29/01/2024,"$299,800",Apartment/Condominium
613,"1509 - 5580 No. 3 Rd, Richmond, BC",2,2,826 sqft,,1,"$2,486",2018,R2855427,Residential,Yes,,"$1,039",13/04/2024,"$822,800",03/03/2024,"$859,000",Apartment/Condominium
614,"4160 Louisburg Pl, Richmond, BC",4,2,2168 sqft,,3,"$4,287",1980,R2865617,Residential,Yes,,$861,13/04/2024,"$1,800,000",26/03/2024,"$1,868,000",Single Family Residence
615,"22 - 11888 Mellis Dr, Richmond, BC",4,2,1482 sqft,,2,"$3,030",1998,R2869770,Residential,Yes,,$750,13/04/2024,"$1,188,000",10/04/2024,"$1,112,800",Townhouse
616,"331 - 4033 May Dr, Richmond, BC",1,1,653 sqft,,1,"$1,732",2020,R2853712,Residential,Yes,,"$1,018",12/04/2024,"$654,000",26/02/2024,"$665,000",Apartment/Condominium
617,"108 - 8451 Westminster Highway, Richmond, BC",2,1,844 sqft,,1,"$1,401",1983,R2849595,Residential,Yes,,$681,12/04/2024,"$560,000",12/02/2024,"$575,000",Apartment/Condominium
618,"102 - 9388 Odlin Rd, Richmond, BC",2,2,930 sqft,,2,"$2,223",2014,R2866704,Residential,Yes,,$805,12/04/2024,"$751,000",03/04/2024,"$749,000",Apartment/Condominium
619,"716 - 8688 Hazelbridge Way, Richmond, BC",2,2,958 sqft,,1,"$2,617",2018,R2864841,Residential,Yes,,$968,11/04/2024,"$920,000",31/03/2024,"$928,000",Apartment/Condominium
620,"102 - 8860 No. 1 Rd, Richmond, BC",2,1,920 sqft,,1,"$1,457",1973,R2869816,Residential,Yes,,$563,11/04/2024,"$500,000",10/04/2024,"$518,800",Apartment/Condominium
621,"307 - 5471 Arcadia Rd, Richmond, BC",2,1,956 sqft,,1,"$1,486",1981,R2866343,Residential,Yes,,$594,11/04/2024,"$565,000",02/04/2024,"$568,000",Apartment/Condominium
622,"302 - 3328 Carscallen Rd, Richmond, BC",1,1,650 sqft,,1,"$1,965",2021,R2863350,Residential,Yes,,"$1,058",11/04/2024,"$686,000",25/03/2024,"$688,000",Apartment/Condominium
623,"414 - 9213 Odlin Rd, Richmond, BC",2,2,870 sqft,,2,"$2,430",2021,R2864774,Residential,Yes,,$918,11/04/2024,"$830,000",28/03/2024,"$799,000",Apartment/Condominium
624,"10 - 13040 No. 2 Rd, Richmond, BC",3,2,1302 sqft,,3,"$3,204",2021,R2869354,Residential,Yes,,$996,11/04/2024,"$1,250,000",09/04/2024,"$1,298,000",Townhouse
625,"5651 Wagtail Ave, Richmond, BC",3,2,2229 sqft,,6,"$5,448",1979,R2865960,Residential,Yes,,$897,11/04/2024,"$1,965,000",02/04/2024,"$1,999,800",Single Family Residence
626,"9171 No. 4 Rd, Richmond, BC",3,1,1286 sqft,,4,"$3,598",1971,R2866200,Residential,No,,"$1,087",11/04/2024,"$1,400,000",31/03/2024,"$1,399,000",Single Family Residence
627,"605 - 10780 No. 5 Rd, Richmond, BC",1,1,634 sqft,,1,"$1,688",2018,R2864064,Residential,Yes,,$943,10/04/2024,"$590,000",25/03/2024,"$598,000",Apartment/Condominium
628,"9620 Ashwood Dr, Richmond, BC",4,2,2042 sqft,,3,"$4,501",1979,R2867567,Residential,Yes,,$832,10/04/2024,"$1,818,000",07/04/2024,"$1,699,999",Single Family Residence
629,"9351 Glenbrook Dr, Richmond, BC",3,2,1765 sqft,,2,"$4,492",1970,R2859601,Residential,Yes,,$962,10/04/2024,"$1,650,000",12/03/2024,"$1,699,000",Single Family Residence
630,"4109 Bryson Pl, Richmond, BC",5,3,2943 sqft,,0,"$5,213",1989,R2868624,Residential,Yes,,$635,10/04/2024,"$1,840,000",08/04/2024,"$1,869,000",Single Family Residence
631,"14 - 10711 No. 5 Rd, Richmond, BC",3,2,1296 sqft,,2,"$2,439",2010,R2865536,Residential,Yes,,$942,09/04/2024,"$1,186,000",02/04/2024,"$1,221,000",Townhouse
632,"407 - 6611 Minoru Blvd, Richmond, BC",1,1,708 sqft,,1,"$1,031",1971,R2866230,Residential,No,,$564,09/04/2024,"$425,000",02/04/2024,"$399,800",Apartment/Condominium
633,"702 - 6611 Cooney Rd, Richmond, BC",1,1,627 sqft,,1,"$1,289",1997,R2864955,Residential,Yes,,$858,09/04/2024,"$515,000",01/04/2024,"$538,000",Apartment/Condominium
634,"105 - 7700 Gilbert Rd, Richmond, BC",2,2,983 sqft,,1,"$1,930",1989,R2864808,Residential,Yes,,$610,-,Not Sold Yet,20/06/2024,"$728,888",Apartment/Condominium
635,"7500 Lindsay Rd, Richmond, BC",5,5,3652 sqft,,3,"$8,487",2010,R2865705,Residential,Yes,,$900,09/04/2024,"$3,128,000",01/04/2024,"$3,288,000",Single Family Residence
636,"8020 Minler Rd, Richmond, BC",5,2,2627 sqft,,6,"$5,198",1989,R2854367,Residential,Yes,,$719,09/04/2024,"$1,780,000",27/02/2024,"$1,890,000",Single Family Residence
637,"222 - 9551 Alexandra Rd, Richmond, BC",2,1,756 sqft,,2,"$2,066",2019,R2864698,Residential,Yes,,$990,09/04/2024,"$745,000",01/04/2024,"$749,000",Apartment/Condominium
