,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
71,"503 - 1501 Foster Street, Surrey, BC",1,1,687 sqft,,0,"$2,842",2021,R2892564,Residential,Yes,,"$1,048",18/06/2024,"$688,800",09/06/2024,"$720,000",Apartment/Condominium
72,"413 - 10065 133 Street, Surrey, BC",0,1,410 sqft,,0,,2026,R2882424,Residential,No,,$914,18/06/2024,"$374,990",12/05/2024,"$374,990",Apartment/Condominium
73,"18041 63 Avenue, Surrey, BC",5,2,2796 sqft,,6,"$4,957",1986,R2892738,Residential,Yes,,$536,18/06/2024,"$1,461,000",09/06/2024,"$1,499,999",Single Family Residence
74,"6280 128 Street, Surrey, BC",7,6,3928 sqft,,7,"$6,730",2015,R2891192,Residential,Yes,,$455,18/06/2024,"$1,752,500",04/06/2024,"$1,788,000",Single Family Residence
75,"53 - 7156 144 Street, Surrey, BC",3,2,1406 sqft,,2,"$3,071",2010,R2878266,Residential,Yes,,$590,18/06/2024,"$807,000",01/05/2024,"$829,900",Townhouse
76,"313 - 16380 64 Th Ave Avenue, Surrey, BC",2,2,905 sqft,,2,"$2,359",2016,R2891070,Residential,Yes,,$718,18/06/2024,"$650,000",04/06/2024,"$650,000",Apartment/Condominium
77,"6083 136 Street, Surrey, BC",3,2,1972 sqft,,4,"$5,241",1989,R2893182,Residential,Yes,,$704,18/06/2024,"$1,350,000",09/06/2024,"$1,388,888",Single Family Residence
78,"16728 20 A Avenue, Surrey, BC",6,3,2885 sqft,,5,"$4,126",2024,R2896651,Residential,Yes,,$622,18/06/2024,"$1,800,000",17/06/2024,"$1,795,000",Single Family Residence
79,"44 - 15037 58 Avenue, Surrey, BC",3,3,2404 sqft,,2,"$3,093",2002,R2896394,Residential,Yes,,$400,18/06/2024,"$960,000",17/06/2024,"$963,800",Townhouse
80,"2 - 15030 58 Avenue, Surrey, BC",3,2,1367 sqft,,2,"$2,980",1999,R2884559,Residential,Yes,,$577,18/06/2024,"$780,000",20/05/2024,"$789,900",Townhouse
81,"311 - 8110 120 A Street, Surrey, BC",1,1,720 sqft,,1,"$1,994",1997,R2891063,Residential,Yes,,$624,17/06/2024,"$428,000",04/06/2024,"$449,888",Apartment/Condominium
