,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
2035,"603 - 6152 Kathleen Ave, Burnaby, BC",2,2,1198 sqft,,1,"$1,900",1988,R2818550,Residential,Yes,,$657,01/10/2023,"$833,000",21/09/2023,"$788,000",Apartment/Condominium
2036,"8012 11 Th Ave, Burnaby, BC",4,3,1797 sqft,,1,"$4,713",1951,R2816558,Residential,Yes,,$889,01/10/2023,"$1,699,000",17/09/2023,"$1,599,000",Single Family Residence
2037,"2307 - 1788 Gilmore Ave, Burnaby, BC",2,2,900 sqft,,1,"$2,406",2019,R2814267,Residential,Yes,,"$1,031",01/10/2023,"$913,000",10/09/2023,"$928,000",Apartment/Condominium
2038,"4602 - 6000 Mckay Ave, Burnaby, BC",2,2,797 sqft,,1,"$2,640",2022,R2819194,Residential,Yes,,"$1,252",01/10/2023,"$1,108,000",24/09/2023,"$998,000",Apartment/Condominium
2039,"419 - 9857 Manchester Dr, Burnaby, BC",2,1,877 sqft,,1,"$1,231",1980,R2819315,Residential,Yes,,$613,01/10/2023,"$535,000",24/09/2023,"$537,900",Apartment/Condominium
2040,"5383 Venables St, Burnaby, BC",4,3,2680 sqft,,5,"$5,689",2005,R2808569,Residential,Yes,,$914,01/10/2023,"$2,350,000",20/08/2023,"$2,450,000",Single Family Residence
2041,"306 - 4625 Grange St, Burnaby, BC",2,2,933 sqft,,2,"$1,807",1975,R2818991,Residential,Yes,,$642,01/10/2023,"$680,000",24/09/2023,"$599,000",Apartment/Condominium
2042,"1505 - 4398 Buchanan St, Burnaby, BC",2,2,1019 sqft,,1,"$2,068",2001,R2819482,Residential,Yes,,$813,01/10/2023,"$820,000",25/09/2023,"$829,000",Apartment/Condominium
2043,"6790 Dow Ave, Burnaby, BC",2,2,1087 sqft,,1,"$1,729",1983,R2774295,Residential,Yes,,$735,01/10/2023,"$784,800",01/05/2023,"$799,000",Townhouse
2044,"173 - 9133 Government St, Burnaby, BC",3,2,1405 sqft,,2,"$2,639",2007,R2819300,Residential,Yes,,$853,01/10/2023,"$1,150,000",25/09/2023,"$1,199,800",Townhouse
2045,"2193 Duthie Ave, Burnaby, BC",5,3,2622 sqft,,0,"$4,414",1969,R2819646,Residential,Yes,,$686,01/10/2023,"$1,845,000",24/09/2023,"$1,799,888",Single Family Residence
2046,"709 - 4670 Assembly Way, Burnaby, BC",1,1,605 sqft,,1,"$1,902",2018,R2818895,Residential,Yes,,"$1,155",01/10/2023,"$730,000",24/09/2023,"$699,000",Apartment/Condominium
2047,"1602 - 9060 University Cres, Burnaby, BC",3,2,1213 sqft,,2,"$2,995",2016,R2810859,Residential,Yes,,$789,30/09/2023,"$920,000",29/08/2023,"$958,000",Apartment/Condominium
2048,"3815 Oxford St, Burnaby, BC",3,2,2398 sqft,,1,"$5,890",1929,R2819342,Residential,Yes,,$825,30/09/2023,"$1,950,000",24/09/2023,"$1,980,000",Single Family Residence
2049,"107 - 5565 Barker Ave, Burnaby, BC",2,2,1171 sqft,,1,"$1,711",1990,R2817299,Residential,Yes,,$664,30/09/2023,"$750,000",18/09/2023,"$778,000",Apartment/Condominium
2050,"807 - 6088 Willingdon Ave, Burnaby, BC",3,3,1497 sqft,,2,"$2,555",1999,R2802121,Residential,Yes,,$667,30/09/2023,"$940,000",25/07/2023,"$999,900",Apartment/Condominium
2051,"1407 - 4353 Halifax St, Burnaby, BC",2,1,906 sqft,,1,"$1,469",1983,R2816899,Residential,No,,$662,30/09/2023,"$580,000",17/09/2023,"$599,900",Apartment/Condominium
2052,"303 - 4710 Hastings St, Burnaby, BC",2,2,835 sqft,,1,"$1,945",2012,R2818849,Residential,Yes,,$885,30/09/2023,"$735,000",24/09/2023,"$739,000",Apartment/Condominium
2053,"1105 - 4880 Bennett St, Burnaby, BC",2,2,832 sqft,,1,"$2,153",2013,R2808825,Residential,Yes,,$993,29/09/2023,"$813,800",19/08/2023,"$826,800",Apartment/Condominium
2054,"6692 Napier St, Burnaby, BC",4,2,2796 sqft,,3,"$5,194",1963,R2820310,Residential,Yes,,$658,29/09/2023,"$1,875,000",27/09/2023,"$1,840,000",Single Family Residence
2055,"7691 Government Rd, Burnaby, BC",4,3,3808 sqft,,10,"$8,788",1961,R2813612,Residential,Yes,,$682,29/09/2023,"$2,300,000",07/09/2023,"$2,599,900",Single Family Residence
2056,"2102 - 6608 Sussex Ave, Burnaby, BC",1,1,727 sqft,,1,,2026,R2822010,Residential,Yes,,"$1,302",29/09/2023,"$946,900",29/09/2023,"$946,900",Apartment/Condominium
2057,"1007 - 4132 Halifax St, Burnaby, BC",2,2,922 sqft,,1,"$1,997",2005,R2814107,Residential,Yes,,$866,29/09/2023,"$775,000",10/09/2023,"$799,000",Apartment/Condominium
2058,"1905 - 6540 Burlington Ave, Burnaby, BC",2,1,1067 sqft,,1,"$1,553",1983,R2812170,Residential,Yes,,$702,29/09/2023,"$748,000",04/09/2023,"$750,000",Apartment/Condominium
2059,"3809 - 1788 Gilmore Ave, Burnaby, BC",1,1,660 sqft,,1,"$1,954",2019,R2797687,Residential,Yes,,"$1,148",29/09/2023,"$712,000",09/07/2023,"$758,000",Apartment/Condominium
2060,"105 - 9250 University High St, Burnaby, BC",2,2,1000 sqft,,1,"$1,749",2012,R2816840,Residential,Yes,,$649,29/09/2023,"$652,000",17/09/2023,"$649,000",Apartment/Condominium
2061,"102 - 7599 15 Th St, Burnaby, BC",1,1,606 sqft,,1,,2023,R2784435,Residential,Yes,,"$1,072",28/09/2023,"$649,900",01/06/2023,"$649,900",Apartment/Condominium
2062,"705 - 2181 Madison Ave, Burnaby, BC",1,1,560 sqft,,1,,2023,R2815774,Residential,Yes,,"$1,213",28/09/2023,"$664,000",13/09/2023,"$679,800",Apartment/Condominium
2063,"275 Grosvenor Ave N, Burnaby, BC",3,2,1055 sqft,,3,"$5,583",1956,R2816388,Residential,No,,"$1,895",28/09/2023,"$1,916,500",17/09/2023,"$1,999,999",Single Family Residence
2064,"6375 Neville St, Burnaby, BC",8,5,3723 sqft,,4,"$6,306",1994,R2792672,Residential,Yes,,$644,28/09/2023,"$2,385,000",25/06/2023,"$2,399,999",Single Family Residence
2065,"6323 Leibly Ave, Burnaby, BC",8,5,4501 sqft,,6,"$7,520",2007,R2808780,Residential,Yes,,$641,28/09/2023,"$2,838,000",17/08/2023,"$2,888,888",Single Family Residence
2066,"1910 - 6608 Sussex Ave, Burnaby, BC",3,2,1031 sqft,,1,,2026,R2821559,Residential,Yes,,"$1,278",28/09/2023,"$1,317,900",28/09/2023,"$1,317,900",Apartment/Condominium
2067,"2 - 7136 18th Ave, Burnaby, BC",3,2,1242 sqft,,1,"$2,214",2006,R2784913,Residential,Yes,,$764,28/09/2023,"$896,000",04/06/2023,"$949,000",Townhouse
2068,"7263 Inlet Dr, Burnaby, BC",6,1,2774 sqft,,4,"$4,597",1950,R2818719,Residential,Yes,,$630,28/09/2023,"$1,750,000",26/09/2023,"$1,749,000",Single Family Residence
2069,"907 - 8485 New Haven Close, Burnaby, BC",4,3,1715 sqft,,2,"$3,184",2011,R2816837,Residential,Yes,,$809,28/09/2023,"$1,315,000",17/09/2023,"$1,388,000",Townhouse
2070,"2499 North Rd, Burnaby, BC",4,2,1993 sqft,,5,"$4,072",1965,R2818061,Residential,No,,$797,27/09/2023,"$1,788,000",18/09/2023,"$1,588,800",Single Family Residence
2071,"8957 Corona Pl, Burnaby, BC",4,2,1702 sqft,,1,"$2,123",1972,R2819822,Residential,No,,$469,27/09/2023,"$830,000",26/09/2023,"$799,000",Townhouse
2072,"8548 Karrman Ave, Burnaby, BC",4,2,2128 sqft,,2,"$4,218",1954,R2818351,Residential,Yes,,$704,27/09/2023,"$1,520,000",21/09/2023,"$1,499,000",Single Family Residence
2073,"1903 - 6398 Silver Ave, Burnaby, BC",2,2,914 sqft,,1,"$2,325",2022,R2816537,Residential,Yes,,"$1,288",27/09/2023,"$1,165,000",17/09/2023,"$1,178,000",Apartment/Condominium
2074,"7487 2nd St, Burnaby, BC",5,3,2253 sqft,,2,"$4,569",1962,R2787701,Residential,Yes,,$709,27/09/2023,"$1,530,000",11/06/2023,"$1,598,000",Single Family Residence
2075,"7639 Stanley Cres, Burnaby, BC",5,4,3449 sqft,,4,"$7,264",1958,R2815171,Residential,Yes,,$840,26/09/2023,"$2,750,000",11/09/2023,"$2,900,000",Single Family Residence
2076,"3887 - 3889 Gilpin St, Burnaby, BC",10,4,4638 sqft,,2,"$6,977",1970,R2815219,Residential,No,,$579,26/09/2023,"$2,600,000",12/09/2023,"$2,690,000",Multi Family
2077,"1405 - 5311 Goring St, Burnaby, BC",2,2,884 sqft,,1,"$2,523",2021,R2819650,Residential,Yes,,$971,26/09/2023,"$845,000",25/09/2023,"$858,800",Apartment/Condominium
2078,"3952 Brandon St, Burnaby, BC",4,3,2038 sqft,,3,"$4,677",2016,R2806827,Residential,Yes,,"$1,024",26/09/2023,"$1,965,000",13/08/2023,"$2,088,000",Multi Family
2079,"2503 - 6888 Station Hill Dr, Burnaby, BC",2,2,1572 sqft,,2,"$2,924",1992,R2813722,Residential,Yes,,$699,25/09/2023,"$1,070,000",11/09/2023,"$1,098,888",Apartment/Condominium
2080,"4857 Smith Ave, Burnaby, BC",5,3,1962 sqft,,3,"$5,174",2021,R2814046,Residential,Yes,,"$1,019",25/09/2023,"$1,985,000",10/09/2023,"$1,999,900",Multi Family
2081,"421 - 4833 Brentwood Dr, Burnaby, BC",2,2,872 sqft,,2,"$1,864",2008,R2817471,Residential,Yes,,$916,25/09/2023,"$785,000",18/09/2023,"$799,000",Apartment/Condominium
2082,"10 - 1588 Duthie Ave, Burnaby, BC",3,2,1674 sqft,,1,"$2,822",1994,R2814729,Residential,Yes,,$817,25/09/2023,"$1,348,888",11/09/2023,"$1,368,000",Townhouse
2083,"1607 - 4670 Assembly Way, Burnaby, BC",1,1,664 sqft,,1,"$1,925",2018,R2818331,Residential,Yes,,"$1,186",25/09/2023,"$775,000",21/09/2023,"$788,000",Apartment/Condominium
2084,"337 - 9101 Horne St, Burnaby, BC",3,2,1135 sqft,,1,"$1,520",1975,R2817521,Residential,Yes,,$555,25/09/2023,"$620,000",21/09/2023,"$630,000",Apartment/Condominium
2085,"4821 Ridgelawn Dr, Burnaby, BC",3,2,1857 sqft,,3,"$5,673",1955,R2817139,Residential,Yes,,"$1,070",25/09/2023,"$1,915,000",18/09/2023,"$1,988,000",Single Family Residence
2086,"308 - 6658 Dow Ave, Burnaby, BC",1,1,600 sqft,,1,"$1,585",2014,R2816253,Residential,Yes,,"$1,048",25/09/2023,"$635,000",13/09/2023,"$629,000",Apartment/Condominium
2087,"905 - 6823 Station Hill Dr, Burnaby, BC",2,2,751 sqft,,1,"$1,617",2007,R2816576,Residential,Yes,,$865,25/09/2023,"$670,000",17/09/2023,"$649,900",Apartment/Condominium
2088,"4230 Napier St, Burnaby, BC",3,1,1700 sqft,,2,"$5,153",1947,R2815349,Residential,Yes,,"$1,038",25/09/2023,"$1,710,000",12/09/2023,"$1,765,000",Single Family Residence
