,Unnamed: 0,address,beds,bath,area,maintenance,type,parking,taxes,built,mlsNumber,levels,garage,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
41,41,"9 - 1135 Lansdowne Dr, Coquitlam, BC",3.0,2.0,1761 sqft,,Townhouse,2.0,"$3,019",1989.0,R2893028,Residential,Yes,$612,17/06/2024,"$1,150,000",09/06/2024,"$1,078,000"
42,42,"145 - 548 Foster Ave, Coquitlam, BC",4.0,3.0,1617 sqft,,Townhouse,3.0,"$4,375",2015.0,R2893866,Residential,Yes,$828,17/06/2024,"$1,351,000",11/06/2024,"$1,339,980"
43,43,"1908 - 2968 Glen Dr, Coquitlam, BC",1.0,1.0,682 sqft,,Apartment/Condominium,1.0,"$2,071",2012.0,R2890562,Residential,Yes,$879,17/06/2024,"$618,000",03/06/2024,"$599,900"
44,44,"931 Poirier St, Coquitlam, BC",4.0,2.0,2268 sqft,,Single Family Residence,5.0,"$4,764",1960.0,R2880730,Residential,Yes,$789,17/06/2024,"$1,770,000",07/05/2024,"$1,790,000"
45,45,"1208 - 1045 Austin Ave, Coquitlam, BC",1.0,1.0,547 sqft,,Apartment/Condominium,1.0,,2023.0,R2885896,Residential,Yes,"$1,096",17/06/2024,"$583,000",21/05/2024,"$599,900"
46,46,"129 - 1460 Southview St, Coquitlam, BC",4.0,3.0,1787 sqft,,Townhouse,4.0,"$3,211",2011.0,R2892519,Residential,Yes,$648,17/06/2024,"$1,200,000",09/06/2024,"$1,159,000"
47,47,"910 - 635 Gardena Dr, Coquitlam, BC",1.0,1.0,468 sqft,,Apartment/Condominium,1.0,,2026.0,R2897481,Residential,Yes,"$1,410",17/06/2024,"$659,900",17/06/2024,"$659,900"
48,48,"416 - 2968 Burlington Dr, Coquitlam, BC",2.0,2.0,1220 sqft,,Apartment/Condominium,2.0,"$2,290",1993.0,R2893507,Residential,Yes,$622,17/06/2024,"$740,000",09/06/2024,"$759,900"
49,49,"808 - 555 Delestre Ave, Coquitlam, BC",0.0,1.0,380 sqft,,Apartment/Condominium,1.0,"$1,061",2008.0,R2890027,Residential,Yes,"$1,092",16/06/2024,"$408,000",02/06/2024,"$415,000"
50,50,"3172 Capstan Cres, Coquitlam, BC",4.0,2.0,2013 sqft,,Single Family Residence,4.0,"$4,527",1975.0,R2890283,Residential,Yes,$863,16/06/2024,"$1,690,000",03/06/2024,"$1,738,000"
51,51,"116 - 1153 Kensal Pl, Coquitlam, BC",2.0,2.0,1015 sqft,,Apartment/Condominium,1.0,"$2,183",2011.0,R2886916,Residential,Yes,$796,16/06/2024,"$792,000",22/05/2024,"$808,000"
52,52,"807 - 1190 Pipeline Rd, Coquitlam, BC",2.0,2.0,1044 sqft,,Apartment/Condominium,2.0,"$1,851",1994.0,R2891457,Residential,Yes,$646,16/06/2024,"$665,000",05/06/2024,"$675,000"
53,53,"78 - 1305 Soball St, Coquitlam, BC",3.0,2.0,1315 sqft,,Townhouse,3.0,"$2,617",2012.0,R2887734,Residential,Yes,$744,15/06/2024,"$949,000",27/05/2024,"$979,000"
54,54,"2108 - 530 Whiting Way, Coquitlam, BC",2.0,2.0,810 sqft,,Apartment/Condominium,1.0,"$2,340",2019.0,R2892724,Residential,Yes,$925,15/06/2024,"$750,000",09/06/2024,"$750,000"
55,55,"346 - 3098 Guildford Way, Coquitlam, BC",2.0,2.0,1318 sqft,,Apartment/Condominium,2.0,"$2,050",1996.0,R2892747,Residential,Yes,$550,15/06/2024,"$720,000",09/06/2024,"$724,900"
56,56,"1009 - 2975 Atlantic Ave, Coquitlam, BC",1.0,1.0,592 sqft,,Apartment/Condominium,1.0,"$1,576",2014.0,R2878655,Residential,Yes,$954,15/06/2024,"$560,000",02/05/2024,"$565,000"
57,57,"118 - 708 Lea Ave, Coquitlam, BC",1.0,1.0,490 sqft,,Apartment/Condominium,1.0,,2022.0,R2894842,Residential,Yes,"$1,077",15/06/2024,"$513,990",12/06/2024,"$528,000"
58,58,"904 691 North Rd, Coquitlam, BC",2.0,2.0,777 sqft,,Apartment/Condominium,1.0,"$2,118",2019.0,R2874629,Residential,Yes,$952,15/06/2024,"$718,000",23/04/2024,"$739,800"
59,59,"104 - 1331 Olmsted St, Coquitlam, BC",3.0,2.0,1511 sqft,,Townhouse,2.0,,2024.0,R2880594,Residential,Yes,$906,15/06/2024,"$1,369,900",06/05/2024,"$1,369,900"
60,60,"1133 Rochester Ave, Coquitlam, BC",6.0,2.0,2600 sqft,,Duplex,4.0,"$5,349",1977.0,R2857295,Residential Income,No,$845,14/06/2024,"$2,040,000",07/03/2024,"$2,199,000"
61,61,"142 - 201 Cayer St, Coquitlam, BC",2.0,2.0,960 sqft,,Manufactured Home,5.0,$447,1972.0,R2855090,Residential,No,$333,14/06/2024,"$295,000",03/03/2024,"$319,900"
62,62,"206 - 708 Edgar Ave, Coquitlam, BC",2.0,2.0,891 sqft,,Apartment/Condominium,1.0,,2024.0,R2889220,Residential,Yes,$784,10/06/2024,"$773,800",30/05/2024,"$699,000"
63,63,"3407 - 1182 Westwood St, Coquitlam, BC",2.0,2.0,805 sqft,,Apartment/Condominium,1.0,,2023.0,R2872662,Residential,Yes,"$1,054",10/06/2024,"$849,000",17/04/2024,"$849,000"
64,64,"701 - 3102 Windsor Gate, Coquitlam, BC",2.0,2.0,901 sqft,,Apartment/Condominium,1.0,"$2,095",2013.0,R2879183,Residential,Yes,$874,10/06/2024,"$775,000",05/05/2024,"$788,000"
65,65,"107 - 1432 Parkway Blvd, Coquitlam, BC",2.0,2.0,914 sqft,,Apartment/Condominium,2.0,"$1,899",1998.0,R2890639,Residential,Yes,$765,09/06/2024,"$692,500",03/06/2024,"$699,800"
66,66,"207 - 202 Lebleu St, Coquitlam, BC",2.0,2.0,1009 sqft,,Apartment/Condominium,2.0,"$2,115",2014.0,R2873717,Residential,Yes,$738,09/06/2024,"$730,000",21/04/2024,"$745,000"
67,67,"610 Berry St, Coquitlam, BC",3.0,1.0,2414 sqft,,Single Family Residence,10.0,"$3,769",1961.0,R2891678,Residential,No,$642,09/06/2024,"$1,550,000",04/06/2024,"$1,549,900"
68,68,"103 - 600 Rochester Ave, Coquitlam, BC",2.0,2.0,1026 sqft,,Apartment/Condominium,0.0,,2025.0,R2886840,Residential,Yes,$955,09/06/2024,"$979,900",22/05/2024,"$979,900"
69,69,"2602 - 1188 Pinetree Way, Coquitlam, BC",1.0,1.0,560 sqft,,Apartment/Condominium,1.0,"$1,691",2015.0,R2890695,Residential,Yes,"$1,035",09/06/2024,"$585,000",03/06/2024,"$580,000"
70,70,"104 - 3065 Primrose Lane, Coquitlam, BC",2.0,1.0,883 sqft,,Apartment/Condominium,1.0,"$1,537",1994.0,R2887626,Residential,Yes,$678,09/06/2024,"$595,000",26/05/2024,"$598,800"
71,71,"602 - 585 Austin Ave, Coquitlam, BC",1.0,1.0,643 sqft,,Apartment/Condominium,1.0,"$1,983",2022.0,R2887599,Residential,Yes,"$1,069",09/06/2024,"$682,500",26/05/2024,"$688,000"
72,72,"510 - 2966 Silver Springs Blvd, Coquitlam, BC",2.0,2.0,904 sqft,,Apartment/Condominium,2.0,"$1,912",2005.0,R2891168,Residential,Yes,$761,09/06/2024,"$668,000",04/06/2024,"$688,000"
73,73,"1508 - 1188 Pinetree Way, Coquitlam, BC",2.0,2.0,809 sqft,,Apartment/Condominium,1.0,"$2,102",2015.0,R2889641,Residential,Yes,$864,09/06/2024,"$690,000",02/06/2024,"$699,000"
74,74,"1902 - 1045 Austin Ave, Coquitlam, BC",2.0,2.0,824 sqft,,Apartment/Condominium,1.0,,2023.0,R2888655,Residential,Yes,"$1,030",09/06/2024,"$835,000",28/05/2024,"$848,800"
75,75,"1378 Deeridge Lane, Coquitlam, BC",4.0,2.0,3264 sqft,,Single Family Residence,4.0,"$4,820",1983.0,R2890862,Residential,Yes,$520,09/06/2024,"$1,692,500",04/06/2024,"$1,699,900"
76,76,"1687 Smith Ave, Coquitlam, BC",9.0,7.0,6137 sqft,,Single Family Residence,5.0,"$8,035",2013.0,R2810664,Residential,Yes,$485,09/06/2024,"$2,790,000",29/08/2023,"$2,980,000"
77,77,"200 San Juan Pl, Coquitlam, BC",4.0,2.0,2121 sqft,,Single Family Residence,4.0,"$4,187",1990.0,R2881421,Residential,Yes,$673,09/06/2024,"$1,400,000",08/05/2024,"$1,428,000"
78,78,"1592 Regan Ave, Coquitlam, BC",3.0,1.0,2245 sqft,,Single Family Residence,4.0,"$4,958",1967.0,R2879461,Residential,No,$757,08/06/2024,"$1,645,000",05/05/2024,"$1,699,900"
79,79,"3230 Georgeson Ave, Coquitlam, BC",3.0,1.0,1850 sqft,,Single Family Residence,2.0,"$3,605",1979.0,R2891028,Residential,Yes,$648,08/06/2024,"$1,180,000",03/06/2024,"$1,199,900"
80,80,"37 - 1305 Soball St, Coquitlam, BC",3.0,2.0,1385 sqft,,Townhouse,2.0,"$2,849",2011.0,R2890350,Residential,Yes,$784,07/06/2024,"$1,065,000",03/06/2024,"$1,086,000"
81,81,"1381 Hames Cres, Coquitlam, BC",5.0,5.0,3661 sqft,,Single Family Residence,4.0,"$6,599",2018.0,R2878623,Residential,Yes,$682,07/06/2024,"$2,460,000",30/04/2024,"$2,499,000"
82,82,"236 - 1252 Town Centre Blvd, Coquitlam, BC",2.0,2.0,989 sqft,,Apartment/Condominium,1.0,"$1,857",1996.0,R2885739,Residential,Yes,$657,06/06/2024,"$640,000",21/05/2024,"$650,000"
83,83,"167 - 3550 Mcvicar Crt, Coquitlam, BC",3.0,2.0,1323 sqft,,Townhouse,2.0,,2026.0,R2892195,Residential,Yes,$823,06/06/2024,"$1,089,900",06/06/2024,"$1,089,900"
84,84,"200 - 1310 Mitchell St, Coquitlam, BC",3.0,2.0,1554 sqft,,Townhouse,2.0,,2024.0,R2887790,Residential,Yes,$803,06/06/2024,"$1,226,000",26/05/2024,"$1,249,000"
85,85,,,,,,,,,,,,,,,,,
86,86,,,,,,,3.0,"$4,772",1955.0,R2881995,Residential,Yes,$625,,,,
87,87,"1784 Coleman Ave, Coquitlam, BC",3.0,2.0,1668 sqft,,Multi Family,3.0,"$3,275",1986.0,R2843549,Residential,No,$653,05/06/2024,"$1,070,000",21/01/2024,"$1,090,000"
88,88,"102 - 621 Regan Ave, Coquitlam, BC",2.0,2.0,826 sqft,,Apartment/Condominium,1.0,"$2,219",2020.0,R2888254,Residential,Yes,$968,05/06/2024,"$780,000",28/05/2024,"$799,888"
89,89,"307 - 888 Gauthier Ave, Coquitlam, BC",2.0,2.0,919 sqft,,Apartment/Condominium,1.0,"$1,622",1994.0,R2890344,Residential,Yes,$707,05/06/2024,"$637,000",02/06/2024,"$649,900"
90,90,"305 - 3098 Guildford Way, Coquitlam, BC",2.0,2.0,1078 sqft,,Apartment/Condominium,1.0,"$1,811",1997.0,R2887006,Residential,Yes,$649,04/06/2024,"$680,000",26/05/2024,"$699,900"
91,91,"7 - 638 Regan Ave, Coquitlam, BC",2.0,2.0,1157 sqft,,Townhouse,2.0,"$2,513",2015.0,R2871631,Residential,Yes,$756,04/06/2024,"$870,000",15/04/2024,"$875,000"
92,92,"214 - 99 Begin St, Coquitlam, BC",1.0,1.0,647 sqft,,Apartment/Condominium,1.0,"$1,257",1989.0,R2887428,Residential,Yes,$754,04/06/2024,"$498,000",26/05/2024,"$488,000"
93,93,"1 - 2990 Panorama Dr, Coquitlam, BC",3.0,3.0,2349 sqft,,Townhouse,2.0,"$3,205",1992.0,R2879735,Residential,Yes,$574,04/06/2024,"$1,345,000",05/05/2024,"$1,349,000"
94,94,"1628 Sundew Pl, Coquitlam, BC",6.0,3.0,3311 sqft,,Single Family Residence,6.0,"$5,428",1993.0,R2885598,Residential,Yes,$615,03/06/2024,"$2,016,000",21/05/2024,"$2,038,000"
95,95,"105 - 750 Dogwood St, Coquitlam, BC",2.0,2.0,891 sqft,,Apartment/Condominium,1.0,"$2,491",2022.0,R2889016,Residential,Yes,$784,03/06/2024,"$775,000",28/05/2024,"$699,000"
96,96,"503 - 450 Westview St, Coquitlam, BC",1.0,1.0,558 sqft,,Apartment/Condominium,1.0,"$1,668",2021.0,R2879327,Residential,Yes,"$1,073",03/06/2024,"$588,000",05/05/2024,"$599,000"
97,97,"422 - 528 Rochester Ave, Coquitlam, BC",1.0,1.0,592 sqft,,Apartment/Condominium,1.0,"$1,434",1998.0,R2887270,Residential,Yes,$775,03/06/2024,"$460,000",26/05/2024,"$459,000"
98,98,"2970 Admiral Crt, Coquitlam, BC",4.0,3.0,3676 sqft,,Single Family Residence,6.0,"$4,948",1983.0,R2882655,Residential,No,$462,03/06/2024,"$1,680,000",13/05/2024,"$1,699,900"
99,99,"209 601 North Rd, Coquitlam, BC",1.0,1.0,702 sqft,,Apartment/Condominium,1.0,"$1,209",1977.0,R2878831,Residential,Yes,$652,03/06/2024,"$450,000",02/05/2024,"$458,000"
100,100,"116 - 1310 Mitchell St, Coquitlam, BC",4.0,3.0,1459 sqft,,Townhouse,2.0,,2024.0,R2863824,Residential,Yes,$856,03/06/2024,"$1,142,857",27/03/2024,"$1,249,000"
101,101,"1603 - 3100 Windsor Gate, Coquitlam, BC",2.0,2.0,933 sqft,,Apartment/Condominium,1.0,"$2,448",2018.0,R2876091,Residential,Yes,$948,03/06/2024,"$860,000",28/04/2024,"$885,000"
102,102,"510 - 1415 Parkway Blvd, Coquitlam, BC",2.0,2.0,1166 sqft,,Apartment/Condominium,2.0,"$2,644",2012.0,R2879922,Residential,Yes,$813,03/06/2024,"$920,000",06/05/2024,"$949,000"
103,103,"106 - 1465 Parkway Blvd, Coquitlam, BC",3.0,2.0,2472 sqft,,Townhouse,2.0,"$3,476",1995.0,R2887545,Residential,Yes,$465,03/06/2024,"$1,150,000",26/05/2024,"$1,150,000"
104,104,"3601 - 2980 Atlantic Ave, Coquitlam, BC",3.0,2.0,1328 sqft,,Apartment/Condominium,1.0,"$3,163",2009.0,R2888448,Residential,Yes,$850,03/06/2024,"$1,100,000",27/05/2024,"$1,129,000"
105,105,"3 - 1225 Holtby St, Coquitlam, BC",3.0,2.0,2278 sqft,,Townhouse,2.0,"$3,557",2010.0,R2887528,Residential,Yes,$570,03/06/2024,"$1,275,000",26/05/2024,"$1,299,000"
106,106,"224 - 99 Begin St, Coquitlam, BC",1.0,1.0,644 sqft,,Apartment/Condominium,1.0,"$1,285",1989.0,R2890300,Residential,Yes,$759,03/06/2024,"$490,000",03/06/2024,"$489,000"
107,107,"1706 - 570 Emerson St, Coquitlam, BC",2.0,2.0,874 sqft,,Apartment/Condominium,1.0,"$2,337",2017.0,R2880177,Residential,Yes,$937,03/06/2024,"$796,300",05/05/2024,"$819,000"
108,108,"802 - 585 Austin Ave, Coquitlam, BC",1.0,1.0,655 sqft,,Apartment/Condominium,1.0,"$1,428",2022.0,R2857756,Residential,Yes,"$1,099",03/06/2024,"$703,000",10/03/2024,"$720,000"
109,109,"206 - 1150 Kensal Pl, Coquitlam, BC",2.0,2.0,824 sqft,,Apartment/Condominium,1.0,"$1,945",2012.0,R2887840,Residential,Yes,$855,03/06/2024,"$704,000",27/05/2024,"$705,000"
110,110,"61 - 1370 Purcell Dr, Coquitlam, BC",4.0,4.0,1968 sqft,,Townhouse,5.0,"$3,819",2008.0,R2882335,Residential,Yes,$609,02/06/2024,"$1,372,500",12/05/2024,"$1,198,888"
111,111,"1008 - 595 Austin Ave, Coquitlam, BC",2.0,2.0,911 sqft,,Apartment/Condominium,1.0,"$2,653",2022.0,R2865024,Residential,Yes,"$1,092",02/06/2024,"$985,000",01/04/2024,"$995,000"
112,112,"511 - 667 Elmwood St, Coquitlam, BC",2.0,1.0,642 sqft,,Apartment/Condominium,1.0,,2026.0,R2881826,Residential,Yes,"$1,161",02/06/2024,"$745,400",10/05/2024,"$745,400"
113,113,"2868 Mara Dr, Coquitlam, BC",3.0,2.0,3160 sqft,,Single Family Residence,5.0,,1988.0,R2888226,Residential,Yes,$559,02/06/2024,"$1,795,000",28/05/2024,"$1,768,000"
114,114,"709 - 657 Whiting Way, Coquitlam, BC",2.0,1.0,738 sqft,,Apartment/Condominium,1.0,"$2,089",2019.0,R2885227,Residential,Yes,$986,02/06/2024,"$718,000",20/05/2024,"$728,000"
115,115,"927 Spence Ave, Coquitlam, BC",4.0,2.0,2289 sqft,,Single Family Residence,4.0,"$5,153",1959.0,R2888772,Residential,Yes,$781,02/06/2024,"$1,760,000",29/05/2024,"$1,788,000"
116,116,"1015 Saddle St, Coquitlam, BC",6.0,3.0,2579 sqft,,Single Family Residence,8.0,"$4,269",1973.0,R2887133,Residential,Yes,$581,02/06/2024,"$1,470,000",26/05/2024,"$1,500,000"
117,117,"13 - 1219 Burke Mountain St, Coquitlam, BC",4.0,2.0,1569 sqft,,Townhouse,2.0,"$2,914",2013.0,R2882102,Residential,Yes,$700,,,,
118,118,"1313 Hornby St, Coquitlam, BC",3.0,2.0,1834 sqft,,Single Family Residence,1.0,"$3,845",1981.0,R2885081,Residential,Yes,$720,01/06/2024,"$1,275,000",19/05/2024,"$1,322,000"
119,119,"2608 - 3093 Windsor Gate, Coquitlam, BC",2.0,2.0,1041 sqft,,Apartment/Condominium,1.0,"$2,673",2016.0,R2879582,Residential,Yes,$901,,,,
120,120,"305 - 1122 King Albert Ave, Coquitlam, BC",2.0,1.0,821 sqft,,Apartment/Condominium,2.0,,1981.0,R2884530,Residential,Yes,$681,01/06/2024,"$550,000",20/05/2024,"$559,900"
