mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice
R2890731,3,2,"15111 Russell Ave, White Rock, BC, Canada",2120.0,1,2945.0,330.0,1995,Condo,03/06/2024,699900.0
R2891462,5,6,"14753 Upper Roper Ave, White Rock, BC, Canada",5344.0,5,14571.0,651.0,2014,SingleFamily,02/06/2024,3480000.0
R2891269,2,1,"15427 Victoria Ave, White Rock, BC, Canada",1105.0,0,6831.0,1492.0,1950,SingleFamily,02/06/2024,1649000.0
R2889912,5,2,"1235 Lee St, White Rock, BC, Canada",2240.0,4,6661.0,892.0,1961,SingleFamily,02/06/2024,1999999.0
R2886362,4,3,"1229 Anderson St, White Rock, BC, Canada",3573.0,5,11133.0,839.0,2006,SingleFamily,22/05/2024,2998000.0
R2885909,2,2,"1526 Finlay St, White Rock, BC, Canada",908.0,2,3547.0,1145.0,2022,Condo,21/05/2024,1039999.0
R2886331,2,2,"15152 Russell Ave, White Rock, BC, Canada",2379.0,4,13922.0,1439.0,2009,Condo,22/05/2024,3425000.0
R2884403,7,7,"15568 Cliff Ave, White Rock, BC, Canada",5509.0,10,14937.0,687.0,2016,SingleFamily,21/05/2024,3788000.0
R2885020,1,1,"1444 Martin St, White Rock, BC, Canada",655.0,1,1404.0,653.0,1973,Condo,20/05/2024,428000.0
R2885803,2,2,"15152 Russell Ave, White Rock, BC, Canada",956.0,2,3042.0,908.0,2009,Condo,21/05/2024,869000.0
R2885619,0,1,"1473 Johnston Rd, White Rock, BC, Canada",502.0,1,1799.0,995.0,2009,Condo,21/05/2024,499900.0
R2885800,2,2,"1420 Johnston Rd, White Rock, BC, Canada",1071.0,1,3409.0,840.0,2013,Condo,21/05/2024,899900.0
R2880949,2,2,"15941 Marine Dr, White Rock, BC, Canada",1085.0,1,2707.0,645.0,1992,Condo,08/05/2024,699999.0
R2880161,2,1,"1371 Foster St, White Rock, BC, Canada",934.0,1,1940.0,535.0,1974,Condo,06/05/2024,499900.0
R2881184,4,3,"15454 Goggs Ave, White Rock, BC, Canada",2585.0,2,6230.0,649.0,2003,SingleFamily,08/05/2024,1679000.0
R2879821,2,2,"15165 Thrift Ave, White Rock, BC, Canada",1073.0,2,5510.0,1397.0,2020,Condo,07/05/2024,1499000.0
R2881492,2,1,"14623 W Beach Ave, White Rock, BC, Canada",876.0,2,8642.0,2111.0,9999,SingleFamily,08/05/2024,1850000.0
R2879837,4,3,"1386 Bishop Rd, White Rock, BC, Canada",3935.0,5,10599.0,901.0,1991,SingleFamily,07/05/2024,3549000.0
R2880116,3,3,"15213 Pacific Ave, White Rock, BC, Canada",1724.0,1,3184.0,578.0,1993,Condo,06/05/2024,998000.0
R2880399,2,2,"1501 Foster St, White Rock, BC, Canada",1123.0,2,3971.0,1024.0,2022,Condo,06/05/2024,1150000.0
R2873207,2,2,"15245 Victoria Ave, White Rock, BC, Canada",1705.0,5,6870.0,996.0,1922,SingleFamily,21/04/2024,1699000.0
R2875297,2,2,"1575 Best St, White Rock, BC, Canada",1314.0,1,2494.0,551.0,1995,Condo,22/04/2024,725000.0
R2874842,2,1,"15542 Columbia Ave, White Rock, BC, Canada",1660.0,0,7549.0,1137.0,1973,SingleFamily,21/04/2024,1888888.0
R2874890,3,2,"1071 Stevens St, White Rock, BC, Canada",2207.0,5,6604.0,761.0,1982,SingleFamily,22/04/2024,1680000.0
R2871038,4,2,"1080 Parker St, White Rock, BC, Canada",2150.0,5,7271.0,802.0,1975,SingleFamily,23/04/2024,1725000.0
R2871752,2,2,"1576 Merklin St, White Rock, BC, Canada",1020.0,1,2373.0,617.0,1994,Condo,19/04/2024,629900.0
R2866961,2,2,"1501 Foster St, White Rock, BC, Canada",1164.0,2,4078.0,1112.0,2022,Condo,04/04/2024,1295000.0
R2869668,1,1,"1319 Martin St, White Rock, BC, Canada",854.0,1,1796.0,526.0,1973,Condo,09/04/2024,449900.0
R2868516,3,1,"15644 Roper Ave, White Rock, BC, Canada",1347.0,0,6882.0,1239.0,1960,SingleFamily,07/04/2024,1670000.0
R2867422,2,2,"1500 Martin St, White Rock, BC, Canada",1122.0,2,3957.0,971.0,2022,Condo,07/04/2024,1090000.0
R2868879,3,1,"14200 Marine Dr, White Rock, BC, Canada",1972.0,0,14196.0,1871.0,1929,SingleFamily,07/04/2024,3690000.0
R2868081,2,2,"15165 Thrift Ave, White Rock, BC, Canada",985.0,2,3469.0,1218.0,2020,Condo,07/04/2024,1199800.0
R2869489,7,6,"1349 Anderson St, White Rock, BC, Canada",5848.0,10,16508.0,1025.0,2023,SingleFamily,08/04/2024,5999000.0
R2858027,7,6,"1265 Stayte Rd, White Rock, BC, Canada",6594.0,6,12276.0,606.0,2017,SingleFamily,10/03/2024,3999000.0
R2859179,6,7,"14480 Magdalen Cres, White Rock, BC, Canada",9518.0,13,19953.0,628.0,2009,SingleFamily,13/03/2024,5980000.0
R2856299,2,2,"15111 Russell Ave, White Rock, BC, Canada",1152.0,1,2018.0,494.0,1988,Condo,05/03/2024,569900.0
R2853088,4,2,"14507 Sunset Dr, White Rock, BC, Canada",2368.0,4,13319.0,1891.0,9999,SingleFamily,25/02/2024,4480000.0
R2852616,2,2,"1500 Martin St, White Rock, BC, Canada",1245.0,2,4427.0,1082.0,2022,Condo,22/02/2024,1348000.0
R2859320,3,1,"15530 Thrift Ave, White Rock, BC, Canada",1387.0,3,6739.0,1189.0,1963,SingleFamily,13/03/2024,1649989.0
R2859866,5,3,"14371 Sunset Dr, White Rock, BC, Canada",3363.0,6,11796.0,1248.0,1964,SingleFamily,14/03/2024,4198000.0
R2851511,2,2,"14824 N Bluff Rd, White Rock, BC, Canada",1471.0,2,5718.0,917.0,2007,Condo,20/02/2024,1350000.0
