,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
531,Apartment/Condominium,"$4,819",1277 sqft,Yes,"$1,331",R2897569,,Residential,2019,,"603 - 5033 Cambie St, Vancouver, BC",2,3,2,19/06/2024,"$1,699,900",-,Not Sold Yet
532,Multi Family,"$4,147",1724 sqft,Yes,$794,R2588455,,Residential,2000,,"7855 Fraser St, Vancouver, BC",2,6,1,01/06/2021,"$1,369,000",14/08/2021,"$1,400,000"
533,Apartment/Condominium,"$1,690",1272 sqft,Yes,$942,R2607133,,Residential,1993,,"113 - 5835 Hampton Pl, Vancouver, BC",2,2,1,03/08/2021,"$1,199,000",14/08/2021,"$1,090,000"
534,Apartment/Condominium,,-,No,,R2725539,,Residential Lease,,,"505 - 3487 Binning Rd, Vancouver, BC",2,2,1,20/09/2022,"$4,195",15/11/2022,"$4,195"
535,Apartment/Condominium,"$2,440",795 sqft,Yes,"$1,131",R2602915,,Residential,2015,,"2702 - 489 Interurban Way, Vancouver, BC",2,2,1,18/07/2021,"$899,900",14/08/2021,"$881,000"
536,Apartment/Condominium,"$1,479",540 sqft,No,$924,R2605299,,Residential,1980,,"708 - 1270 Robson St, Vancouver, BC",1,1,0,25/07/2021,"$499,000",15/08/2021,"$502,000"
537,Townhouse,"$2,016",1353 sqft,Yes,$691,R2593823,,Residential,1994,,"3359 Fieldstone Ave, Vancouver, BC",3,3,2,15/06/2021,"$935,000",15/08/2021,"$921,500"
538,Single Family Residence,"$6,806",2471 sqft,No,$808,R2607325,,Residential,1936,,"2762 W 33rd Ave, Vancouver, BC",3,6,2,04/08/2021,"$1,999,000",15/08/2021,"$2,300,000"
539,Apartment/Condominium,,556 sqft,Yes,"$1,121",R2806214,,Residential,2023,,"319 - 3430 E Kent Ave S, Vancouver, BC",1,1,1,09/08/2023,"$623,500",-,-
540,Apartment/Condominium,"$2,350",741 sqft,Yes,"$1,213",R2608468,,Residential,2015,,"101 - 505 W 30 Th Ave, Vancouver, BC",1,2,1,09/08/2021,"$899,000",15/08/2021,"$920,000"
541,Apartment/Condominium,"$2,186",763 sqft,Yes,"$1,048",R2608215,,Residential,1999,,"3155 W 4th Ave, Vancouver, BC",2,2,1,08/08/2021,"$799,900",15/08/2021,"$816,000"
542,Single Family Residence,,2762 sqft,Yes,$795,R2605015,,Residential,1968,,"2090 W 44th Ave, Vancouver, BC",3,5,1,25/07/2021,"$2,198,000",15/08/2021,"$2,300,000"
