,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
78,Single Family Residence,"$2,906",1848 sqft,No,$518,R2595385,,Residential,1975,,"924 Westwood St, Coquitlam, BC",2,5,0,20/06/2021,"$958,000",29/06/2021,"$1,000,000"
79,Apartment/Condominium,,523 sqft,Yes,$992,R2593701,,Residential,2020,,"605 - 525 Foster Ave, Coquitlam, BC",1,1,0,15/06/2021,"$519,000",29/06/2021,"$515,000"
80,Single Family Residence,"$4,108",2988 sqft,Yes,$460,R2586133,,Residential,1990,,"190 San Juan Pl, Coquitlam, BC",3,5,4,25/05/2021,"$1,375,000",05/07/2021,"$1,410,000"
81,Apartment/Condominium,"$2,537",845 sqft,Yes,$769,R2594523,,Residential,2015,,"307 - 3107 Windsor Gate, Coquitlam, BC",2,2,1,20/06/2021,"$649,900",05/07/2021,"$635,000"
82,Single Family Residence,"$4,989",3116 sqft,No,$593,R2578941,,Residential,2019,,"2963 Wickham Dr, Coquitlam, BC",5,7,3,09/05/2021,"$1,849,900",05/07/2021,"$1,820,000"
83,Apartment/Condominium,"$2,255",973 sqft,Yes,$539,R2593175,,Residential,1996,,"113 - 3085 Primrose Lane, Coquitlam, BC",2,2,1,13/06/2021,"$525,000",05/07/2021,"$522,000"
84,Townhouse,"$3,215",1734 sqft,Yes,$663,R2795393,,Residential,2009,,"1425 Collins Rd, Coquitlam, BC",2,4,3,04/07/2023,"$1,149,900",-,-
85,Apartment/Condominium,"$2,170",1029 sqft,Yes,$529,R2553418,,Residential,1992,,"316 - 1219 Johnson St, Coquitlam, BC",2,2,1,16/03/2021,"$545,000",05/07/2021,"$536,000"
86,Apartment/Condominium,"$2,335",725 sqft,Yes,$757,R2597676,,Residential,2018,,"402 - 828 Gauthier Ave, Coquitlam, BC",1,1,1,29/06/2021,"$549,000",05/07/2021,"$540,880"
87,Single Family Residence,"$5,054",3440 sqft,Yes,$435,R2598269,,Residential,2010,,"3376 Don Moore Dr, Coquitlam, BC",3,5,0,30/06/2021,"$1,498,000",05/07/2021,"$1,638,800"
88,Apartment/Condominium,"$3,091",936 sqft,Yes,$841,R2598950,,Residential,2019,,"1002 691 North Rd, Coquitlam, BC",2,3,2,04/07/2021,"$788,000",10/07/2021,"$785,000"
