,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
192,Apartment/Condominium,"$3,772",1206 sqft,Yes,$737,R2630928,,Residential,2017,,"1507 - 210 Salter St, New Westminster, BC",2,2,1,30/10/2021,"$889,900",31/10/2021,"$889,900"
193,Apartment/Condominium,"$1,584",688 sqft,Yes,$581,R2628368,,Residential,1983,,"303 - 812 Milton St, New Westminster, BC",1,1,1,21/10/2021,"$399,800",31/10/2021,"$440,000"
194,Apartment/Condominium,"$2,287",817 sqft,Yes,$731,R2628171,,Residential,2009,,"2909 - 892 Carnarvon St, New Westminster, BC",2,2,1,24/10/2021,"$598,000",31/10/2021,"$612,000"
195,Apartment/Condominium,"$1,822",947 sqft,Yes,$580,R2622663,,Residential,1975,,"407 - 320 Royal Ave, New Westminster, BC",1,2,1,30/09/2021,"$549,900",31/10/2021,"$539,900"
196,Apartment/Condominium,"$2,975",1252 sqft,Yes,$658,R2629408,,Residential,2005,,"1105 - 615 Hamilton St, New Westminster, BC",2,2,2,27/10/2021,"$825,000",31/10/2021,"$850,000"
197,Apartment/Condominium,"$2,948",1358 sqft,Yes,$589,R2627229,,Residential,1990,,"1603 - 420 Carnarvon St, New Westminster, BC",2,3,1,24/10/2021,"$799,900",31/10/2021,"$815,000"
198,Apartment/Condominium,"$1,805",668 sqft,Yes,$747,R2629217,,Residential,2010,,"610 - 14 Begbie St, New Westminster, BC",1,1,1,26/10/2021,"$499,000",31/10/2021,"$528,000"
199,Apartment/Condominium,"$1,919",544 sqft,Yes,$990,R2626807,,Residential,2019,,"2006 - 988 Quayside Dr, New Westminster, BC",1,1,1,17/10/2021,"$539,000",01/11/2021,"$530,000"
200,Apartment/Condominium,"$3,658",1208 sqft,Yes,$735,R2626370,,Residential,2017,,"607 - 210 Salter St, New Westminster, BC",2,2,2,17/10/2021,"$888,000",05/11/2021,"$855,000"
201,Single Family Residence,"$5,051",3169 sqft,No,$567,R2631234,,Residential,1971,,"954 London Pl, New Westminster, BC",4,6,7,04/11/2021,"$1,798,000",06/11/2021,"$1,825,000"
202,Apartment/Condominium,"$2,440",1135 sqft,Yes,$524,R2625955,,Residential,1998,,"101 - 588 12 Th St, New Westminster, BC",2,2,1,12/10/2021,"$594,900",06/11/2021,"$593,400"
203,Apartment/Condominium,"$2,633",1058 sqft,Yes,$688,R2629622,,Residential,2015,,"404 - 260 Salter St, New Westminster, BC",2,2,2,28/10/2021,"$728,000",06/11/2021,"$735,000"
204,Apartment/Condominium,,1236 sqft,Yes,$622,R2622026,,Residential,1988,,"1104 - 1250 Quayside Dr, New Westminster, BC",2,2,1,27/09/2021,"$769,000",05/11/2021,"$750,000"
205,Single Family Residence,"$3,167",3271 sqft,Yes,$397,R2618317,,Residential,1893,,"1009 6 Th Ave, New Westminster, BC",4,8,5,14/09/2021,"$1,299,900",05/11/2021,"$1,200,000"
206,Single Family Residence,"$3,923",3923 sqft,Yes,$636,R2622717,,Residential,2021,,"349 Keary St, New Westminster, BC",6,8,0,30/09/2021,"$2,498,000",06/11/2021,"$2,361,904"
207,Apartment/Condominium,"$2,157",917 sqft,Yes,$577,R2630501,,Residential,1998,,"306 - 210 11 Th St, New Westminster, BC",2,2,1,01/11/2021,"$530,000",06/11/2021,"$528,000"
208,Apartment/Condominium,"$2,379",1438 sqft,Yes,$451,R2627485,,Residential,1991,,"301 - 98 10 Th St, New Westminster, BC",2,2,1,19/10/2021,"$649,900",08/11/2021,"$620,000"
209,Single Family Residence,"$4,265",2634 sqft,No,$530,R2630851,,Residential,1911,,"225 6 Th Ave, New Westminster, BC",2,4,2,02/11/2021,"$1,398,000",08/11/2021,"$1,475,000"
210,Apartment/Condominium,"$1,752",840 sqft,Yes,$642,R2614164,,Residential,2009,,"202 - 288 Hampton St, New Westminster, BC",1,1,1,30/08/2021,"$539,900",08/11/2021,"$485,000"
211,Apartment/Condominium,"$1,535",987 sqft,Yes,$423,R2611574,,Residential,1976,,"206 - 1025 Cornwall St, New Westminster, BC",1,2,1,22/08/2021,"$418,000",08/11/2021,"$402,000"
212,Apartment/Condominium,"$1,966",1160 sqft,Yes,$448,R2630693,,Residential,1983,,"1007 - 615 Belmont St, New Westminster, BC",2,2,1,02/11/2021,"$519,900",08/11/2021,"$505,000"
213,Apartment/Condominium,"$1,629",800 sqft,Yes,$562,R2630718,,Residential,1982,,"203 - 812 Milton St, New Westminster, BC",1,2,1,02/11/2021,"$449,900",08/11/2021,"$495,000"
214,Apartment/Condominium,"$2,768",1091 sqft,Yes,$626,R2629799,,Residential,2012,,"204 - 240 Francis Way, New Westminster, BC",2,2,2,31/10/2021,"$683,800",08/11/2021,"$705,000"
215,Townhouse,,1040 sqft,Yes,$614,R2630203,,Residential,1999,,"47 - 123 7 Th St, New Westminster, BC",2,2,1,01/11/2021,"$639,000",08/11/2021,"$630,000"
216,Apartment/Condominium,"$2,349",767 sqft,Yes,$766,R2632338,,Residential,2006,,"1405 - 833 Agnes St, New Westminster, BC",2,2,2,09/11/2021,"$588,000",15/11/2021,"$601,000"
217,Apartment/Condominium,"$4,092",1254 sqft,Yes,$716,R2623081,,Residential,2017,,"1501 - 210 Salter St, New Westminster, BC",2,2,1,03/10/2021,"$899,000",13/11/2021,"$899,000"
218,Apartment/Condominium,"$1,562",750 sqft,Yes,$559,R2647362,,Residential,1976,,"107 - 707 Hamilton St, New Westminster, BC",1,1,1,30/01/2022,"$419,900",06/02/2022,"$461,000"
219,Apartment/Condominium,"$1,614",546 sqft,Yes,$730,R2632286,,Residential,1993,,"705 - 55 10 Th St, New Westminster, BC",1,1,1,08/11/2021,"$398,888",14/11/2021,"$441,000"
220,Apartment/Condominium,"$2,423",976 sqft,Yes,$665,R2631930,,Residential,2007,,"601 - 610 Victoria St, New Westminster, BC",2,2,2,08/11/2021,"$649,900",14/11/2021,"$695,000"
221,Single Family Residence,"$4,478",1886 sqft,No,$821,R2619736,,Residential,1919,,"525 13th St, New Westminster, BC",2,3,2,20/09/2021,"$1,550,000",14/11/2021,"$1,475,000"
222,Apartment/Condominium,"$2,681",1051 sqft,Yes,$693,R2619377,,Residential,2016,,"303 - 271 Francis Way, New Westminster, BC",2,2,1,19/09/2021,"$728,800",15/11/2021,"$725,000"
223,Single Family Residence,"$3,930",1670 sqft,Yes,$717,R2631518,,Residential,2010,,"201 Furness St, New Westminster, BC",2,3,2,07/11/2021,"$1,198,000",15/11/2021,"$1,220,000"
224,Apartment/Condominium,"$1,906",722 sqft,Yes,$718,R2632290,,Residential,2006,,"103 - 10 Renaissance Sq, New Westminster, BC",1,1,1,09/11/2021,"$519,000",19/11/2021,"$515,000"
225,Single Family Residence,"$3,936",1731 sqft,No,$563,R2631186,,Residential,1908,,"1105 3rd Ave, New Westminster, BC",1,3,2,03/11/2021,"$975,000",19/11/2021,"$975,000"
226,Apartment/Condominium,"$1,875",748 sqft,Yes,$708,R2805366,,Residential,1996,,"1405 - 10 Laguna Crt, New Westminster, BC",1,1,1,08/08/2023,"$529,999",10/09/2023,"$525,000"
