,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
970,Townhouse,"$2,641",1875 sqft,Yes,$421,R2895290,,Residential,2003,,"51 - 35287 Old Yale Rd, Abbotsford, BC",3,3,2,17/06/2024,"$789,999",-,Not Sold Yet
971,Townhouse,"$2,403",1745 sqft,Yes,$415,R2701282,,Residential,1989,,"67 - 1450 Mccallum Rd, Abbotsford, BC",2,2,1,14/06/2022,"$724,900",09/07/2022,"$675,000"
972,Single Family Residence,,1897 sqft,Yes,$487,R2695069,,Residential,1990,,"2213 Mountain Dr, Abbotsford, BC",2,3,0,29/05/2022,"$924,900",09/07/2022,"$910,000"
973,Apartment/Condominium,$936,940 sqft,Yes,$319,R2701415,,Residential,1981,,"101 - 33598 George Ferguson Way, Abbotsford, BC",1,1,2,19/06/2022,"$299,900",09/07/2022,"$280,000"
974,Apartment/Condominium,$982,720 sqft,Yes,$465,R2903081,,Residential,1973,,"318 - 32175 Old Yale Rd, Abbotsford, BC",1,1,1,08/07/2024,"$334,800",-,Not Sold Yet
975,Apartment/Condominium,"$1,453",930 sqft,Yes,$451,R2708253,,Residential,1995,,"306 - 33718 King Rd, Abbotsford, BC",2,2,2,10/07/2022,"$420,000",14/07/2022,"$420,000"
976,Single Family Residence,"$5,323",2641 sqft,Yes,$976,R2688495,,Residential,1966,,"820 Mccallum Rd, Abbotsford, BC",2,4,15,12/05/2022,"$2,580,000",14/07/2022,"$2,100,000"
977,Single Family Residence,"$3,711",2010 sqft,No,$497,R2706383,,Residential,1981,,"3250 Immel St, Abbotsford, BC",2,4,5,03/07/2022,"$999,900",13/07/2022,"$890,000"
978,Single Family Residence,"$5,010",3523 sqft,Yes,$374,R2707897,,Residential,2005,,"36283 Westminster Dr, Abbotsford, BC",3,5,6,07/07/2022,"$1,319,900",14/07/2022,"$1,280,000"
979,Single Family Residence,"$5,832",3313 sqft,Yes,$383,R2664959,,Residential,2000,,"36108 Spyglass Lane, Abbotsford, BC",3,5,7,03/04/2022,"$1,269,900",14/07/2022,"$1,190,000"
980,Apartment/Condominium,"$2,067",1260 sqft,Yes,$372,R2681452,,Residential,1997,,"602 - 33065 Mill Lake Rd, Abbotsford, BC",2,2,1,25/04/2022,"$469,000",14/07/2022,"$425,000"
981,Apartment/Condominium,"$1,139",885 sqft,Yes,$605,R2707973,,Residential,2014,,"208 - 2242 Whatcom Rd, Abbotsford, BC",2,2,2,06/07/2022,"$536,000",14/07/2022,"$515,000"
982,Townhouse,"$1,420",956 sqft,No,$491,R2685375,,Residential,1989,,"901 - 1750 Mckenzie Rd, Abbotsford, BC",1,2,2,11/05/2022,"$469,900",15/07/2022,"$438,000"
983,Apartment/Condominium,"$1,425",1084 sqft,Yes,$368,R2706811,,Residential,1996,,"404 - 3174 Gladwin Rd, Abbotsford, BC",2,2,1,04/07/2022,"$399,900",23/07/2022,"$396,000"
984,Townhouse,"$2,221",1283 sqft,Yes,$490,R2711783,,Residential,2015,,"39 - 30989 Westridge Pl, Abbotsford, BC",2,2,2,21/07/2022,"$629,000",23/07/2022,"$610,000"
985,Single Family Residence,"$4,570",2839 sqft,Yes,$422,R2706937,,Residential,1981,,"2188 Champlain Dr, Abbotsford, BC",2,3,6,05/07/2022,"$1,199,900",22/07/2022,"$1,150,000"
986,Single Family Residence,"$3,646",2326 sqft,Yes,$365,R2710418,,Residential,1974,,"34713 Blatchford Way, Abbotsford, BC",2,5,3,18/07/2022,"$849,900",23/07/2022,"$850,000"
987,Single Family Residence,"$3,709",2376 sqft,No,$374,R2701912,,Residential,1972,,"2288 Rosewood Dr, Abbotsford, BC",2,3,4,19/06/2022,"$889,900",22/07/2022,"$1,000,000"
988,Townhouse,"$2,338",1812 sqft,No,$314,R2709343,,Residential,1982,,"23 - 33361 Wren Cres, Abbotsford, BC",1,3,2,13/07/2022,"$569,900",22/07/2022,"$550,000"
989,Townhouse,"$1,765",1485 sqft,No,$349,R2700218,,Residential,1990,,"152 - 32691 Garibaldi Dr, Abbotsford, BC",2,2,1,14/06/2022,"$519,000",22/07/2022,"$510,000"
990,Apartment/Condominium,,874 sqft,Yes,$686,R2699393,,Residential,2021,,"138 - 31158 Westridge Pl, Abbotsford, BC",2,2,2,12/06/2022,"$599,900",23/07/2022,"$585,000"
991,Apartment/Condominium,"$1,327",1096 sqft,Yes,$346,R2681519,,Residential,1989,,"302 - 2491 Gladwin Rd, Abbotsford, BC",2,2,1,24/04/2022,"$379,900",29/07/2022,"$370,000"
