,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
834,Apartment/Condominium,"$1,259",900 sqft,Yes,$555,R2642504,,Residential,1974,,"316 - 3901 Carrigan Crt, Burnaby, BC",1,2,1,11/01/2022,"$499,900",16/01/2022,"$550,000"
835,Townhouse,"$4,159",2416 sqft,Yes,$558,R2640945,,Residential,1996,,"9 - 5240 Oakmount Cres, Burnaby, BC",2,4,2,04/01/2022,"$1,350,000",16/01/2022,"$1,550,000"
836,Apartment/Condominium,"$58,452",956 sqft,Yes,$725,R2642286,,Residential,2022,,"201 - 9888 University Cres, Burnaby, BC",2,2,1,10/01/2022,"$693,900",15/01/2022,"$693,900"
837,Apartment/Condominium,"$1,882",t9qsf 61,Yes,$705,R2640897,,Residential,1976,,"1902 - 4300 Mayberry St, Burnaby, BC",2,2,1,04/01/2022,"$678,000",16/01/2022,"$665,000"
838,Townhouse,,-,No,,R2837247,,Residential Lease,,,"TH4 - 4182 Dawson St, Burnaby, BC",2,2,1,11/12/2023,"$3,300",-,Not Leased Yet
839,Apartment/Condominium,"$1,701",644 sqft,Yes,$931,R2641712,,Residential,2018,,"315 - 5460 Broadway, Burnaby, BC",1,1,1,09/01/2022,"$599,900",17/01/2022,"$660,000"
840,Single Family Residence,"$4,981",2566 sqft,Yes,$779,R2641988,,Residential,1989,,"2220 Paulus Cres, Burnaby, BC",3,5,6,09/01/2022,"$1,999,000",17/01/2022,"$2,300,000"
841,Multi Family,"$4,718",2387 sqft,No,$707,R2641435,,Residential,2013,,"6708 Lochdale St, Burnaby, BC",3,6,3,06/01/2022,"$1,689,800",16/01/2022,"$1,968,000"
842,Townhouse,"$1,725",1205 sqft,No,$604,R2641758,,Residential,1983,,"8590 Woodgrove Pl, Burnaby, BC",1,3,1,09/01/2022,"$728,000",17/01/2022,"$850,000"
843,Apartment/Condominium,"$1,897",560 sqft,Yes,"$1,158",R2643372,,Residential,2019,,"5602 - 4510 Halifax Way, Burnaby, BC",1,1,1,16/01/2022,"$648,800",17/01/2022,"$699,000"
844,Single Family Residence,"$5,817",2360 sqft,Yes,$884,R2641623,,Residential,1954,,"4421 Price Cres, Burnaby, BC",3,5,3,06/01/2022,"$2,088,000",16/01/2022,"$2,150,000"
845,Multi Family,"$6,300",2161 sqft,Yes,$970,R2643316,,Residential,2021,,"5235 Union St, Burnaby, BC",3,4,4,14/01/2022,"$2,098,000",16/01/2022,"$2,075,000"
846,Apartment/Condominium,"$1,298",935 sqft,Yes,$620,R2814890,,Residential,1980,,"420 - 9847 Manchester Dr, Burnaby, BC",1,2,1,11/09/2023,"$579,900",14/09/2023,"$569,000"
847,Apartment/Condominium,"$1,469",901 sqft,Yes,$554,R2642253,,Residential,1982,,"306 - 4373 Halifax St, Burnaby, BC",1,2,1,10/01/2022,"$499,900",17/01/2022,"$530,000"
848,Apartment/Condominium,"$2,534",775 sqft,Yes,"$1,030",R2640918,,Residential,2020,,"2807 - 6383 Mckay Ave, Burnaby, BC",2,2,1,04/01/2022,"$799,000",17/01/2022,"$855,000"
849,Townhouse,"$2,607",1572 sqft,Yes,$698,R2642080,,Residential,2006,,"2 - 8533 Cumberland Pl, Burnaby, BC",3,4,2,10/01/2022,"$1,098,000",17/01/2022,"$1,310,000"
850,Apartment/Condominium,"$2,802",915 sqft,Yes,$982,R2642109,,Residential,2017,,"3201 - 4900 Lennox Lane, Burnaby, BC",2,2,1,10/01/2022,"$899,000",17/01/2022,"$950,000"
851,Apartment/Condominium,"$2,013",1054 sqft,Yes,$758,R2641870,,Residential,2008,,"801 - 5611 Goring St, Burnaby, BC",2,2,1,09/01/2022,"$799,900",17/01/2022,"$805,000"
852,Apartment/Condominium,"$1,116",712 sqft,Yes,$596,R2641746,,Residential,1977,,"204 - 9280 Salish Crt, Burnaby, BC",1,1,1,09/01/2022,"$425,000",17/01/2022,"$465,000"
853,Apartment/Condominium,"$2,254",935 sqft,Yes,$865,R2641630,,Residential,2017,,"210 - 4468 Dawson St, Burnaby, BC",2,2,2,09/01/2022,"$809,000",17/01/2022,"$813,899"
854,Apartment/Condominium,"$1,951",1186 sqft,Yes,$546,R2641628,,Residential,1990,,"309 - 6707 Southpoint Dr, Burnaby, BC",2,2,1,09/01/2022,"$648,000",17/01/2022,"$720,000"
855,Apartment/Condominium,,884 sqft,Yes,"$1,061",R2644282,,Residential,2021,,"2205 - 5311 Goring St, Burnaby, BC",2,2,1,17/01/2022,"$938,000",21/01/2022,"$909,000"
856,Apartment/Condominium,"$1,371",869 sqft,Yes,$624,R2644837,,Residential,1978,,"505 - 7171 Beresford St, Burnaby, BC",2,2,0,17/01/2022,"$543,000",19/01/2022,"$543,000"
857,Apartment/Condominium,"$2,115",768 sqft,Yes,"$1,079",R2636136,,Residential,2015,,"2108 - 4189 Halifax St, Burnaby, BC",2,2,1,27/11/2021,"$829,000",19/01/2022,"$820,000"
858,Apartment/Condominium,$568,535 sqft,Yes,$856,R2624114,,Residential,2021,,"202 - 9228 Slopes Mews, Burnaby, BC",1,1,1,05/10/2021,"$458,000",20/01/2022,"$440,888"
859,Apartment/Condominium,"$3,162",989 sqft,Yes,"$1,107",R2893208,,Residential,2021,,"3005 - 5333 Goring St, Burnaby, BC",2,2,2,09/06/2024,"$1,094,900",-,Not Sold Yet
860,Apartment/Condominium,"$2,245",1237 sqft,Yes,$687,R2642879,,Residential,1990,,"2102 - 5885 Olive Ave, Burnaby, BC",2,3,2,11/01/2022,"$850,000",20/01/2022,"$800,000"
861,Apartment/Condominium,"$1,522",621 sqft,Yes,$917,R2642116,,Residential,2009,,"2102 - 7325 Arcola St, Burnaby, BC",1,1,1,10/01/2022,"$570,000",19/01/2022,"$600,000"
862,Apartment/Condominium,"$1,631",708 sqft,Yes,$875,R2642123,,Residential,2008,,"207 - 4728 Brentwood Dr, Burnaby, BC",1,1,1,10/01/2022,"$619,900",20/01/2022,"$605,000"
863,Single Family Residence,"$3,496",2406 sqft,No,$581,R2643959,,Residential,1951,,"7101 Pandora St, Burnaby, BC",2,5,4,17/01/2022,"$1,399,000",23/01/2022,"$1,600,000"
864,Apartment/Condominium,"$2,119",961 sqft,Yes,$832,R2643048,,Residential,2007,,"416 - 4723 Dawson St, Burnaby, BC",2,2,1,18/01/2022,"$799,888",23/01/2022,"$840,000"
865,Apartment/Condominium,"$2,413",896 sqft,Yes,$958,R2643321,,Residential,2015,,"901 - 4688 Kingsway, Burnaby, BC",2,2,2,14/01/2022,"$859,000",23/01/2022,"$950,000"
866,Apartment/Condominium,"$1,312",942 sqft,Yes,$625,R2643805,,Residential,1977,,"217 - 7377 Salisbury Ave, Burnaby, BC",1,2,1,17/01/2022,"$589,000",23/01/2022,"$657,500"
867,Apartment/Condominium,"$1,511",618 sqft,Yes,$808,R2642732,,Residential,2015,,"407 - 7727 Royal Oak Ave, Burnaby, BC",1,1,1,12/01/2022,"$499,900",23/01/2022,"$540,000"
868,Townhouse,"$2,680",1982 sqft,Yes,$579,R2643387,,Residential,1999,,"98 - 8701 16th Ave, Burnaby, BC",2,3,2,16/01/2022,"$1,149,000",23/01/2022,"$1,375,000"
869,Apartment/Condominium,"$2,310",1289 sqft,Yes,$542,R2642999,,Residential,1987,,"401 - 3461 Curle Ave, Burnaby, BC",2,2,2,13/01/2022,"$699,800",23/01/2022,"$875,000"
870,Apartment/Condominium,"$1,505",591 sqft,Yes,"$1,015",R2643540,,Residential,2007,,"3005 - 7088 18th Ave, Burnaby, BC",1,1,1,16/01/2022,"$599,900",23/01/2022,"$610,000"
871,Apartment/Condominium,,865 sqft,No,"$1,144",R2644089,,Residential,2021,,"2305 - 2085 Skyline Crt, Burnaby, BC",2,2,1,16/01/2022,"$990,000",24/01/2022,"$1,050,000"
872,Apartment/Condominium,"$1,580",874 sqft,Yes,$720,R2644079,,Residential,1982,,"1401 - 4353 Halifax St, Burnaby, BC",1,2,1,16/01/2022,"$630,000",24/01/2022,"$655,000"
873,Townhouse,"$2,602",1442 sqft,Yes,$692,R2643994,,Residential,1999,,"6702 Village Green, Burnaby, BC",2,3,2,17/01/2022,"$998,000",24/01/2022,"$1,158,000"
874,Apartment/Condominium,"$2,527",904 sqft,Yes,$973,R2642578,,Residential,2014,,"2309 - 6658 Dow Ave, Burnaby, BC",2,2,1,09/01/2022,"$880,000",24/01/2022,"$908,000"
