,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
41,Single Family Residence,"$4,020",2725 sqft,Yes,$582,R2588433,,Residential,1990,,"3736 Mckay Dr, Richmond, BC",3,5,0,01/06/2021,"$1,588,000",06/06/2021,"$1,565,000"
42,Townhouse,"$1,689",1730 sqft,No,$403,R2585092,,Residential,1970,,"8311 Steveston Highway, Richmond, BC",1,3,0,24/05/2021,"$698,888",05/06/2021,"$737,000"
43,Single Family Residence,"$3,956",3377 sqft,Yes,$725,R2589362,,Residential,2021,,"7168 Bridge St, Richmond, BC",5,4,0,03/06/2021,"$2,449,000",06/06/2021,"$2,415,000"
44,Townhouse,"$2,546",1357 sqft,Yes,$662,R2588650,,Residential,2008,,"9451 Granville Ave, Richmond, BC",2,4,0,31/05/2021,"$899,000",06/06/2021,"$960,000"
45,Single Family Residence,"$5,013",3388 sqft,Yes,$610,R2585143,,Residential,2011,,"8211 Fairlane Rd, Richmond, BC",4,5,0,25/05/2021,"$2,068,000",06/06/2021,"$1,950,000"
46,Single Family Residence,"$5,440",2469 sqft,Yes,$728,R2584885,,Residential,1978,,"7231 Lismer Ave, Richmond, BC",2,4,0,23/05/2021,"$1,799,000",06/06/2021,"$1,965,000"
47,Single Family Residence,"$2,847",2147 sqft,Yes,$605,R2587862,,Residential,1979,,"3659 Bearcroft Dr, Richmond, BC",2,4,0,31/05/2021,"$1,299,000",06/06/2021,"$1,300,000"
48,Townhouse,"$2,006",1340 sqft,No,$615,R2587599,,Residential,1973,,"3211 Springfield Dr, Richmond, BC",1,3,0,31/05/2021,"$825,000",08/06/2021,"$838,000"
49,Townhouse,"$3,147",1497 sqft,Yes,$634,R2587409,,Residential,2010,,"11000 5 Th Ave, Richmond, BC",2,4,0,31/05/2021,"$949,900",07/06/2021,"$939,000"
50,Single Family Residence,"$5,662",2683 sqft,Yes,$819,R2565567,,Residential,1983,,"5360 Hummingbird Dr, Richmond, BC",2,4,0,12/04/2021,"$2,198,800",08/06/2021,"$2,168,000"
51,Single Family Residence,"$8,697",3409 sqft,Yes,$991,R2533839,,Residential,2020,,"6371 Riverdale Dr, Richmond, BC",5,5,0,28/01/2021,"$3,380,000",08/06/2021,"$3,100,000"
52,Single Family Residence,"$5,249",2782 sqft,No,$618,R2547093,,Residential,1958,,"9680 Heather Pl, Richmond, BC",1,3,0,07/03/2021,"$1,720,000",08/06/2021,"$1,645,000"
53,Townhouse,"$3,131",1707 sqft,Yes,$520,R2585454,,Residential,1994,,"5840 Dover Cres, Richmond, BC",3,4,0,25/05/2021,"$888,000",08/06/2021,"$1,018,000"
54,Townhouse,"$2,590",943 sqft,Yes,$636,R2598555,,Residential,2004,,"9339 Alberta Rd, Richmond, BC",2,2,0,30/06/2021,"$599,800",12/07/2021,"$641,000"
55,Apartment/Condominium,"$2,028",745 sqft,Yes,$805,R2575448,,Residential,2010,,"905 - 8068 Westminster Highway, Richmond, BC",2,2,1,02/05/2021,"$599,999",08/06/2021,"$640,000"
56,Townhouse,"$2,465",1259 sqft,Yes,$714,R2579192,,Residential,2011,,"10999 Steveston Highway, Richmond, BC",2,3,0,10/05/2021,"$899,000",12/06/2021,"$899,000"
57,Townhouse,,-,No,,R2862995,,Residential Lease,,,"5931 Williams Rd, Richmond, BC",3,3,2,24/03/2024,"$4,200",-,Not Leased Yet
58,Single Family Residence,"$3,413",2894 sqft,Yes,$538,R2586089,,Residential,1976,,"4400 Danforth Dr, Richmond, BC",3,4,0,26/05/2021,"$1,559,000",12/06/2021,"$1,490,000"
59,Single Family Residence,"$5,789",2376 sqft,Yes,$756,R2904112,,Residential,1999,,"6820 Maple Rd, Richmond, BC",4,5,6,07/07/2024,"$1,798,000",-,Not Sold Yet
60,Single Family Residence,"$4,249",2062 sqft,No,$775,R2567979,,Residential,1978,,"4395 Granville Ave, Richmond, BC",3,4,0,18/04/2021,"$1,598,800",12/06/2021,"$1,598,800"
61,Single Family Residence,"$3,621",2400 sqft,Yes,$645,R2588638,,Residential,1972,,"10940 Dennis Cres, Richmond, BC",3,6,0,01/06/2021,"$1,550,000",12/06/2021,"$1,550,000"
62,Townhouse,"$1,904",1485 sqft,Yes,$471,R2581349,,Residential,1991,,"8300 General Currie Rd, Richmond, BC",2,4,0,16/05/2021,"$699,900",12/06/2021,"$680,000"
63,Townhouse,"$2,095",1412 sqft,No,$635,R2573673,,Residential,1977,,"4120 Steveston Highway, Richmond, BC",2,4,0,28/04/2021,"$898,000",12/06/2021,"$850,000"
64,Townhouse,"$2,601",1331 sqft,Yes,$779,R2592878,,Residential,2017,,"9000 General Currie Rd, Richmond, BC",2,3,0,13/06/2021,"$1,038,000",15/06/2021,"$1,100,000"
65,Attached,"$1,783",828 sqft,No,$760,R2582431,,Residential,1998,,"12299 2 Nd Ave, Richmond, BC",1,2,0,17/05/2021,"$629,900",30/05/2021,"$610,000"
66,Single Family Residence,"$9,001",3857 sqft,Yes,$930,R2549677,,Residential,2018,,"5108 Lancing Rd, Richmond, BC",5,5,0,09/03/2021,"$3,588,000",14/06/2021,"$3,248,000"
67,Single Family Residence,"$5,469",3552 sqft,Yes,$805,R2567902,,Residential,2021,,"9360 Glenbrook Dr, Richmond, BC",5,5,0,18/04/2021,"$2,860,000",15/06/2021,"$2,722,667"
68,Townhouse,"$2,656",1508 sqft,Yes,$629,R2594831,,Residential,2007,,"9551 Ferndale Rd, Richmond, BC",2,4,0,17/06/2021,"$950,000",24/06/2021,"$945,000"
69,Townhouse,"$1,732",1400 sqft,No,$535,R2591647,,Residential,1974,,"11751 King Rd, Richmond, BC",1,3,0,08/06/2021,"$749,900",14/06/2021,"$770,000"
70,Single Family Residence,"$4,735",1910 sqft,No,$863,R2589740,,Residential,1963,,"6140 Kalamalka Cres, Richmond, BC",1,4,0,06/06/2021,"$1,650,000",14/06/2021,"$1,620,000"
71,Townhouse,"$2,649",1616 sqft,Yes,$556,R2589824,,Residential,2006,,"9420 Ferndale Rd, Richmond, BC",3,4,0,06/06/2021,"$899,000",14/06/2021,"$945,000"
72,Townhouse,"$2,970",1224 sqft,No,$652,R2592013,,Residential,2014,,"8399 Jones Rd, Richmond, BC",2,2,0,10/06/2021,"$799,000",20/06/2021,"$868,000"
73,Single Family Residence,"$7,235",3587 sqft,Yes,$733,R2863853,,Residential,1994,,"5253 Jaskow Dr, Richmond, BC",4,6,4,26/03/2024,"$2,630,000",-,-
74,Single Family Residence,"$6,773",3469 sqft,Yes,$778,R2590875,,Residential,2017,,"9895 Seaton Pl, Richmond, BC",5,5,0,07/06/2021,"$2,699,000",19/06/2021,"$2,580,880"
75,Townhouse,"$2,187",1620 sqft,Yes,$603,R2588818,,Residential,1994,,"5951 Arcadia Rd, Richmond, BC",3,4,0,01/06/2021,"$978,000",18/06/2021,"$898,000"
76,Single Family Residence,"$4,189",2295 sqft,Yes,$696,R2567967,,Residential,1980,,"10108 Lawson Dr, Richmond, BC",2,4,0,18/04/2021,"$1,599,000",19/06/2021,"$1,555,000"
77,Single Family Residence,"$5,323",1978 sqft,Yes,$949,R2885906,,Residential,2021,,"9071 Steveston Highway, Richmond, BC",3,4,3,20/05/2024,"$1,878,000",-,Not Sold Yet
78,Attached,"$2,485",1068 sqft,Yes,$688,R2590612,,Residential,1997,,"6088 Minoru Blvd, Richmond, BC",2,2,0,06/06/2021,"$735,000",-,-
79,Single Family Residence,"$4,068",2952 sqft,Yes,$558,R2592034,,Residential,1987,,"9291 Boyd Crt, Richmond, BC",2,5,0,10/06/2021,"$1,650,000",19/06/2021,"$1,625,000"
