,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
430,Single Family Residence,"$6,453",4475 sqft,Yes,$513,R2598327,,Residential,2000,,"3049 147 St, Surrey, BC",3,5,6,07/07/2021,"$2,298,000",14/07/2021,"$2,230,000"
431,Single Family Residence,"$3,063",1545 sqft,No,$666,R2591690,,Residential,1979,,"12246 81a Ave, Surrey, BC",2,3,4,09/06/2021,"$1,029,999",14/07/2021,"$1,020,000"
432,Single Family Residence,"$3,570",2030 sqft,No,$738,R2640260,,Residential,1964,,"15053 Raven Pl, Surrey, BC",3,6,2,26/12/2021,"$1,499,999",03/01/2022,"$1,750,000"
433,Manufactured Home,$310,750 sqft,No,$132,R2583644,,Residential,1975,,"12 - 6280 King George Blvd, Surrey, BC",1,2,2,20/05/2021,"$99,000",14/07/2021,"$100,000"
434,Single Family Residence,"$5,150",4254 sqft,Yes,$376,R2596442,,Residential,1998,,"15240 82 Ave, Surrey, BC",5,7,6,27/06/2021,"$1,599,999",14/07/2021,"$1,585,000"
435,Single Family Residence,"$4,241",2226 sqft,No,$655,R2650905,,Residential,1982,,"8816 140 St, Surrey, BC",3,5,4,08/02/2022,"$1,459,000",14/02/2022,"$1,650,000"
436,Single Family Residence,"$3,456",2660 sqft,Yes,$653,R2584555,,Residential,1935,,"19313 8 Ave, Surrey, BC",3,4,10,25/05/2021,"$1,739,000",14/07/2021,"$1,694,500"
437,Single Family Residence,"$5,712",2081 sqft,Yes,$864,R2793896,,Residential,1988,,"18974 Sunrise Ave, Surrey, BC",2,3,6,29/06/2023,"$1,798,000",-,-
438,Apartment/Condominium,,475 sqft,Yes,$924,R2594759,,Residential,2021,,"806 - 13318 104 Ave, Surrey, BC",1,1,1,16/06/2021,"$439,000",14/07/2021,"$430,000"
439,Townhouse,"$1,793",1143 sqft,Yes,$497,R2583595,,Residential,1989,,"10 - 7141 122 St, Surrey, BC",1,2,2,17/05/2021,"$569,000",14/07/2021,"$560,000"
440,Single Family Residence,"$4,711",3204 sqft,No,$467,R2629281,,Residential,1996,,"9443 160 St, Surrey, BC",4,7,6,26/10/2021,"$1,498,800",01/11/2021,"$1,711,000"
441,Single Family Residence,"$5,607",4430 sqft,Yes,$394,R2599101,,Residential,1994,,"8230 152a St, Surrey, BC",5,7,4,04/07/2021,"$1,748,000",16/07/2021,"$1,731,000"
442,Single Family Residence,"$8,681",6760 sqft,Yes,$397,R2593029,,Residential,2020,,"15645 Aster Rd, Surrey, BC",7,9,6,14/06/2021,"$2,688,000",16/07/2021,"$2,550,000"
443,Townhouse,"$2,603",1522 sqft,Yes,$518,R2597721,,Residential,2016,,"130 - 13670 62 Ave, Surrey, BC",1,3,2,29/06/2021,"$789,900",16/07/2021,"$759,000"
444,Townhouse,,1199 sqft,Yes,$550,R2602057,,Residential,2021,,"24 - 7288 188 St, Surrey, BC",2,2,2,07/07/2021,"$659,900",15/07/2021,"$661,100"
445,Apartment/Condominium,"$1,955",538 sqft,Yes,$854,R2597576,,Residential,2016,,"2705 - 13750 100 Ave, Surrey, BC",1,1,1,28/06/2021,"$459,900",15/07/2021,"$452,000"
446,Single Family Residence,"$4,721",2285 sqft,Yes,$700,R2704285,,Residential,1988,,"15054 74 Ave, Surrey, BC",2,5,6,26/06/2022,"$1,599,999",04/07/2022,"$1,580,000"
447,Apartment/Condominium,"$2,263",899 sqft,Yes,$627,R2569486,,Residential,2011,,"2807 - 9981 Whalley Blvd, Surrey, BC",2,2,1,20/04/2021,"$563,888",15/07/2021,"$550,000"
448,Townhouse,"$2,695",1416 sqft,Yes,$591,R2563908,,Residential,2011,,"128 - 2501 161a St, Surrey, BC",2,3,2,10/04/2021,"$838,000",17/07/2021,"$825,000"
449,Apartment/Condominium,"$1,675",7sq4 7tf,Yes,$581,R2581487,,Residential,2009,,"414 - 15745 Croydon Dr, Surrey, BC",1,1,1,31/05/2021,"$449,900",17/07/2021,"$443,250"
450,Townhouse,"$2,185",1774 sqft,Yes,$365,R2602579,,Residential,1989,,"4 - 13976 72 Ave, Surrey, BC",2,3,3,15/07/2021,"$649,000",17/07/2021,"$649,000"
451,Apartment/Condominium,"$1,471",895 sqft,Yes,$433,R2562216,,Residential,1992,,"308 - 10082 148 St, Surrey, BC",2,1,1,06/04/2021,"$388,000",17/07/2021,"$370,000"
452,Single Family Residence,"$3,907",3164 sqft,Yes,$442,R2601551,,Residential,1987,,"7908 143a St, Surrey, BC",4,7,6,12/07/2021,"$1,399,999",17/07/2021,"$1,525,000"
453,Single Family Residence,"$4,553",1677 sqft,No,$887,R2598094,,Residential,1975,,"12292 Gilley St, Surrey, BC",2,3,3,04/07/2021,"$1,489,000",17/07/2021,"$1,430,000"
454,Single Family Residence,"$3,708",2159 sqft,Yes,$601,R2585962,,Residential,1989,,"15272 93a Ave, Surrey, BC",2,3,4,24/05/2021,"$1,299,000",17/07/2021,"$1,234,000"
455,Single Family Residence,"$6,592",3874 sqft,Yes,$438,R2830398,,Residential,2006,,"7056 149 St, Surrey, BC",6,8,5,03/11/2023,"$1,699,999",-,-
456,Single Family Residence,"$5,808",2989 sqft,No,$458,R2600883,,Residential,2012,,"19162 73 Ave, Surrey, BC",4,6,0,11/07/2021,"$1,369,888",18/07/2021,"$1,415,500"
457,Townhouse,"$2,726",1350 sqft,Yes,$455,R2602750,,Residential,2006,,"7 - 8757 160 St, Surrey, BC",3,3,2,18/07/2021,"$615,000",18/07/2021,"$645,000"
458,Apartment/Condominium,"$1,595",1368 sqft,Yes,$391,R2588684,,Residential,1997,,"8 - 9977 138 St, Surrey, BC",2,2,1,01/06/2021,"$534,900",18/07/2021,"$525,900"
459,Single Family Residence,"$5,579",4359 sqft,Yes,$396,R2592017,,Residential,2005,,"6933 150b St, Surrey, BC",6,7,6,13/06/2021,"$1,728,800",18/07/2021,"$1,680,000"
460,Single Family Residence,"$3,774",2381 sqft,Yes,$566,R2570066,,Residential,1990,,"14107 87a Ave, Surrey, BC",3,4,4,25/04/2021,"$1,349,800",18/07/2021,"$1,405,000"
461,Apartment/Condominium,"$1,937",1017 sqft,Yes,$588,R2601279,,Residential,2008,,"412 - 8084 120a St, Surrey, BC",2,3,2,11/07/2021,"$599,000",18/07/2021,"$599,000"
