,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
67,Single Family Residence,"$3,847",1951 sqft,Yes,$639,R2585087,,Residential,1972,,"7732 115 A St, Delta, BC",2,3,6,26/05/2021,"$1,248,100",06/07/2021,"$1,257,000"
68,Single Family Residence,"$5,920",5375 sqft,Yes,$427,R2597672,,Residential,2018,,"11803 84a Ave, Delta, BC",6,8,8,27/06/2021,"$2,299,900",07/07/2021,"$2,285,000"
69,Townhouse,"$3,352",2352 sqft,Yes,$420,R2596722,,Residential,2009,,"6838 Baker Rd, Delta, BC",3,4,0,05/07/2021,"$988,000",07/07/2021,"$986,000"
70,Multi Family,"$2,782",1848 sqft,No,$454,R2592152,,Residential,1968,,"4821 44 Ave, Delta, BC",2,3,3,12/06/2021,"$839,000",07/07/2021,"$785,000"
71,Apartment/Condominium,"$1,726",737 sqft,Yes,$691,R2587307,,Residential,2019,,"309 - 8360 Delsom Way, Delta, BC",1,1,2,01/06/2021,"$510,000",07/07/2021,"$502,500"
72,Single Family Residence,"$3,887",2485 sqft,No,$442,R2598564,,Residential,1967,,"11227 Dawson Pl, Delta, BC",3,4,0,03/07/2021,"$1,099,000",12/07/2021,"$999,000"
73,Townhouse,"$3,007",1630 sqft,Yes,$506,R2599183,,Residential,1992,,"4739 55b St, Delta, BC",2,3,0,05/07/2021,"$825,000",11/07/2021,"$911,000"
74,Single Family Residence,"$3,759",2302 sqft,Yes,$516,R2597172,,Residential,1974,,"6987 Caribou Pl, Delta, BC",2,4,0,29/06/2021,"$1,188,000",12/07/2021,"$1,201,000"
75,Apartment/Condominium,"$1,587",644 sqft,Yes,$667,R2592181,,Residential,2019,,"613 - 9015 120 St, Delta, BC",1,1,1,13/06/2021,"$429,800",11/07/2021,"$405,000"
76,Single Family Residence,"$3,975",2884 sqft,Yes,$528,R2580776,,Residential,1989,,"4508 Dawn Pl, Delta, BC",3,5,4,13/05/2021,"$1,525,000",12/07/2021,"$1,515,000"
77,Single Family Residence,"$3,493",2256 sqft,Yes,$544,R2598817,,Residential,1972,,"6077 48a Ave, Delta, BC",2,6,6,02/07/2021,"$1,229,000",11/07/2021,"$1,195,000"
78,Single Family Residence,"$4,434",2955 sqft,No,$531,R2873148,,Residential,1981,,"7937 114a St, Delta, BC",4,6,4,21/04/2024,"$1,569,879",-,Not Sold Yet
79,Single Family Residence,"$4,301",2371 sqft,Yes,$590,R2598969,,Residential,1970,,"4637 Riley Pl, Delta, BC",2,3,6,05/07/2021,"$1,399,900",12/07/2021,"$1,415,000"
80,Single Family Residence,"$3,465",2056 sqft,Yes,$607,R2595836,,Residential,1968,,"8041 114 St, Delta, BC",3,6,7,22/06/2021,"$1,249,900",17/07/2021,"$1,235,000"
81,Single Family Residence,"$3,129",1942 sqft,No,$656,R2588754,,Residential,1973,,"11665 72 Ave, Delta, BC",1,4,6,30/05/2021,"$1,275,000",18/07/2021,"$1,223,000"
82,Single Family Residence,"$2,974",2855 sqft,No,$384,R2599113,,Residential,1975,,"7423 Barrymore Dr, Delta, BC",3,4,4,05/07/2021,"$1,099,000",18/07/2021,"$1,280,000"
83,Single Family Residence,"$2,756",1931 sqft,No,$485,R2592849,,Residential,1944,,"11235 72 Ave, Delta, BC",1,3,0,14/06/2021,"$938,000",17/07/2021,"$920,000"
84,Single Family Residence,,2111 sqft,No,$567,R2600773,,Residential,1959,,"8120 113a St, Delta, BC",2,4,4,11/07/2021,"$1,199,000",18/07/2021,"$1,265,000"
85,Apartment/Condominium,"$2,267",1105 sqft,Yes,$488,R2581212,,Residential,2006,,"102 - 1642 56 St, Delta, BC",2,2,1,16/05/2021,"$539,500",17/07/2021,"$530,000"
86,Townhouse,"$2,207",1287 sqft,No,$473,R2600680,,Residential,1979,,"59 - 6712 Baker Rd, Delta, BC",1,3,2,11/07/2021,"$609,000",17/07/2021,"$615,000"
87,Apartment/Condominium,"$1,537",914 sqft,Yes,$470,R2580261,,Residential,1982,,"204 - 4926 48 Ave, Delta, BC",1,2,1,12/05/2021,"$429,900",17/07/2021,"$424,000"
88,Townhouse,"$3,102",1985 sqft,Yes,$468,R2596564,,Residential,2009,,"34 - 10605 Delsom Cres, Delta, BC",3,4,0,24/06/2021,"$929,900",20/07/2021,"$920,000"
89,Single Family Residence,"$3,567",qst2f6 22,Yes,$552,R2600653,,Residential,1972,,"11706 82a Ave, Delta, BC",1,4,3,15/07/2021,"$1,229,500",20/07/2021,"$1,200,000"
90,Townhouse,"$3,017",2088 sqft,Yes,$477,R2601476,,Residential,2012,,"77 - 10489 Delsom Cres, Delta, BC",2,4,3,12/07/2021,"$998,000",21/07/2021,"$1,060,000"
91,Single Family Residence,"$4,493",1408 sqft,No,"$1,063",R2596146,,Residential,1972,,"11115 Lincoln Dr, Delta, BC",2,3,3,23/06/2021,"$1,498,000",20/07/2021,"$1,525,000"
92,Townhouse,"$2,085",1344 sqft,Yes,$459,R2583852,,Residential,1985,,"2 - 4925 Elliott St, Delta, BC",2,2,1,20/05/2021,"$618,000",21/07/2021,"$602,000"
93,Apartment/Condominium,"$1,752",912 sqft,Yes,$547,R2602962,,Residential,1993,,"208 - 4758 53 St, Delta, BC",2,2,1,18/07/2021,"$499,000",20/07/2021,"$495,000"
94,Apartment/Condominium,"$1,489",838 sqft,Yes,$495,R2582831,,Residential,2010,,"306 - 7445 120 St, Delta, BC",1,1,0,17/05/2021,"$414,899",20/07/2021,"$420,000"
95,Single Family Residence,"$3,380",2230 sqft,No,$555,R2593572,,Residential,1972,,"11416 Pemberton Cres, Delta, BC",2,4,0,15/06/2021,"$1,238,900",21/07/2021,"$1,205,000"
96,Single Family Residence,"$4,161",2355 sqft,Yes,$593,R2594266,,Residential,1986,,"11946 Cottonwood Ave, Delta, BC",2,4,0,17/06/2021,"$1,398,000",25/07/2021,"$1,390,000"
97,Single Family Residence,"$3,404",1798 sqft,Yes,$695,R2592246,,Residential,1974,,"4939 2 A Ave, Delta, BC",2,4,4,10/06/2021,"$1,249,900",25/07/2021,"$1,140,000"
