mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2896551,1475000.0,5.0,3.0,"14993 95 A Avenue, Surrey, BC, Canada",2292.0,6.0,5133.0,654.0,1988.0,SingleFamily,20/06/2024,2024-06-18,1499888.0
R2896368,1460000.0,4.0,2.0,"9832 130 Street, Surrey, BC, Canada",1750.0,5.0,5760.0,840.0,1969.0,SingleFamily,20/06/2024,2024-06-18,1470000.0
R2873249,709000.0,3.0,2.0,"6688 120 Street, Surrey, BC, Canada",1039.0,2.0,2321.0,709.0,2011.0,Condo,20/06/2024,2024-04-21,737000.0
R2888361,1643000.0,6.0,6.0,"16732 15a Avenue, Surrey, BC, Canada",2976.0,3.0,4368.0,579.0,2023.0,SingleFamily,20/06/2024,2024-05-28,1725000.0
R2891998,633000.0,2.0,2.0,"9981 Whalley Boulevard, Surrey, BC, Canada",845.0,1.0,2281.0,755.0,2011.0,Condo,19/06/2024,2024-06-04,638800.0
R2892804,1465000.0,7.0,4.0,"14720 107 Avenue, Surrey, BC, Canada",2564.0,0.0,5552.0,623.0,1960.0,SingleFamily,19/06/2024,2024-06-09,1599900.0
R2882712,439500.0,1.0,1.0,"13359 Old Yale Road, Surrey, BC, Canada",453.0,1.0,1814.0,992.0,2023.0,Condo,19/06/2024,2024-05-12,449800.0
R2892862,1380000.0,3.0,2.0,"2168 150 A Street, Surrey, BC, Canada",1986.0,2.0,3752.0,703.0,1997.0,Townhouse,19/06/2024,2024-06-09,1398000.0
R2889414,1190000.0,4.0,2.0,"14318 78 Avenue, Surrey, BC, Canada",2233.0,6.0,5296.0,514.0,1988.0,SingleFamily,19/06/2024,2024-06-02,1149000.0
R2894983,1395000.0,3.0,2.0,"5659 184 A Street, Surrey, BC, Canada",2113.0,6.0,5111.0,662.0,1989.0,SingleFamily,19/06/2024,2024-06-17,1399000.0
R2878340,680000.0,2.0,2.0,"14550 Winter Crescent, Surrey, BC, Canada",859.0,1.0,2318.0,809.0,2019.0,Condo,19/06/2024,2024-05-01,695000.0
R2894510,1068000.0,4.0,3.0,"12040 68 Avenue, Surrey, BC, Canada",2357.0,2.0,3371.0,462.0,2005.0,Townhouse,19/06/2024,2024-06-12,1089000.0
R2874579,1536000.0,5.0,3.0,"13148 Huntley Avenue, Surrey, BC, Canada",2238.0,4.0,5634.0,692.0,1973.0,SingleFamily,19/06/2024,2024-04-22,1549000.0
R2890924,1535000.0,3.0,3.0,"6898 177 Street, Surrey, BC, Canada",2937.0,4.0,5238.0,519.0,2011.0,SingleFamily,18/06/2024,2024-06-03,1524990.0
R2890795,672000.0,2.0,1.0,"8775 161 Street, Surrey, BC, Canada",1022.0,3.0,2563.0,683.0,2002.0,Townhouse,18/06/2024,2024-06-04,698800.0
R2885288,620000.0,2.0,1.0,"13933 105 Boulevard, Surrey, BC, Canada",827.0,1.0,2528.0,772.0,2022.0,Condo,18/06/2024,2024-05-20,639000.0
R2891334,1485000.0,5.0,3.0,"18936 71 A Avenue, Surrey, BC, Canada",3094.0,4.0,5064.0,484.0,2004.0,SingleFamily,18/06/2024,2024-06-05,1499900.0
R2892564,688800.0,1.0,1.0,"1501 Foster Street, Surrey, BC, Canada",687.0,0.0,2842.0,1048.0,2021.0,Condo,18/06/2024,2024-06-09,720000.0
R2892738,1461000.0,5.0,2.0,"18041 63 Avenue, Surrey, BC, Canada",2796.0,6.0,4957.0,536.0,1986.0,SingleFamily,18/06/2024,2024-06-09,1499999.0
R2891192,1752500.0,7.0,6.0,"6280 128 Street, Surrey, BC, Canada",3928.0,7.0,6730.0,455.0,2015.0,SingleFamily,18/06/2024,2024-06-04,1788000.0
R2878266,807000.0,3.0,2.0,"7156 144 Street, Surrey, BC, Canada",1406.0,2.0,3071.0,590.0,2010.0,Townhouse,18/06/2024,2024-05-01,829900.0
R2891070,650000.0,2.0,2.0,"16380 64Th Ave Avenue, Surrey, BC, Canada",905.0,2.0,2359.0,718.0,2016.0,Condo,18/06/2024,2024-06-04,650000.0
R2893182,1350000.0,3.0,2.0,"6083 136 Street, Surrey, BC, Canada",1972.0,4.0,5241.0,704.0,1989.0,SingleFamily,18/06/2024,2024-06-09,1388888.0
R2896651,1800000.0,6.0,3.0,"16728 20 A Avenue, Surrey, BC, Canada",2885.0,5.0,4126.0,622.0,2024.0,SingleFamily,18/06/2024,2024-06-17,1795000.0
R2896394,960000.0,3.0,3.0,"15037 58 Avenue, Surrey, BC, Canada",2404.0,2.0,3093.0,400.0,2002.0,Townhouse,18/06/2024,2024-06-17,963800.0
R2884559,780000.0,3.0,2.0,"15030 58 Avenue, Surrey, BC, Canada",1367.0,2.0,2980.0,577.0,1999.0,Townhouse,18/06/2024,2024-05-20,789900.0
R2891063,428000.0,1.0,1.0,"8110 120 A Street, Surrey, BC, Canada",720.0,1.0,1994.0,624.0,1997.0,Condo,17/06/2024,2024-06-04,449888.0
R2885990,510000.0,1.0,1.0,"13750 100 Avenue, Surrey, BC, Canada",538.0,1.0,1970.0,994.0,2017.0,Condo,17/06/2024,2024-05-20,535000.0
R2878598,930057.0,3.0,2.0,"7518 138 Street, Surrey, BC, Canada",2017.0,2.0,3347.0,470.0,2006.0,Townhouse,17/06/2024,2024-05-06,949900.0
R2892367,930000.0,4.0,3.0,"7090 180 Street, Surrey, BC, Canada",1951.0,2.0,3261.0,460.0,2012.0,Townhouse,17/06/2024,2024-06-09,899000.0
R2891358,2035000.0,11.0,7.0,"14148 68 Avenue, Surrey, BC, Canada",5705.0,0.0,7877.0,403.0,2020.0,SingleFamily,17/06/2024,2024-06-05,2299999.0
R2891813,2029000.0,6.0,4.0,"7915 144 A Street, Surrey, BC, Canada",4460.0,10.0,6264.0,515.0,1992.0,SingleFamily,17/06/2024,2024-06-05,2299000.0
R2885802,730000.0,2.0,2.0,"15336 17 A Avenue, Surrey, BC, Canada",976.0,1.0,2551.0,768.0,2012.0,Condo,17/06/2024,2024-05-22,749900.0
R2890674,426500.0,1.0,1.0,"13325 102 A Avenue, Surrey, BC, Canada",631.0,1.0,1796.0,711.0,2013.0,Condo,17/06/2024,2024-06-02,449000.0
R2893985,1755000.0,8.0,6.0,"12684 70 A Avenue, Surrey, BC, Canada",4195.0,11.0,6647.0,450.0,1992.0,SingleFamily,17/06/2024,2024-06-11,1889000.0
R2881409,835000.0,4.0,3.0,"16228 16 Avenue, Surrey, BC, Canada",1670.0,2.0,3302.0,508.0,2012.0,Townhouse,17/06/2024,2024-05-08,848888.0
R2882325,730000.0,3.0,2.0,"15353 100 Avenue, Surrey, BC, Canada",1254.0,2.0,2562.0,557.0,2005.0,Townhouse,17/06/2024,2024-05-14,699000.0
R2890760,600000.0,2.0,2.0,"7156 121 Street, Surrey, BC, Canada",1480.0,1.0,2077.0,412.0,1988.0,Townhouse,17/06/2024,2024-06-04,610000.0
R2888729,1650000.0,3.0,2.0,"6225 152 A Street, Surrey, BC, Canada",1943.0,10.0,5368.0,874.0,1980.0,SingleFamily,17/06/2024,2024-05-29,1699999.0
R2894356,735000.0,2.0,1.0,"7233 189 Street, Surrey, BC, Canada",1199.0,2.0,2464.0,583.0,2009.0,Townhouse,17/06/2024,2024-06-12,699900.0
R2892629,470000.0,1.0,1.0,"13383 108 Avenue, Surrey, BC, Canada",825.0,1.0,1876.0,483.0,1994.0,Condo,17/06/2024,2024-06-09,399000.0
R2891137,1475000.0,6.0,4.0,"19498 72 Avenue, Surrey, BC, Canada",3075.0,4.0,5755.0,486.0,2010.0,SingleFamily,17/06/2024,2024-06-06,1495000.0
R2872594,995000.0,4.0,3.0,"17557 100 Avenue, Surrey, BC, Canada",1918.0,2.0,3454.0,521.0,2021.0,Townhouse,17/06/2024,2024-04-16,999999.0
R2880540,375000.0,1.0,1.0,"13883 Laurel Drive, Surrey, BC, Canada",422.0,1.0,1559.0,888.0,2013.0,Condo,17/06/2024,2024-05-05,374900.0
R2895296,700000.0,3.0,2.0,"9310 King George Boulevard, Surrey, BC, Canada",1831.0,2.0,2754.0,382.0,1994.0,Townhouse,17/06/2024,2024-06-16,700000.0
R2888060,820000.0,3.0,2.0,"13864 Hyland Road, Surrey, BC, Canada",1408.0,2.0,2759.0,600.0,2013.0,Townhouse,17/06/2024,2024-05-28,845000.0
R2887557,580000.0,2.0,2.0,"1685 152 A Street, Surrey, BC, Canada",1017.0,1.0,2200.0,589.0,2002.0,Condo,16/06/2024,2024-05-28,599999.0
R2892913,465000.0,1.0,1.0,"13685 102 Avenue, Surrey, BC, Canada",463.0,1.0,1882.0,863.0,2022.0,Condo,16/06/2024,2024-06-09,399999.0
R2892939,1988000.0,6.0,3.0,"3520 154 Street, Surrey, BC, Canada",3787.0,4.0,5996.0,475.0,2002.0,SingleFamily,16/06/2024,2024-06-09,1799000.0
R2894267,1350000.0,3.0,2.0,"14952 95 A Avenue, Surrey, BC, Canada",1520.0,4.0,4904.0,854.0,1981.0,SingleFamily,16/06/2024,2024-06-11,1299000.0
R2890693,967000.0,4.0,3.0,"16678 25 Avenue, Surrey, BC, Canada",1559.0,2.0,3134.0,641.0,2019.0,Townhouse,16/06/2024,2024-06-03,999900.0
R2890851,1100000.0,4.0,1.0,"12258 82 Avenue, Surrey, BC, Canada",1560.0,2.0,4105.0,735.0,1980.0,SingleFamily,16/06/2024,2024-06-03,1148000.0
R2889232,2437500.0,9.0,6.0,"7478 149 Street, Surrey, BC, Canada",5527.0,8.0,8161.0,443.0,2007.0,SingleFamily,16/06/2024,2024-05-30,2449900.0
R2890371,1110000.0,4.0,3.0,"2853 Helc Place, Surrey, BC, Canada",2075.0,2.0,3746.0,558.0,2016.0,Townhouse,16/06/2024,2024-06-03,1159900.0
R2890118,459000.0,1.0,1.0,"13688 100 Avenue, Surrey, BC, Canada",544.0,1.0,1776.0,843.0,2011.0,Condo,16/06/2024,2024-06-02,459000.0
R2877202,693000.0,3.0,1.0,"13706 67 Avenue, Surrey, BC, Canada",1115.0,1.0,2611.0,627.0,1979.0,Townhouse,16/06/2024,2024-04-29,699900.0
R2885753,405000.0,1.0,1.0,"10777 University Drive, Surrey, BC, Canada",570.0,1.0,1768.0,700.0,2010.0,Condo,16/06/2024,2024-05-21,399500.0
R2886775,1059000.0,2.0,2.0,"2780 150 Street, Surrey, BC, Canada",1639.0,2.0,3892.0,652.0,2001.0,Townhouse,16/06/2024,2024-06-03,1069000.0
R2894710,779000.0,3.0,2.0,"14905 60 Avenue, Surrey, BC, Canada",1334.0,2.0,3029.0,592.0,2013.0,Townhouse,16/06/2024,2024-06-12,790000.0
R2893196,420000.0,2.0,1.0,"10662 151 A Street, Surrey, BC, Canada",915.0,1.0,1783.0,490.0,1987.0,Condo,16/06/2024,2024-06-09,449000.0
R2880784,1647619.0,5.0,3.0,"2193 166 Street, Surrey, BC, Canada",2482.0,2.0,3471.0,724.0,2024.0,SingleFamily,16/06/2024,2024-05-07,1799000.0
R2894181,599000.0,2.0,2.0,"15956 86 A Avenue, Surrey, BC, Canada",847.0,2.0,2256.0,707.0,2013.0,Condo,16/06/2024,2024-06-11,599000.0
R2893156,1565000.0,4.0,3.0,"6230 Killarney Drive, Surrey, BC, Canada",2164.0,8.0,5833.0,738.0,1980.0,SingleFamily,16/06/2024,2024-06-10,1598880.0
