mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2696094,1895000.0,6.0,3.0,"1673 Taralawn Crt, Burnaby, BC, Canada",2643.0,6.0,5130.0,755.0,1967.0,SingleFamily,16/06/2022,2022-06-02,1998000.0
R2686604,575000.0,1.0,1.0,"9888 Cameron St, Burnaby, BC, Canada",700.0,1.0,1553.0,828.0,2009.0,Condo,16/06/2022,2022-05-08,579900.0
R2700705,395000.0,1.0,1.0,"7428 19th Ave, Burnaby, BC, Canada",705.0,1.0,892.0,560.0,1974.0,Condo,19/06/2022,2022-06-13,395000.0
R2698841,720000.0,2.0,2.0,"7488 Byrnepark Walk, Burnaby, BC, Canada",796.0,1.0,1846.0,879.0,2009.0,Condo,19/06/2022,2022-06-09,699900.0
R2694326,1248500.0,4.0,3.0,"7752 1st St, Burnaby, BC, Canada",2235.0,0.0,4300.0,665.0,2003.0,MultiFamily,19/06/2022,2022-05-26,1488000.0
R2686721,640000.0,3.0,2.0,"3911 Carrigan Crt, Burnaby, BC, Canada",1232.0,1.0,1528.0,527.0,1972.0,Condo,19/06/2022,2022-05-09,649900.0
R2700535,837000.0,2.0,2.0,"2388 Madison Ave, Burnaby, BC, Canada",821.0,1.0,2334.0,1034.0,2020.0,Condo,19/06/2022,2022-06-14,849000.0
R2682324,500000.0,2.0,1.0,"9847 Manchester Dr, Burnaby, BC, Canada",888.0,1.0,1410.0,596.0,1980.0,Condo,19/06/2022,2022-04-27,529998.0
R2700450,680000.0,2.0,1.0,"3737 Bartlett Crt, Burnaby, BC, Canada",1160.0,1.0,1548.0,593.0,1975.0,Condo,19/06/2022,2022-06-14,688000.0
R2690799,2810000.0,7.0,7.0,"4188 Southwood St, Burnaby, BC, Canada",4223.0,10.0,7947.0,710.0,2009.0,SingleFamily,21/06/2022,2022-05-18,3000000.0
