mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2766826,1900000.0,4.0,2.0,"11237 82 Ave, Delta, BC, Canada",2682.0,4.0,4392.0,838.0,1967.0,SingleFamily,26/06/2023,2023-04-10,2248000.0
R2791863,445000.0,2.0,1.0,"8635 120St, Delta, BC, Canada",853.0,1.0,934.0,503.0,1973.0,Condo,26/06/2023,2023-06-22,429800.0
R2790126,792500.0,2.0,2.0,"8360 Delsom Way, Delta, BC, Canada",1034.0,2.0,2066.0,724.0,2019.0,Condo,26/06/2023,2023-06-18,749000.0
R2792017,685000.0,2.0,2.0,"1350 View Cres, Delta, BC, Canada",1478.0,1.0,2188.0,463.0,1985.0,Condo,26/06/2023,2023-06-21,685000.0
R2791073,1568000.0,4.0,3.0,"11270 Lyon Rd, Delta, BC, Canada",3137.0,6.0,4754.0,499.0,1977.0,SingleFamily,26/06/2023,2023-06-20,1568000.0
R2786782,1370000.0,5.0,2.0,"5479 44 Ave, Delta, BC, Canada",2419.0,0.0,3864.0,578.0,1970.0,SingleFamily,26/06/2023,2023-06-07,1399900.0
R2791025,1398000.0,4.0,3.0,"8884 116St, Delta, BC, Canada",2500.0,5.0,3797.0,559.0,1980.0,SingleFamily,26/06/2023,2023-06-20,1398000.0
R2791166,1360000.0,3.0,2.0,"6031 Sunwood Dr, Delta, BC, Canada",1654.0,6.0,4467.0,773.0,1980.0,SingleFamily,26/06/2023,2023-06-19,1280000.0
R2790579,1300000.0,3.0,2.0,"9251 116 A St, Delta, BC, Canada",2134.0,2.0,4283.0,585.0,1983.0,SingleFamily,26/06/2023,2023-06-19,1248880.0
R2783813,1386000.0,4.0,2.0,"8068 112a St, Delta, BC, Canada",2180.0,4.0,4525.0,655.0,1971.0,SingleFamily,25/06/2023,2023-05-28,1429000.0
R2782330,1300000.0,5.0,3.0,"9535 117St, Delta, BC, Canada",2066.0,6.0,4269.0,531.0,1973.0,SingleFamily,25/06/2023,2023-05-28,1099000.0
R2788458,1299000.0,3.0,1.0,"5995 Crescent Dr, Delta, BC, Canada",1506.0,6.0,3733.0,862.0,1969.0,SingleFamily,25/06/2023,2023-06-11,1299000.0
R2788100,486000.0,1.0,1.0,"7511 120St, Delta, BC, Canada",656.0,1.0,1215.0,762.0,2012.0,Condo,24/06/2023,2023-06-12,499999.0
R2791457,1396800.0,3.0,3.0,"4641 55 A St, Delta, BC, Canada",2416.0,4.0,4325.0,570.0,1986.0,SingleFamily,24/06/2023,2023-06-21,1379000.0
R2783833,3000000.0,3.0,4.0,"4407 River Rd W, Delta, BC, Canada",4330.0,7.0,8061.0,759.0,2021.0,SingleFamily,24/06/2023,2023-05-30,3288000.0
R2786824,1167000.0,4.0,3.0,"6825 Nicholson Rd, Delta, BC, Canada",2582.0,2.0,2930.0,460.0,1988.0,Townhouse,23/06/2023,2023-06-05,1188000.0
R2791120,1559900.0,4.0,2.0,"4980 1 Ave, Delta, BC, Canada",3146.0,4.0,4607.0,508.0,1976.0,SingleFamily,22/06/2023,2023-06-20,1599900.0
R2785780,905000.0,3.0,2.0,"7167 116St, Delta, BC, Canada",1640.0,2.0,2580.0,548.0,2020.0,Townhouse,22/06/2023,2023-06-04,899000.0
R2788636,1600000.0,5.0,2.0,"8641 Byron Rd, Delta, BC, Canada",2708.0,4.0,4029.0,553.0,1977.0,SingleFamily,22/06/2023,2023-06-14,1499000.0
R2787427,657000.0,2.0,2.0,"1315 56St, Delta, BC, Canada",928.0,2.0,1741.0,695.0,2007.0,Condo,22/06/2023,2023-06-08,645000.0
R2788679,2240000.0,4.0,4.0,"5555 46 Ave, Delta, BC, Canada",3088.0,6.0,6273.0,744.0,2014.0,SingleFamily,20/06/2023,2023-06-13,2299000.0
R2786654,1290800.0,4.0,2.0,"5447 44 Ave, Delta, BC, Canada",2114.0,0.0,3868.0,614.0,1969.0,SingleFamily,20/06/2023,2023-06-07,1299000.0
R2788665,1352000.0,4.0,2.0,"4386 48a St, Delta, BC, Canada",2106.0,2.0,4126.0,593.0,1969.0,SingleFamily,19/06/2023,2023-06-13,1250000.0
R2779061,2100000.0,4.0,3.0,"163 English Bluff Rd, Delta, BC, Canada",2807.0,4.0,6510.0,765.0,2016.0,SingleFamily,19/06/2023,2023-05-17,2149980.0
R2782857,1060000.0,4.0,3.0,"11188 72 Ave, Delta, BC, Canada",1735.0,2.0,2950.0,633.0,2019.0,Townhouse,19/06/2023,2023-05-29,1099000.0
R2789355,980000.0,3.0,2.0,"4827 Central Ave, Delta, BC, Canada",1533.0,2.0,2522.0,619.0,1978.0,Townhouse,19/06/2023,2023-06-15,950000.0
R2787794,1450000.0,4.0,3.0,"7580 Minster Dr E, Delta, BC, Canada",1896.0,3.0,4145.0,737.0,1973.0,SingleFamily,19/06/2023,2023-06-11,1399000.0
R2776750,737500.0,2.0,2.0,"4831 53St, Delta, BC, Canada",1219.0,1.0,1934.0,606.0,1992.0,Condo,19/06/2023,2023-05-09,739000.0
R2786976,588000.0,2.0,2.0,"4768 53St, Delta, BC, Canada",1006.0,1.0,1650.0,566.0,1995.0,Condo,18/06/2023,2023-06-07,569800.0
R2787903,790000.0,3.0,2.0,"6712 Baker Rd, Delta, BC, Canada",1285.0,2.0,2122.0,621.0,1979.0,Townhouse,18/06/2023,2023-06-11,799000.0
R2787727,1280000.0,4.0,1.0,"8158 113b St, Delta, BC, Canada",2139.0,4.0,4517.0,649.0,1970.0,SingleFamily,18/06/2023,2023-06-11,1389000.0
R2787710,1250000.0,4.0,2.0,"8282 Nechako Dr, Delta, BC, Canada",1921.0,3.0,3488.0,624.0,1972.0,SingleFamily,18/06/2023,2023-06-11,1198800.0
R2787256,634050.0,1.0,1.0,"5555 13a Ave, Delta, BC, Canada",864.0,1.0,1627.0,711.0,1996.0,Condo,18/06/2023,2023-06-11,615000.0
