,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
71,Townhouse,"$3,805",2013 sqft,Yes,$530,R2904419,,Residential,2021,,"63 - 15850 85 Ave, Surrey, BC",3,4,2,09/07/2024,"$1,068,800"
72,Townhouse,"$3,341",2047 sqft,Yes,$575,R2903697,,Residential,2011,,"10 - 7177 179 St, Surrey, BC",3,3,3,08/07/2024,"$1,179,000"
73,Single Family Residence,"$23,111",7530 sqft,Yes,$703,R2904284,,Residential,2012,,"13585 28 Ave, Surrey, BC",6,7,15,08/07/2024,"$5,298,000"
74,Townhouse,,1908 sqft,Yes,$655,R2902572,,Residential,2024,,"23 - 17538 100 Ave, Surrey, BC",3,4,2,08/07/2024,"$1,249,900"
75,Apartment/Condominium,"$2,433",1250 sqft,Yes,$527,R2903674,,Residential,1997,,"420 - 15210 Guildford Dr, Surrey, BC",2,3,1,08/07/2024,"$658,800"
76,Apartment/Condominium,"$1,738",810 sqft,Yes,$512,R2902602,,Residential,1996,,"109 - 5977 177 B St, Surrey, BC",1,1,1,08/07/2024,"$415,000"
77,Apartment/Condominium,"$1,505",300 sqft,No,"$1,229",R2903771,,Residential,2019,,"3601 - 13438 Central Ave, Surrey, BC",1,0,0,08/07/2024,"$368,800"
78,Apartment/Condominium,"$2,295",853 sqft,Yes,$736,R2904175,,Residential,2015,,"313 - 16398 64 Ave, Surrey, BC",2,2,2,08/07/2024,"$628,000"
79,Single Family Residence,"$5,409",3369 sqft,Yes,$608,R2904099,,Residential,2014,,"3233 147 St, Surrey, BC",3,4,2,08/07/2024,"$2,049,999"
80,Townhouse,"$2,566",1922 sqft,Yes,$379,R2903662,,Residential,1989,,"115 - 6841 138 St, Surrey, BC",2,2,2,08/07/2024,"$729,000"
81,Townhouse,"$2,353",1098 sqft,Yes,$655,R2905002,,Residential,2009,,"12 - 13239 Old Yale Rd, Surrey, BC",2,2,2,08/07/2024,"$720,000"
82,Townhouse,"$2,721",1816 sqft,Yes,$450,R2903780,,Residential,2005,,"11 - 12070 76 Ave, Surrey, BC",3,4,0,08/07/2024,"$819,000"
83,Single Family Residence,"$7,152",4049 sqft,Yes,$444,R2904587,,Residential,2003,,"10672 164a St, Surrey, BC",3,6,4,08/07/2024,"$1,799,000"
84,Single Family Residence,"$4,141",1433 sqft,No,$836,R2905203,,Residential,1983,,"12480 78 Ave, Surrey, BC",1,3,0,08/07/2024,"$1,198,000"
85,Townhouse,"$3,375",1680 sqft,Yes,$654,R2903852,,Residential,2004,,"27 - 15868 85 Ave, Surrey, BC",2,4,3,08/07/2024,"$1,099,000"
86,Apartment/Condominium,"$1,831",902 sqft,Yes,$576,R2902893,,Residential,1989,,"306 - 13959 16 Ave, Surrey, BC",2,2,2,08/07/2024,"$520,000"
87,Townhouse,,1455 sqft,Yes,$687,R2903177,,Residential,2024,,"105 - 1833 165 A St, Surrey, BC",2,4,2,08/07/2024,"$999,900"
88,Townhouse,"$3,040",1220 sqft,Yes,$659,R2901923,,Residential,2008,,"103 - 2450 161 A St, Surrey, BC",2,2,2,08/07/2024,"$804,000"
