,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
328,Apartment/Condominium,"$2,018",794 sqft,Yes,$748,R2898360,,Residential,2013,,"501 - 6480 195a St, Surrey, BC",1,2,1,23/06/2024,"$594,000"
329,Townhouse,"$2,657",1340 sqft,No,$626,R2898389,,Residential,2018,,"13 - 9718 161 A St, Surrey, BC",2,2,2,23/06/2024,"$839,000"
330,Single Family Residence,"$8,056",6436 sqft,Yes,$372,R2899790,,Residential,2021,,"9975 173b St, Surrey, BC",8,10,5,23/06/2024,"$2,399,000"
331,Apartment/Condominium,"$2,267",752 sqft,Yes,$796,R2898369,,Residential,2016,,"902 - 13398 104 Ave, Surrey, BC",2,2,1,23/06/2024,"$599,000"
332,Single Family Residence,"$7,366",3860 sqft,Yes,$453,R2897705,,Residential,1991,,"12290 64 Ave, Surrey, BC",5,6,9,23/06/2024,"$1,749,000"
333,Townhouse,"$3,178",1716 sqft,No,$536,R2898309,,Residential,2015,,"51 - 13886 62 Ave, Surrey, BC",2,4,2,23/06/2024,"$919,999"
334,Apartment/Condominium,"$2,091",1112 sqft,Yes,$562,R2897370,,Residential,1992,,"1106 - 15038 101 Ave, Surrey, BC",2,2,2,23/06/2024,"$625,000"
335,Apartment/Condominium,"$1,982",1245 sqft,Yes,$441,R2898170,,Residential,1977,,"209 - 7426 138 St, Surrey, BC",1,3,1,23/06/2024,"$549,900"
336,Townhouse,"$2,988",1457 sqft,Yes,$549,R2898111,,Residential,2014,,"12 - 6123 138 St, Surrey, BC",2,3,2,23/06/2024,"$799,999"
337,Single Family Residence,"$6,868",3300 sqft,Yes,$772,R2899214,,Residential,1982,,"1866 134a St, Surrey, BC",3,4,6,22/06/2024,"$2,549,000"
338,Townhouse,"$4,055",2802 sqft,Yes,$463,R2899062,,Residential,2011,,"7 - 15988 32 Ave, Surrey, BC",3,5,2,23/06/2024,"$1,299,999"
339,Townhouse,"$3,049",1541 sqft,Yes,$558,R2898685,,Residential,2009,,"154 - 6299 144 St, Surrey, BC",2,3,2,23/06/2024,"$859,900"
340,Townhouse,,1267 sqft,Yes,$686,R2899024,,Residential,2024,,"168 - 14150 58 A Ave, Surrey, BC",2,3,2,21/06/2024,"$869,900"
341,Apartment/Condominium,,905 sqft,Yes,$740,R2899493,,Residential,2024,,"406 - 6285 King George Blvd, Surrey, BC",2,2,1,23/06/2024,"$669,900"
342,Single Family Residence,"$5,449",3457 sqft,No,$404,R2897166,,Residential,1983,,"12980 67a Ave, Surrey, BC",4,7,4,23/06/2024,"$1,399,999"
343,Apartment/Condominium,"$2,096",1027 sqft,Yes,$584,R2895261,,Residential,1995,,"207 - 8068 120a St, Surrey, BC",2,2,2,23/06/2024,"$600,000"
344,Single Family Residence,"$6,325",3271 sqft,Yes,$485,R2898336,,Residential,2014,,"16960 77a Ave, Surrey, BC",3,5,4,20/06/2024,"$1,588,000"
345,Townhouse,"$6,286",4366 sqft,Yes,$411,R2897736,,Residential,1998,,"80 - 3355 Morgan Creek Way, Surrey, BC",3,3,4,20/06/2024,"$1,798,000"
346,Townhouse,,1469 sqft,Yes,$707,R2897652,,Residential,2024,,"112 - 1833 165 A St, Surrey, BC",2,4,2,20/06/2024,"$1,039,900"
347,Townhouse,"$2,872",1314 sqft,Yes,$684,R2898183,,Residential,2017,,"36 - 10433 158 St, Surrey, BC",2,3,2,20/06/2024,"$899,000"
348,Townhouse,"$3,109",1397 sqft,Yes,$608,R2897879,,Residential,2014,,"20 - 14271 60 Ave, Surrey, BC",2,3,2,20/06/2024,"$849,900"
349,Apartment/Condominium,"$1,826",900 sqft,Yes,$631,R2897769,,Residential,1993,,"1608 - 10082 148 St, Surrey, BC",2,2,2,20/06/2024,"$568,000"
350,Apartment/Condominium,,969 sqft,Yes,$835,R2898068,,Residential,2024,,"105 - 2425 166 St, Surrey, BC",2,2,1,20/06/2024,"$809,900"
351,Townhouse,"$3,589",1947 sqft,Yes,$605,R2898615,,Residential,2017,,"158 - 2280 163 St, Surrey, BC",3,4,2,20/06/2024,"$1,179,000"
352,Apartment/Condominium,"$1,973",647 sqft,Yes,$834,R2897408,,Residential,2013,,"202 - 15956 86a Ave, Surrey, BC",1,1,1,19/06/2024,"$539,900"
353,Apartment/Condominium,"$1,619",555 sqft,Yes,$828,R2897662,,Residential,2023,,"310 - 14225 103 A Ave, Surrey, BC",1,1,1,19/06/2024,"$459,900"
354,Single Family Residence,"$8,107",6949 sqft,Yes,$427,R2897198,,Residential,2022,,"13035 Fairford Pl, Surrey, BC",8,10,0,19/06/2024,"$2,969,888"
355,Townhouse,,2528 sqft,Yes,$573,R2897955,,Residential,2024,,"106 - 3075 160 St, Surrey, BC",3,4,2,19/06/2024,"$1,450,000"
356,Apartment/Condominium,,350 sqft,Yes,$854,R2898560,,Residential,2024,,"E101 - 13838 108 Ave, Surrey, BC",1,1,0,19/06/2024,"$299,000"
357,Single Family Residence,"$5,508",3297 sqft,Yes,$576,R2897581,,Residential,1990,,"6481 179 St, Surrey, BC",4,4,8,19/06/2024,"$1,899,999"
358,Townhouse,"$3,029",1554 sqft,Yes,$591,R2897811,,Residential,2014,,"71 - 19477 72a Ave, Surrey, BC",2,4,3,19/06/2024,"$919,900"
359,Single Family Residence,"$4,840",1590 sqft,No,$943,R2897235,,Residential,1978,,"14131 76 Ave, Surrey, BC",2,3,0,19/06/2024,"$1,499,777"
360,Apartment/Condominium,,825 sqft,Yes,$906,R2898303,,Residential,2024,,"902 - 10428 Whalley Blvd, Surrey, BC",2,2,1,19/06/2024,"$748,000"
361,Apartment/Condominium,,643 sqft,Yes,$925,R2897236,,Residential,2024,,"305 - 10428 Whalley Blvd, Surrey, BC",1,1,1,19/06/2024,"$595,000"
362,Single Family Residence,"$7,053",3902 sqft,Yes,$486,R2897398,,Residential,2003,,"16668 63a Ave, Surrey, BC",5,6,5,19/06/2024,"$1,899,900"
363,Apartment/Condominium,"$2,231",888 sqft,Yes,$619,R2897663,,Residential,2008,,"201 - 13555 Gateway Dr, Surrey, BC",2,2,1,19/06/2024,"$549,900"
364,Single Family Residence,"$5,370",3438 sqft,Yes,$479,R2897669,,Residential,1990,,"7844 160a St, Surrey, BC",3,5,6,19/06/2024,"$1,648,000"
365,Single Family Residence,"$7,055",3275 sqft,Yes,$732,R2897680,,Residential,1990,,"13095 21a Ave, Surrey, BC",2,4,6,19/06/2024,"$2,399,000"
366,Single Family Residence,"$11,265",8636 sqft,Yes,$509,R2897238,,Residential,2002,,"3528 164a St, Surrey, BC",4,6,6,19/06/2024,"$4,398,000"
367,Townhouse,,1491 sqft,Yes,$570,R2897412,,Residential,2023,,"3 - 18850 72a Ave, Surrey, BC",2,3,2,19/06/2024,"$849,900"
368,Apartment/Condominium,"$2,811",987 sqft,Yes,$890,R2897033,,Residential,2013,,"108 - 15195 36 Ave, Surrey, BC",2,2,1,18/06/2024,"$879,000"
369,Townhouse,"$2,903",1428 sqft,Yes,$622,R2896916,,Residential,2019,,"37 - 5945 176a St, Surrey, BC",2,3,2,18/06/2024,"$888,500"
370,Townhouse,"$3,539",1677 sqft,Yes,$560,R2896282,,Residential,2008,,"34 - 18199 70 Ave, Surrey, BC",2,3,4,18/06/2024,"$939,900"
371,Apartment/Condominium,"$1,950",534 sqft,Yes,$980,R2897503,,Residential,2016,,"1103 - 13750 100 Ave, Surrey, BC",1,1,1,18/06/2024,"$523,599"
372,Single Family Residence,"$7,689",3709 sqft,Yes,$700,R2896876,,Residential,1993,,"14035 29a Ave, Surrey, BC",3,4,6,18/06/2024,"$2,599,000"
373,Townhouse,"$2,878",1755 sqft,Yes,$501,R2896620,,Residential,2005,,"63 - 12677 63 Ave, Surrey, BC",2,4,2,18/06/2024,"$879,999"
374,Single Family Residence,"$6,302",3259 sqft,Yes,$689,R2897564,,Residential,1990,,"5788 124a St, Surrey, BC",3,5,10,18/06/2024,"$2,248,000"
375,Apartment/Condominium,"$2,221",945 sqft,Yes,$597,R2897241,,Residential,2006,,"310 - 10092 148 St, Surrey, BC",2,2,1,18/06/2024,"$565,000"
376,Single Family Residence,"$5,972",2598 sqft,No,$646,R2896674,,Residential,1976,,"7794 141b St, Surrey, BC",5,6,6,18/06/2024,"$1,679,879"
377,Townhouse,"$2,776",1456 sqft,Yes,$673,R2897582,,Residential,2022,,"5 - 18833 70 Ave, Surrey, BC",2,3,0,18/06/2024,"$979,999"
378,Apartment/Condominium,,744 sqft,Yes,"$1,075",R2897045,,Residential,2024,,"101 - 3315 148 St, Surrey, BC",2,2,2,18/06/2024,"$799,900"
379,Townhouse,"$4,500",1407 sqft,Yes,$612,R2897853,,Residential,2005,,"25 - 16789 60 Ave, Surrey, BC",2,3,2,18/06/2024,"$862,000"
380,Single Family Residence,"$4,336",2045 sqft,Yes,$659,R2896974,,Residential,1972,,"13833 112 Ave, Surrey, BC",2,5,6,18/06/2024,"$1,349,000"
381,Apartment/Condominium,"$1,802",947 sqft,Yes,$527,R2896422,,Residential,1984,,"105 - 10560 154 St, Surrey, BC",1,2,1,18/06/2024,"$499,900"
382,Single Family Residence,"$9,452",6441 sqft,Yes,$510,R2896921,,Residential,2004,,"3387 145 St, Surrey, BC",5,4,6,18/06/2024,"$3,290,000"
383,Single Family Residence,"$7,580",1100 sqft,No,"$2,454",R2896968,,Residential,1965,,"1330 132b St, Surrey, BC",1,2,4,18/06/2024,"$2,700,000"
384,Single Family Residence,"$5,701",2518 sqft,Yes,$733,R2896820,,Residential,2006,,"1318 160 St, Surrey, BC",2,5,4,18/06/2024,"$1,848,000"
385,Townhouse,"$3,327",1551 sqft,Yes,$126,R2898541,,Residential,2018,,"2 - 11267 133 St, Surrey, BC",3,5,2,18/06/2024,"$196,900"
386,Single Family Residence,"$5,232",1785 sqft,Yes,$770,R2896012,,Residential,1987,,"12335 Southpark Cres, Surrey, BC",2,3,4,17/06/2024,"$1,374,900"
387,Single Family Residence,"$3,786",888 sqft,No,"$1,351",R2897069,,Residential,9999,,"10167 Helen Dr, Surrey, BC",1,2,4,18/06/2024,"$1,199,999"
388,Townhouse,"$4,367",2651 sqft,Yes,$523,R2892051,,Residential,2010,,"7 - 2456 163 St, Surrey, BC",3,4,2,17/06/2024,"$1,389,000"
389,Single Family Residence,"$5,629",2225 sqft,No,$660,R2896640,,Residential,1971,,"13487 112 A Ave, Surrey, BC",2,5,3,18/06/2024,"$1,470,000"
390,Single Family Residence,"$5,152",2991 sqft,No,$567,R2896727,,Residential,1988,,"1142 164a St, Surrey, BC",3,4,5,17/06/2024,"$1,698,000"
391,Townhouse,"$3,321",1670 sqft,No,$718,R2896430,,Residential,2017,,"57 - 16336 23a Ave, Surrey, BC",3,3,2,18/06/2024,"$1,199,900"
392,Single Family Residence,"$8,139",4173 sqft,Yes,$645,R2895968,,Residential,2007,,"16211 31 Ave, Surrey, BC",4,6,6,17/06/2024,"$2,695,000"
393,Apartment/Condominium,,728 sqft,Yes,$960,R2896423,,Residential,2024,,"1404 - 10428 Whalley Blvd, Surrey, BC",1,2,1,17/06/2024,"$699,000"
394,Single Family Residence,"$7,754",4099 sqft,Yes,$582,R2895816,,Residential,1956,,"2882 141 St, Surrey, BC",4,4,6,17/06/2024,"$2,388,000"
395,Townhouse,,1492 sqft,No,$669,R2895238,,Residential,2024,,"40 - 13895 64 Ave, Surrey, BC",2,3,2,17/06/2024,"$999,000"
396,Townhouse,"$3,338",2002 sqft,Yes,$483,R2896539,,Residential,2007,,"35 - 19330 69 Ave, Surrey, BC",2,3,3,17/06/2024,"$968,800"
397,Single Family Residence,"$6,473",3931 sqft,Yes,$470,R2896875,,Residential,2004,,"16719 63b Ave, Surrey, BC",6,8,4,17/06/2024,"$1,849,000"
398,Townhouse,"$3,197",1456 sqft,No,$678,R2896304,,Residential,2020,,"36 - 16678 25 Ave, Surrey, BC",2,4,2,17/06/2024,"$988,000"
399,Townhouse,,1206 sqft,No,$662,R2895235,,Residential,2024,,"18 - 13895 64 Ave, Surrey, BC",2,3,2,17/06/2024,"$799,000"
400,Townhouse,,1240 sqft,No,$684,R2895237,,Residential,2024,,"25 - 13895 64 Ave, Surrey, BC",2,3,2,17/06/2024,"$849,000"
401,Apartment/Condominium,,488 sqft,Yes,$891,R2896338,,Residential,2024,,"E512 - 13965 108 Ave, Surrey, BC",1,1,1,17/06/2024,"$434,900"
402,Single Family Residence,"$5,078",3642 sqft,Yes,$436,R2896448,,Residential,1988,,"7881 163 St, Surrey, BC",3,4,6,17/06/2024,"$1,588,000"
403,Apartment/Condominium,"$2,437",936 sqft,Yes,$853,R2894153,,Residential,2013,,"104 - 14358 60 Ave, Surrey, BC",2,3,1,17/06/2024,"$799,000"
404,Apartment/Condominium,"$2,357",993 sqft,Yes,$689,R2896473,,Residential,2012,,"301 - 15775 Croydon Dr, Surrey, BC",2,2,2,17/06/2024,"$684,900"
405,Apartment/Condominium,,821 sqft,Yes,$846,R2896530,,Residential,2024,,"417 - 13969 96 Ave, Surrey, BC",2,2,1,17/06/2024,"$694,800"
406,Apartment/Condominium,,334 sqft,Yes,"$1,044",R2896469,,Residential,2023,,"415 - 13350 Central Ave, Surrey, BC",1,0,0,17/06/2024,"$349,000"
407,Apartment/Condominium,"$2,679",1257 sqft,Yes,$676,R2895978,,Residential,2017,,"104 - 6470 194 St, Surrey, BC",2,3,2,17/06/2024,"$849,999"
408,Townhouse,"$3,016",1476 sqft,Yes,$609,R2895288,,Residential,2020,,"22 - 14499 64 Ave, Surrey, BC",2,3,2,17/06/2024,"$899,000"
409,Townhouse,,1640 sqft,Yes,$609,R2897544,,Residential,2024,,"39 - 9652 162 A St, Surrey, BC",3,4,2,17/06/2024,"$999,900"
410,Townhouse,"$2,930",2175 sqft,Yes,$413,R2896828,,Residential,2004,,"69 - 12711 64 Ave, Surrey, BC",2,3,2,17/06/2024,"$899,000"
411,Apartment/Condominium,"$2,142",851 sqft,Yes,$704,R2896739,,Residential,2016,,"505 - 19228 64 Ave, Surrey, BC",2,2,1,17/06/2024,"$599,888"
412,Apartment/Condominium,"$1,870",892 sqft,Yes,$559,R2896593,,Residential,1993,,"1105 - 10082 148 St, Surrey, BC",2,2,1,17/06/2024,"$499,000"
413,Townhouse,,1451 sqft,No,$654,R2895964,,Residential,2024,,"37 - 13895 64 Ave, Surrey, BC",2,3,2,17/06/2024,"$949,000"
414,Townhouse,"$2,836",1495 sqft,Yes,$548,R2896421,,Residential,2005,,"44 - 12730 66 Ave, Surrey, BC",2,3,2,17/06/2024,"$820,000"
415,Single Family Residence,"$7,292",4467 sqft,Yes,$436,R2896545,,Residential,2005,,"15071 76 A Ave, Surrey, BC",4,8,6,17/06/2024,"$1,949,000"
416,Apartment/Condominium,"$1,858",592 sqft,Yes,$842,R2895277,,Residential,2017,,"114 - 6468 195a St, Surrey, BC",1,1,1,16/06/2024,"$499,000"
417,Townhouse,"$3,729",1602 sqft,Yes,$686,R2895790,,Residential,2022,,"1 - 15778 85 Ave, Surrey, BC",3,4,2,16/06/2024,"$1,100,000"
418,Apartment/Condominium,"$2,415",873 sqft,Yes,$744,R2895508,,Residential,2021,,"116 - 13623 81a Ave, Surrey, BC",2,3,1,16/06/2024,"$650,000"
419,Apartment/Condominium,,390 sqft,Yes,"$1,007",R2895619,,Residential,2023,,"1007 - 10626 City Pky, Surrey, BC",1,0,1,16/06/2024,"$392,888"
420,Apartment/Condominium,"$2,269",679 sqft,Yes,$854,R2895951,,Residential,2016,,"2805 - 13398 104 Ave, Surrey, BC",1,2,1,16/06/2024,"$579,900"
421,Single Family Residence,"$5,250",2803 sqft,No,$534,R2896499,,Residential,1969,,"11600 140a St, Surrey, BC",2,5,8,16/06/2024,"$1,497,000"
422,Single Family Residence,"$6,542",2359 sqft,No,$741,R2895924,,Residential,1979,,"14466 16a Ave, Surrey, BC",3,4,4,16/06/2024,"$1,750,000"
423,Apartment/Condominium,"$1,731",495 sqft,Yes,$934,R2894820,,Residential,2016,,"403 - 6468 195a St, Surrey, BC",1,1,1,16/06/2024,"$462,777"
424,Apartment/Condominium,"$1,804",577 sqft,Yes,$811,R2896810,,Residential,2011,,"306 - 13688 100 Ave, Surrey, BC",1,1,1,16/06/2024,"$468,000"
425,Townhouse,"$3,426",1702 sqft,Yes,$658,R2896623,,Residential,2018,,"28 - 16337 15 Ave, Surrey, BC",3,4,2,16/06/2024,"$1,120,000"
426,Townhouse,"$3,358",1658 sqft,Yes,$602,R2894241,,Residential,2018,,"17 - 16357 15 Ave, Surrey, BC",3,4,2,16/06/2024,"$999,000"
427,Single Family Residence,"$8,541",5728 sqft,No,$523,R2896408,,Residential,2021,,"18588 57 Ave, Surrey, BC",7,9,8,16/06/2024,"$2,999,000"
428,Apartment/Condominium,"$1,749",529 sqft,Yes,$897,R2896586,,Residential,2011,,"901 - 9981 Whalley Blvd, Surrey, BC",1,1,1,16/06/2024,"$474,900"
429,Single Family Residence,"$6,760",4211 sqft,Yes,$474,R2895196,,Residential,2011,,"6266 146 St, Surrey, BC",6,9,6,16/06/2024,"$1,999,000"
430,Apartment/Condominium,"$1,986",534 sqft,Yes,"$1,029",R2897070,,Residential,2017,,"2905 - 13696 100 Ave, Surrey, BC",1,1,1,16/06/2024,"$550,000"
431,Single Family Residence,"$8,356",5211 sqft,Yes,$630,R2895163,,Residential,1992,,"13422 20a Ave, Surrey, BC",4,5,10,16/06/2024,"$3,288,000"
432,Single Family Residence,"$5,221",2220 sqft,No,$652,R2895743,,Residential,1981,,"8808 140 St, Surrey, BC",2,6,3,16/06/2024,"$1,448,000"
433,Apartment/Condominium,,653 sqft,Yes,$689,R2896372,,Residential,1996,,"108 - 8110 120a St, Surrey, BC",1,1,1,16/06/2024,"$450,000"
434,Single Family Residence,"$7,226",3752 sqft,Yes,$612,R2895891,,Residential,2011,,"16228 25 Ave, Surrey, BC",3,4,4,16/06/2024,"$2,299,000"
435,Apartment/Condominium,"$1,830",525 sqft,Yes,$952,R2894849,,Residential,2021,,"611 - 13615 Fraser Highway, Surrey, BC",1,1,1,16/06/2024,"$499,900"
436,Apartment/Condominium,"$1,200",718 sqft,Yes,$835,R2895833,,Residential,2023,,"1510 - 10626 City Pky, Surrey, BC",2,2,1,16/06/2024,"$599,999"
437,Single Family Residence,"$5,234",1778 sqft,Yes,$899,R2894703,,Residential,1979,,"8942 139a St, Surrey, BC",2,4,5,16/06/2024,"$1,599,000"
438,Townhouse,"$2,897",1530 sqft,Yes,$522,R2895416,,Residential,2005,,"29 - 12730 66 Ave, Surrey, BC",2,3,0,16/06/2024,"$799,879"
439,Apartment/Condominium,,827 sqft,Yes,$906,R2895122,,Residential,2024,,"E104 - 13858 108 Ave, Surrey, BC",2,2,1,16/06/2024,"$749,999"
440,Apartment/Condominium,"$1,784",461 sqft,Yes,"$1,017",R2894855,,Residential,2023,,"804 - 13350 Central Ave, Surrey, BC",1,1,1,14/06/2024,"$468,888"
441,Single Family Residence,,3801 sqft,Yes,$486,R2894948,,Residential,2010,,"12984 58b Ave, Surrey, BC",5,8,5,13/06/2024,"$1,850,000"
442,Single Family Residence,"$4,657",1280 sqft,Yes,$992,R2895580,,Residential,1986,,"11397 141 A St, Surrey, BC",2,3,4,14/06/2024,"$1,270,000"
443,Apartment/Condominium,"$1,810",529 sqft,No,$867,R2895109,,Residential,2011,,"2401 - 13688 100 Ave, Surrey, BC",1,1,1,13/06/2024,"$459,000"
444,Single Family Residence,"$10,684",9114 sqft,Yes,$535,R2895324,,Residential,2010,,"13216 Crescent Rd, Surrey, BC",5,5,16,14/06/2024,"$4,880,000"
445,Single Family Residence,"$4,734",3624 sqft,Yes,$634,R2895280,,Residential,2024,,"15445 94 Ave, Surrey, BC",6,8,6,15/06/2024,"$2,299,900"
446,Townhouse,"$2,001",792 sqft,Yes,$731,R2895134,,Residential,2019,,"106 - 13308 Central Ave, Surrey, BC",1,1,1,13/06/2024,"$579,000"
447,Single Family Residence,"$8,085",5199 sqft,Yes,$384,R2895281,,Residential,1995,,"8213 152 St, Surrey, BC",5,13,6,15/06/2024,"$1,999,000"
448,Townhouse,"$2,781",1330 sqft,No,$600,R2895045,,Residential,1992,,"57 - 10051 155 St, Surrey, BC",2,3,2,13/06/2024,"$799,000"
449,Apartment/Condominium,"$2,213",797 sqft,Yes,$752,R2894934,,Residential,2010,,"250 - 15850 26 Ave, Surrey, BC",2,2,1,12/06/2024,"$599,800"
450,Townhouse,"$2,584",1434 sqft,Yes,$592,R2893078,,Residential,2008,,"56 - 11255 132 St, Surrey, BC",2,3,2,13/06/2024,"$849,900"
451,Apartment/Condominium,"$2,116",769 sqft,Yes,$778,R2893781,,Residential,2011,,"1808 - 9981 Whalley Blvd, Surrey, BC",1,2,1,13/06/2024,"$599,000"
452,Single Family Residence,"$5,368",1736 sqft,Yes,$806,R2895447,,Residential,1987,,"13442 60a Ave, Surrey, BC",2,3,3,13/06/2024,"$1,399,900"
453,Apartment/Condominium,"$2,323",956 sqft,Yes,$679,R2892815,,Residential,2009,,"111 - 15168 19 Ave, Surrey, BC",2,2,2,13/06/2024,"$649,999"
454,Apartment/Condominium,"$1,375",537 sqft,Yes,$756,R2894783,,Residential,1980,,"101 - 9952 149 St, Surrey, BC",1,1,0,13/06/2024,"$406,000"
455,Single Family Residence,"$6,123",4436 sqft,Yes,$479,R2894871,,Residential,1987,,"7747 163 St, Surrey, BC",3,4,10,13/06/2024,"$2,125,000"
456,Townhouse,,1711 sqft,Yes,$745,R2894531,,Residential,2024,,"52 - 2528 156 St, Surrey, BC",3,4,2,12/06/2024,"$1,275,000"
457,Townhouse,"$3,104",1282 sqft,Yes,$699,R2892632,,Residential,2019,,"151 - 16433 19 Ave, Surrey, BC",2,2,2,12/06/2024,"$897,000"
458,Single Family Residence,"$6,023",3436 sqft,Yes,$552,R2895168,,Residential,1990,,"9025 121 St, Surrey, BC",4,6,6,12/06/2024,"$1,899,000"
459,Townhouse,"$3,934",1948 sqft,Yes,$666,R2894929,,Residential,2010,,"144 - 2501 161a St, Surrey, BC",2,4,2,12/06/2024,"$1,298,000"
460,Single Family Residence,"$5,066",2541 sqft,Yes,$550,R2894634,,Residential,1984,,"9688 129a St, Surrey, BC",4,5,6,12/06/2024,"$1,398,800"
461,Apartment/Condominium,"$2,109",1400 sqft,Yes,$553,R2894829,,Residential,2013,,"14885 60 Ave, Surrey, BC",2,2,2,12/06/2024,"$775,000"
462,Townhouse,"$2,972",1238 sqft,Yes,$626,R2894521,,Residential,2008,,"9 - 15833 26 Ave, Surrey, BC",2,2,2,12/06/2024,"$775,000"
463,Single Family Residence,"$5,533",3209 sqft,Yes,$467,R2893966,,Residential,2000,,"18495 68a Ave, Surrey, BC",3,5,6,12/06/2024,"$1,499,999"
464,Townhouse,"$3,167",1505 sqft,Yes,$584,R2894286,,Residential,1991,,"18 - 8257 121 A St, Surrey, BC",2,3,2,11/06/2024,"$879,000"
465,Single Family Residence,"$6,032",4577 sqft,Yes,$501,R2893902,,Residential,1991,,"1834 Ocean Park Rd, Surrey, BC",4,6,4,11/06/2024,"$2,296,000"
466,Townhouse,"$2,867",1178 sqft,Yes,$661,R2894010,,Residential,2012,,"2 - 6895 188 St, Surrey, BC",2,2,2,11/06/2024,"$779,000"
467,Apartment/Condominium,"$1,989",510 sqft,Yes,$970,R2894491,,Residential,2017,,"2908 - 13696 100 Ave, Surrey, BC",1,1,1,11/06/2024,"$495,000"
468,Apartment/Condominium,"$2,352",1112 sqft,Yes,$582,R2894109,,Residential,1994,,"311 - 15155 22 Ave, Surrey, BC",2,2,1,11/06/2024,"$648,000"
469,Apartment/Condominium,,691 sqft,Yes,$866,R2893973,,Residential,2023,,"312 - 13428 105 Ave, Surrey, BC",1,2,1,11/06/2024,"$599,000"
470,Single Family Residence,"$8,131",6290 sqft,Yes,$476,R2894259,,Residential,2022,,"13950 Kalmar Rd, Surrey, BC",8,9,10,11/06/2024,"$3,000,000"
471,Apartment/Condominium,,628 sqft,Yes,$875,R2894892,,Residential,2023,,"601 - 10778 138 St, Surrey, BC",1,1,1,11/06/2024,"$549,888"
472,Single Family Residence,"$8,737",5876 sqft,Yes,$485,R2894779,,Residential,2017,,"12187 71 Ave, Surrey, BC",7,11,8,11/06/2024,"$2,849,999"
473,Townhouse,"$2,970",1918 sqft,Yes,$551,R2897380,,Residential,2020,,"18 - 17557 100 Ave, Surrey, BC",3,5,2,20/06/2024,"$1,058,000"
474,Townhouse,"$2,977",1303 sqft,Yes,$681,R2893968,,Residential,2009,,"171 - 2450 161a St, Surrey, BC",2,3,2,11/06/2024,"$888,000"
475,Townhouse,"$3,173",1352 sqft,Yes,$635,R2894190,,Residential,2014,,"7 - 14271 60 Ave, Surrey, BC",2,3,2,11/06/2024,"$859,000"
476,Single Family Residence,"$6,518",3047 sqft,Yes,$623,R2894249,,Residential,1988,,"15541 58a Ave, Surrey, BC",3,4,8,11/06/2024,"$1,899,900"
477,Townhouse,"$3,528",1975 sqft,Yes,$455,R2894129,,Residential,2007,,"51 - 19330 69 Ave, Surrey, BC",2,3,4,11/06/2024,"$900,000"
478,Single Family Residence,"$6,407",2866 sqft,Yes,$554,R2894145,,Residential,2022,,"16791 16 Ave, Surrey, BC",3,6,3,11/06/2024,"$1,588,888"
479,Single Family Residence,"$5,445",2820 sqft,Yes,$647,R2891128,,Residential,2004,,"3359 145a St, Surrey, BC",3,4,4,11/06/2024,"$1,825,000"
480,Duplex,"$5,671",4748 sqft,Yes,$400,R2894208,,Residential Income,1990,,"10212 123a St, Surrey, BC",5,7,6,11/06/2024,"$1,899,900"
481,Apartment/Condominium,,467 sqft,Yes,"$1,004",R2894229,,Residential,2024,,"518 - 13968 Laurel Dr, Surrey, BC",1,1,1,11/06/2024,"$469,000"
482,Single Family Residence,"$6,242",3701 sqft,Yes,$405,R2894148,,Residential,1991,,"12184 68 Ave, Surrey, BC",4,7,6,11/06/2024,"$1,499,999"
483,Single Family Residence,"$6,550",4453 sqft,Yes,$482,R2894212,,Residential,2008,,"15833 108 Ave, Surrey, BC",5,8,6,11/06/2024,"$2,149,000"
484,Townhouse,"$3,250",1420 sqft,Yes,$681,R2893530,,Residential,2020,,"48 - 16467 23a Ave, Surrey, BC",2,3,2,11/06/2024,"$968,000"
485,Single Family Residence,"$5,940",2670 sqft,Yes,$561,R2893914,,Residential,1958,,"11352 Glen Avon Dr, Surrey, BC",4,7,4,11/06/2024,"$1,499,999"
486,Single Family Residence,"$5,809",3803 sqft,Yes,$786,R2894291,,Residential,2023,,"14436 17 Ave, Surrey, BC",5,5,4,11/06/2024,"$2,990,000"
487,Single Family Residence,"$7,632",3736 sqft,Yes,$602,R2893796,,Residential,2021,,"14685 110a Ave, Surrey, BC",6,7,0,11/06/2024,"$2,249,999"
488,Single Family Residence,"$6,248",3832 sqft,Yes,$539,R2891509,,Residential,2015,,"2688 164 St, Surrey, BC",3,4,4,10/06/2024,"$2,068,000"
489,Single Family Residence,"$5,078",2501 sqft,Yes,$619,R2893213,,Residential,2012,,"7057 148a St, Surrey, BC",3,6,3,10/06/2024,"$1,549,000"
490,Single Family Residence,"$6,010",2008 sqft,Yes,$696,R2893456,,Residential,1985,,"14370 68b Ave, Surrey, BC",4,5,4,10/06/2024,"$1,399,000"
491,Apartment/Condominium,"$1,812",900 sqft,Yes,$539,R2893882,,Residential,1993,,"1108 - 10082 148 St, Surrey, BC",2,2,1,10/06/2024,"$485,900"
492,Townhouse,"$2,388",1509 sqft,No,$390,R2893844,,Residential,1970,,"50 - 10545 153 St, Surrey, BC",2,2,1,10/06/2024,"$590,000"
493,Apartment/Condominium,,306 sqft,No,$944,R2893777,,Residential,2024,,"W224 - 10828 139a St, Surrey, BC",1,0,0,10/06/2024,"$289,000"
