mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2897464,3,2,"11530 84 Ave, Delta, BC, Canada",1600.0,2,2737.0,561.0,2000,Townhouse,19/06/2024,899000.0,49.1557094,-122.9034126,"11530, 84 Avenue, Social Heart, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2L7, Canada"
R2897747,1,1,"5011 Springs Blvd, Delta, BC, Canada",567.0,1,1860.0,984.0,2018,Condo,19/06/2024,558000.0,49.032596,-123.08559455167165,"5011, Springs Boulevard, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 0A6, Canada"
R2897209,5,4,"6601 Hyland Pl, Delta, BC, Canada",2846.0,0,5967.0,768.0,1982,SingleFamily,19/06/2024,2188000.0,49.1229485,-122.90101476107594,"6601, Hyland Place, Sunshine Hills, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4E 3G3, Canada"
R2898014,7,3,"7158 114 A St, Delta, BC, Canada",2284.0,5,4652.0,656.0,1972,SingleFamily,19/06/2024,1499880.0,,,
R2898906,7,7,"11323 82a Ave, Delta, BC, Canada",5506.0,8,7499.0,517.0,2013,SingleFamily,19/06/2024,2848888.0,49.1534605,-122.9090875806539,"11323, 82A Avenue, Social Heart, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2L0, Canada"
R2897396,2,2,"5011 Springs Blvd, Delta, BC, Canada",1645.0,2,4261.0,880.0,2018,Condo,19/06/2024,1449000.0,49.032596,-123.08559455167165,"5011, Springs Boulevard, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 0A6, Canada"
R2897849,3,1,"8370 Sheaves Rd, Delta, BC, Canada",1404.0,1,3152.0,774.0,1980,SingleFamily,19/06/2024,1088000.0,49.155244499999995,-122.93904997105264,"8370, Sheaves Road, Sunbury, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2R3, Canada"
R2896068,1,1,"9015 120St, Delta, BC, Canada",640.0,1,1537.0,781.0,2019,Condo,17/06/2024,499900.0,,,
R2896290,2,1,"4628 53St, Delta, BC, Canada",1164.0,3,4651.0,1545.0,1951,SingleFamily,17/06/2024,1799000.0,,,
R2896464,5,4,"66 66a St, Delta, BC, Canada",3721.0,6,7938.0,967.0,2009,SingleFamily,17/06/2024,3599900.0,49.0032944,-123.039564,"66, 66A Street, Boundary Bay, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 1A1, Canada"
R2896939,5,2,"10238 Sheaves Crt, Delta, BC, Canada",1998.0,4,3827.0,575.0,1988,SingleFamily,17/06/2024,1150000.0,49.1562,-122.9392175,"10238, Sheaves Court, Sunbury, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2R3, Canada"
R2896078,6,2,"7851 116St, Delta, BC, Canada",2138.0,4,4455.0,643.0,1973,SingleFamily,17/06/2024,1374900.0,,,
R2896216,2,2,"1166 54 A St, Delta, BC, Canada",1074.0,2,2725.0,805.0,2016,Condo,17/06/2024,865000.0,,,
R2895631,2,1,"5421 10 Ave, Delta, BC, Canada",1363.0,1,2449.0,586.0,1976,Townhouse,16/06/2024,799999.0,49.0222851,-123.0734495,"5421, 10 Avenue, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 3X8, Canada"
R2894570,4,2,"1641 53a St, Delta, BC, Canada",2113.0,6,4631.0,851.0,1993,SingleFamily,12/06/2024,1798800.0,49.0330128,-123.0755587,"1641, 53A Street, The Highlands, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 0A6, Canada"
R2894093,2,2,"11967 80 Ave, Delta, BC, Canada",787.0,1,2205.0,824.0,2017,Condo,11/06/2024,649000.0,49.1484357,-122.9182156,"80 Avenue, Sunstone, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 1R4, Canada"
R2896443,7,5,"8162 116St, Delta, BC, Canada",3866.0,0,5717.0,542.0,2012,SingleFamily,12/06/2024,2099000.0,,,
R2894483,3,2,"1645 Golf Club Dr, Delta, BC, Canada",2112.0,4,4467.0,710.0,1993,SingleFamily,12/06/2024,1499888.0,49.03347875,-123.07934336492283,"1645, Golf Club Drive, Imperial Village, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 0A6, Canada"
R2895254,4,3,"5033 Mariner Pl, Delta, BC, Canada",2490.0,4,4635.0,638.0,1987,SingleFamily,12/06/2024,1588800.0,49.0947279,-123.0826515,"5033, Mariner Place, Mariner, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 2Y1, Canada"
R2895357,4,4,"5441 7b Ave, Delta, BC, Canada",2677.0,5,5325.0,910.0,1966,SingleFamily,11/06/2024,2438000.0,49.0170002,-123.0729194,"5441, 7B Avenue, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 3X8, Canada"
R2894444,4,3,"11098 Prospect Dr, Delta, BC, Canada",2007.0,3,4455.0,721.0,1980,SingleFamily,12/06/2024,1449000.0,49.130446,-122.9150276685465,"11098, Prospect Drive, Sunshine Hills, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 4V8, Canada"
R2894535,5,5,"5744 16a Ave, Delta, BC, Canada",3473.0,6,3884.0,748.0,2024,SingleFamily,11/06/2024,2599000.0,49.0325947,-123.0644654,"5744, 16A Avenue, Beach Grove, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 1J3, Canada"
R2892685,2,2,"5556 14 Ave, Delta, BC, Canada",881.0,1,1847.0,702.0,1994,Condo,09/06/2024,619000.0,49.0281821,-123.0694164,"5556, 14 Avenue, Beach Grove, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 2P7, Canada"
R2892478,2,2,"4955 River Rd, Delta, BC, Canada",1271.0,1,2406.0,565.0,1990,Condo,09/06/2024,718800.0,49.09397635,-123.0852933548998,"4955, River Road, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 1W4, Canada"
R2893521,6,2,"4431 50a St, Delta, BC, Canada",2926.0,4,4499.0,566.0,1987,SingleFamily,09/06/2024,1659000.0,49.0836859,-123.0833154,"4431, 50A Street, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 5B6, Canada"
R2892777,4,2,"4426 52a St, Delta, BC, Canada",2460.0,6,4747.0,589.0,1972,SingleFamily,09/06/2024,1449000.0,49.0839096,-123.0761217,"4426, 52A Street, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 2W5, Canada"
R2893279,4,3,"5136 1a Ave, Delta, BC, Canada",3252.0,5,6664.0,765.0,1972,SingleFamily,09/06/2024,2489000.0,49.0051903,-123.081691,"5136, 1A Avenue, Pebble Hill, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 2M8, Canada"
R2892550,3,2,"1248 Hunter Rd, Delta, BC, Canada",1750.0,2,3702.0,628.0,1996,Condo,09/06/2024,1100000.0,49.025847,-123.0663064,"1248, Hunter Road, Beach Grove, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 2A4, Canada"
R2893547,3,2,"8385 Delsom Way, Delta, BC, Canada",1385.0,3,3057.0,677.0,2009,Townhouse,09/06/2024,939000.0,49.1564512,-122.9263164,"8385, Delsom Way, Sunbury, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2L2, Canada"
R2892540,7,5,"8177 114St, Delta, BC, Canada",3069.0,6,4087.0,618.0,2023,SingleFamily,09/06/2024,1899000.0,,,
R2890085,4,1,"11499 79 Ave, Delta, BC, Canada",1996.0,5,4536.0,700.0,1972,SingleFamily,02/06/2024,1398000.0,49.147247500000006,-122.90447950000001,"11499, 79 Avenue, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 1L9, Canada"
R2889918,6,3,"11775 Chateau Wynd, Delta, BC, Canada",3171.0,4,4790.0,535.0,1981,SingleFamily,03/06/2024,1698000.0,49.1272805,-122.89703349315134,"11775, Chateau Wynd, Sunshine Hills, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4E 2A0, Canada"
R2890039,5,2,"8824 Russell Dr, Delta, BC, Canada",1904.0,0,4158.0,762.0,1958,SingleFamily,31/05/2024,1450999.0,49.163739,-122.915434,"8824, Russell Drive, Annieville, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 4P6, Canada"
R2890843,3,2,"4897 47 A Ave, Delta, BC, Canada",1563.0,2,3235.0,582.0,2016,Townhouse,03/06/2024,910000.0,,,
R2889592,5,3,"1616 Braid Rd, Delta, BC, Canada",2428.0,4,4602.0,1066.0,2024,SingleFamily,02/06/2024,2588888.0,49.0323162,-123.0586966,"1616, Braid Road, Beach Grove, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 1V1, Canada"
R2890826,2,2,"1350 View Cres, Delta, BC, Canada",1784.0,2,2474.0,532.0,1981,Condo,03/06/2024,949900.0,49.027798,-123.0676099,"1350, View Crescent, Beach Grove, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 2A4, Canada"
R2889151,6,3,"11142 90 Ave, Delta, BC, Canada",2513.0,4,4134.0,576.0,1988,SingleFamily,02/06/2024,1450000.0,49.1678637,-122.9140734,"11142, 90 Avenue, Annieville, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2S3, Canada"
R2889694,5,3,"7571 Minster Dr E, Delta, BC, Canada",2340.0,5,4140.0,646.0,1973,SingleFamily,03/06/2024,1513000.0,49.140667,-122.9139815,"7571, Minster Drive East, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 4V8, Canada"
R2887983,3,2,"8873 112St, Delta, BC, Canada",1456.0,0,4433.0,960.0,2009,SingleFamily,26/05/2024,1399000.0,,,
